level|flag|text
1|ok|Nay, nay. Si Baby Louis nagahibi. May muta sa mata ni baby Louis. Dali limpiyohan ta ang anang mga mata. May uwa sa anang bibig. Dali limpiyuhan ta ang anang bibig May sip-on sa anang irong. Dali limpiyohan ta ang anang irong. May higku sa anang mga talinga. Dali limpiyohan ta ang anang mga talinga May palugut ang anang butkun. Dali limpiyohan ta ang anang mga butkun. May higku ang anang alima. Dali limpiyohan ta ang anang mga alima. May buring sa anang mga batiis. Dali limpiyohan ta ang anang mga batiis. May higku man ang anang mga kahig. Dali limpiyohan ta ang anang mga kahig. Nay, ang buli ni baby Louis may igit. Dali limpiyohan ta ang anang buli. Ginbuligan ko si Nanay maghugas ka buli ni Baby Louis.
1|ok|Sa una-una nga kahigayunan, nakapanglaswa si Maaloo sa taramnan. Tana namuul kang mga pula nga kamatis, tarong kag okra. "Mayad gid Maaloo! Buul pa rugto kang mga patatas", sugo ni Dadi. Ginsipad ni Maaloo ang tanan nga kahoy, balagun kag tanum. Maski sangka patatas wara ti may nakita si Maaloo. "Dadi, wara man rugto ti mga patatas," sugid ni Maaloo, nga nagapanaog kang anang alat. "Indi Maaloo, duro ang mga patatas rugto. Sagapa ka mayad," sugo ni Dadi. Nagbalik uman si Maaloo sa taramnan. Ginsundan tana ni Kaaloo. Nagasagap kang mga patatas si Maaloo kang tana nakabati kang, "Woof! Woof!". "Kaaloo! Pundo, Kaaloo!" singgitan ni Maaloo, nga nagadalagan sa likod. "Indi paggub-a ang taramnan." Nakita ni Maaloo nga nagahukay si Kaaloo kag ano sa banta mo ang nagtuhaw sa lao? Ragkul kag tambuk nga mga patatas! "Mayad gid Kaaloo. Nakita mo ang mga patatas!" kadlaw ni Maaloo, nga nagasulud kang mga patatas sa anang alat.
1|ok|"Tiun dun mag-ilis," kuon kang tatay kang babaye. "Kinahanglan ko may inugsuksok," sabat kang babaye. "Aah! Amo diya ang manunudlo ko nga uniporme." "Amo diya ang pulis ko nga uniporme." "Wow! Amo diya ang suldado ko nga uniporme." "Amo diya ang nars ukon doktor ko nga uniporme." "Amo diya ang Bombero ko nga uniporme." "Amo diya ang akun mga pang-eskuwela." "Boo-hoo-hoo! Sa diin ang akun pula nga palda?" "Rugya ang pula mo nga palda," kuon kang bugto nga laki kang babaye. "Nakailis run ako kag handa magguwa."
1|ok|Amo dya si Tito Sam. Ginakid-an ni Tito Sam ang anum ka aparador, lima ka purungkuan, apat ka lagari, tatlo ka martilyo, darwa ka wasay, kag sangka orasan. 1 ka orasan 2 ka wasay 3 ka martilyo 4 ka lagari 5 ka purungkuan 6 ka aparador
1|ok|Amu diya ang akun nga lawas. Amu diya ang akun nga buhok. Ang akun nga buhok naga protektar kang akun nga anit. Amu diya ang akun mga mata. Ginagamit ko diya para magturok. Amu diya ang akun talinga. Ginagamit ko ang akun mga talinga para makabati kang mga tunog. Amu diya ang akun irong. Ginagamit ko ang akun irong magpanapug kag mag-ginhawa. Amu diya ang akun nga baba. Ginagamit ako ang akun nga baba mag-inom, maghambal, kag magkaon. Amu diya ang akun mga unto. Ginagamit ko ang akun mga unto mag-usang kang pagkaon. Amu diya ang akun nga dila. Ginagamit ko ang akun dila magpanabor kang pagkaun. Amu diya ang akun mga alima. Ginagamit ko ang akun mga alima magtandug kag magsulat. Amu diya ang akun mga kahig. Ginagamit ko ang akun mga kahig magpanaw, magtindug, kag magdalagan.
1|ok|Sangka aga, si Kara nagapungko tupad kang anang nanay kag libayun nga laki. . Si Kara, anang libayun nga laki kag anang nanay nakakita kang mga idik. Nay agtu kita rigtu kag isipun natun ang mga idik. Si Kara kag anang libayun nga laki nag isip 1,2,3,4 kag five abay ang andang inang. Burubuhay, nabatian nanda ang huni nga Kwak, kwak, kwak, kwak. Mga bata ano ang huni nga ri an? Huni ri a kang mga manintuk nga bebe. Pira tanan ka bilog nga mga manintuk nga bibe? 1,2,3,4,kag five abay ang anang inang. Tsip, tsip, tsip. Huni ka ano ri a? Ang huni kang mga pisu. Pira tanan ka pisu? 1,2,3,4,kag five abay ang inang. Si Kara kag ang anang libayun nga laki dali dali nga ginbubudan ang mga manok. Si Kara kag anang libayun nga laki dali dali nga ginbubudan ang mga bibe. Si Kara kag ang anang libayun nga laki dali dali man gindamugan ang mga baboy. Ang dya nga libro kang estorya ginbaton bilang bulig kang mga pumuluyo kang USA paagi sa
1|ok|Ang Amo kag ang mga Saging Nagaturog ang gamay nga amo. Naglagaw si Inang Amo para mangita kang pagkaon para kay Amo Gamay. Nagbugtaw si Amo Gamay kag nanawag "Gutom dun ako!" Gusto ko magkaon kang saging." Nagdesisyon tana nga mangita kang saging nga naga isarahanon. Nakakita tana kang man-ug kag ginapamangkot na. "Man-ug, may mga saging bala dya sa palibot?" Nagsabat ang man-ug, "Wara, nagauli ako sa buho kag wara gid ako nakakita biskan sara." Nagpasalamat si Amo Gamay sa man-ug kag maghalin. Samtang sa dalanun si Amo Gamay, nakita na si Tigre: "Tigre, may mga saging bala rugya?" Nagsabat ang Tigre, "Wara. Nagauli ako sa bahol nga kakahuyan kag wara gid ako may nakita biskan sara." Ginpasalamatan ni Amo Gamay ang Tigre kag maghalin. Ang gamay nga amu gapanaw ay nakit.an na ang isda. tana namangkot:"Isda, may mga saging rogya?" "Wara. Nagauli ako sa tubig kag wara gid ako nakakita biskan sara." Sabat kang isda. Ginpasalamatan ni Amo Gamay ang isda. Kag ginagutom dun gid ang amo. Nagpadayon sa pagpanaw si Amo Gamay kag nasublang na ang tolabong. Nagpamangkot tana, "Tolabong may mga saging bala rugya? Nagsabat ang Tolabong, "Huod. May mga puno ka saging rapit sa sapa. Makita ko permi ang mga saging kon galupad ako rugto." Ang amu nagkadto diretso sa sagingan kag nakita na anang ina mya darang saging pauli. Nalipay si gamay nga amu makitan anang ina kag magkaon kang manamit na saging
1|ok|Kadya nga adlaw, duro ang atun mga orubrahun. Kada isara gusto magbulig. Si Nanay nagabulig sa pagpreparar kang pagkaun. Si Tatay nagabulig sa pagpahabok ka mga balloon. Ang akun bugto nagabulig man sa pagtipon ka mga balloon. Si Lola nagabulig asikaso ka suruksukon nga bestida. Si Lolo nagabulig asikaso ka dekorasyon kang bisekleta. Ang akun tiyo nagabulig asikaso ka mga regalo. Birthday kadya ka akun bugto nga babayi. Kanami-nami nga selebrasyon!
1|ok|Si Dom Dom may isara ka bahul nga keyk. Ginkihad ni Dom Dom ang keyk sa walo ka partida. Para kay lola na ang isara ka kihad. Ang isara pa gid para kay lolo na. Kay nanay na man ang isara. Ang isara para man kay tatay na. Kay tiya na ang isara. Ang isara para kay tiyo na. Ang isara para sa bugto na nga baye. Para kay Dom Dom ang isara. Ginakaun nanday lola, lolo, nanay, tatay, tiya, kag tiyo ang andang keyk. Ginkaun man ka bugto na nga baye kag ni Dom Dom ang andang keyk. Amo dya ang bilog nga keyk nga ginkaun nanda.
1|ok|"Nagtalang ako," hambal ni Buyog Gamay. " Indi ko dun matultulan ang akun balay!" Pwede mo ako mabuligan, Mister Elepante? "Balay mo ang pugad nga dya, Buyog Gamay?" pamangkot kang Elepante. "Aguy, Indi!" ang hibi ni Buyog Gamay. "Balay tana dya kang pispis." "Balay mo ang kweba nga dya? pamangkot kang Elepante. "Aguy, Indi! Balay tana dya kang kulapnit." "Buyog Gamay, ginaulian mo man ang balay putyukan nga dya?" "Haraguy, huod!" masinadyahun nga hambal ni Buyog Gamay. "Balay ko dya." "Salamat gid sa pagbulig mo kanakun, Mr. Elepante." .
