level|flag|text
1|ok|Amo di si Naldo Gamon si Naldo na mag basa sa libro. Amo di si Pendo. Gusto niya sa Maray a magkaon sa karots. Pinapastol ni Naldo si Pendo pagkatapos ka klase. tinatawan ni Naldo si Pendo sa maagnow na tubig. Tinawan ni Tatay si Pendo sa Butil. Ara-Aldow niyang ginagatasan si Pendo. Nagtatao si Pendo sa dakol na gatas. tinitinda ni Tatay a gatas ni Pendo. Si Naldo nag- iinom sa sariwang gatas ara- aldow sabi ni Naldo, "Mabalos, Naldo".
1|ok|Nakapauli na galin sa zoo sindi Muna ag Milan. Kabalang na Ako nguwan. Baoo man Ako. Usad na Akong elepante. Pabo na ko nguwan. Rhino man Ako. Usad na Akong kuneho. Tigre man Ako. Kaipuwan ko Ng maturog. Punduwon mo na a sulo inay. Binuksan ni Muna su Mata Niya. "Usad na Akong kuwaw."
1|ok|Usad na paraataman sa ayop si Alma sa Albay Park and Wildlife. Sa kadaklan na ayop sadto Albay Park and Wildlife, si Belo a pinakabarkada niya, na usad na dakulo, kolor kape, saka makusog na oso. Ku ika-upat na kumpleanyo ni Belo, nag-anda sa gatingay si Alma para kanya. "Belo, pwede mong uyupon na sarabay a mga kandila?" unga ni Alma. "Amo!" sabi man ni Belo. Pinuno niya sa angin su ruruggan niya. Nag uyop-angos iya saka "WHOOSH!" Biglang nagkusog su angin saka naparong su mga kandila. Pangala, nagtaas su angin saka nagbangga sadto mga panganuron. Biglang nagdaguldol sa makusog saka nagpoon na su uran. "Ay, nag-uuran sa isura!" siyak ni Alma. Nangalas si Belo ku nabayad niya sa palibot. Pangala, pinurot niya su dakulong basket saka nagdalagan para mamurot ku mga isurang nauulog galin sa langit. Sa kada mapuno su basket, ipinapalis niya adi sadto sadit na fish pond saka balik naman iya tanganing makadakol. Pangala, sa ika-sampulong beses na pagparabalik-balik niya, nalilian niyang nagrarom na palan su tubig saka nabayad niyang malanakatakot ni Alma. Nagbalik tulos si Belo, pinurot si Alma saka ipinatong niya sadto abaga. Ginakos ni Alma si Belo saka nagpasalamat. Pangala, nauda na su panganuron saka nagsin-ag na su aldow. Nagin maliwanag saka magayon na su panawon. "Diri ko na ika utro pauyopon ka mga kandila," su sabi ni Alma. "Ta uno?" unga ni Belo. "Malay mo? Baka sa sunod mag-uran na sa tupang," sabi ni Alma saka nagngirisiyan su darwang magbarkada.
1|ok|Sin Thuokna A alibangbang mas sadit kesa uang. A uang mas sadit kesa sa rignos. A rignos mas sadit kesa loro. A loro mas sadit kesa kuwaw. Kalaw a pinakadakulo. Alibangbang man a pinakasadit. Ngamin sira tattaong maglayog.
1|ok|Chan Pisey and Pisey Chan "Langgayon ka aldow na magbisikleta!" sabi ni Tok sabay apon ku plastik na nasa abaga niya. "Uno a ginibo mo, Tok?" saway ka ngod niya na si Sophie. "Diri ika pwedeng mag-apon sa plastik bag sa tinampo!" "Tauno ta diri pwede?" unga ni Tok ku nakasusulod na si Sophie. "Kwasa, pwedeng magtaong dakulong problema a plastik bag!" Pangala, biglang nakarungog sira Sophie saka Tok sa nagkikinis-kinis na tunog. Nagpundo nguna sira saka naglilili. Uda sira ibang nabayad, kindi a plastik bag na nagtatambling abang linnalayog sa angin. "Mag-irungog ika, Tok. Kin mag-uran, pwedeng maianod a plastik bag sa salog. Pangala, pwede kading ibuka a maduag niyang nganga saka kaunon a ngamin na isura!" "Lang takot man kiton, Sophie. Uno pa a pwedeng mangyari?" "Pangala," sabi ni Sophie, "pagkatapos kaunon a ngamin na isura ka plastik bag, migparadakulo adi sa maray. "Pangala mig-awas iya sa tubig, miglayog saka mig-anap sa dakol pang makakaon." "Pwede pa ading magparaduag sa maray na pwede niyang matulon a ngamin na kawoy. Saka migtawa sa malang kusog na pareyo ka daguldol!" "Bwa...ha...ha!" "Pangala, mas dakol pang plastik a mig-abot. Kakaunon nira a mga isura, gagabuton a mga kawoy, saka rarauton a mga tanuman na malang-gagayon." "A kinaban magigin punok saka malipungow," sabi ni Sophie. "Pangala, kin uda na matuda na kakaunon ading mga plastik bag," rugang na sabi ni Sophie,"kita na ana isusunod nira." Ipinikit ni Tok a mga mata niya. "Makadulag raw kita?" unga niya. "Sana," sabi ni Sophie. "Abo ko na kaunon ako ka plastik bag," sabi ni Tok. "Kaya Tok, diri ika mag-apon sa basura dawa sari. Mayang na, puruton ta na ading mga nagkakayat-kayat na plastik bag bago pa adi magtaong problema." Ku nakaabot na si Tok saka Sophie sa baloy nira, nabayad nira a mas dakol pang plastik bag sa natad. "Sophie, kin pupuruton ta ading ngamin na plastik bag, uda na sira tsansa na magdakulo?" "Tama ika, Tok. Mayna gibuwon ta na. Isalbar ta a kinaban!" Mga Karagdagang Kaaraman sa Kapalibotan Upang mabawasan a paggamit kan mga plastik, ngamin na bakalan sa Phnom Penh ay tinawan kin batas para sa mga migbakal sa mga plastik bag na kandang gagamitun. Ang gobyerno ay naggibo kin usad na kampanya upang ipaabot a kaalamansa mga tawo tungkol sa negatibong resulta ng olastik sa kinaban at pauno mababawasan ang paggamit kadi. Para sa karagdagang impormasyon sa Kalibotan, bisitawon ang: Para sa karagdagang impormasyon, bisitahin ito: 0X GThM Karagdagang Impormasyon sa Kalibotan ay pinapaabot ng Conservation International sa pakikipagtabang kan
1|ok|Sa taas ka bukid, agko usad na banwaan- A sadit na Kamayanan. Kinding a mga naka-istar bagana mga diyos; Parehas kadakulo ka mga panganuron a mga kamot nira. Pag sira nag-upak, nagkikitkilat; Pag pinagrukot a mga kamot, maski balyena naaalon. Sa tuktok, nakaistar sira kaiba mga bayong; Tuninong, uda ribok maski ing-ing. Nagkanap paluwas sa kuweba si CoVully; Bana iya multo na galin pa sa inukay. Binubuga niya su koronang kapatungok, Mauubusan ika sa hininga, lang ngitngit pa sa palibot. Nasindakan su ngamin dahil kanya; Naggibo na palan iya sa pandemya! Kadaklan ka tawo, namutla ag nagkailang; Nauda su iba, naggalin na palan. Nagtipon su ngamin na taga kamayanan; Nag-adit, nakatakot sagkud binag-ut; "Unong gigibuwon ta? Maglaum? Anggan kita maubos, magtago sagkud magsirong?" Nagtindug si Tandang Turo sagkud nagkanta; Oyayi ku mga kag-igin na babayi para sa mga igin, "Maggisung kita: magbayli, bumirik, pirawon a angin; Rumrumun ta, anting-anting ka Kamayanan na ipinamana kanatu." Su iring-ingan sagkud ngirisihan, naging tarawanan! Sabi nira, nakakapay na gayud sa kagurangan. Linnukso sagkud pin-nurbar su igin na si Kingan. "Sa iwag ku mga kamut, dadaugon su mga virus!" Tinunga su maating CoVully, "Mabubuway raw sira?" unga niya sa sadiri. Inatubang iya ni Kingan na makusog a boot ag isip; Nagbayle, Nagkanta, mga buway kanyang sinagip. Sa pag-ogas ku palad sagkud kamut Kaipuwan sa sabon ag tubig. Ugasan, iludan; Diri gibuhon na kangangasan Iwasan a ilang, daugun a virus; Sa pag-ogas ku palad sadkud kamot. Nagyugyug, nangatog si CoVully; Mga korona napundo, namanhid sagkud natunow, Tunay na kapangyarihan nagtunga; Malilinig na kamut nangibabaw. Nagsirang ag nag-iba sa tunog sa oyayi ngani matauhan; Ibinandera, iba-ibang mga kamot sa banwaan. "Nasa kanato a susi ngani manggana sa kalamidad." Hang naraog ag nauda si CoVully sa syudad. Sa itaas sa bukid, agko usad na banwaan - Kamayanan ana ngaran. Poon kadto, nabuhay sirang bana mga Bathala. Sa mga kamot ta, raraugon a mga problemang nakahanda. WAKAS.
1|ok|Sira Toni saka Beni pirming magkaiba. Mahilig sirang magdiskubre sa mga bagay-bagay sa kaiwasan. A misyon nira makaanap sa planeta. A planeta na inaanap nira pormang bilog saka kulor asul. Kaipwanan nira tulos adtong maanap. Uda na sira dakol na oras. Una, kaipwanan nira sa lulunadan na pangkaiwasan o spaceship. Inanap nira adi sa mangitngit na kwarto. Naturakan nira Toni saka Beni su lulunadan. Binuway nira su makina. Nag-preparar sira sa paglarga. Nagpuon na sirang maglayog. Maispid na naglayog su lulunadan para sa kaiwasan. ...paiyan sa misteryosong lugar. Kadakol na bagay a naglulutow-lutow sa kaiwasan Usad..darwa..tulo..kadakol diri na mabilang. Isadto raw su inaanap nirang planeta? Paparong sadi...paparong sadto. Nakabayad sira sa darwang bilog na planeta pero buko adtong kulor asul. Paparong sadi...paparong sadto. Agkousad na planeta pero kulor kahil adi, agko pa bilog-bilog na kaiba. Buko adto su inaanap ni Beni. Paparong sadi...paparong sadto. Nakaparong si Beni sa pamilyar na bagay. Taadto! Amo adto su inaanap na planeta ni Beni. Ala! Agko palan usad na dakulong babo na nagbabantay kadto. Gusto ni Beni na makuko su planeta kaya diri iya migpundo. "Aray, nabunggo si Beni sadto lulunadan nira." Nag guyong-guyong, nagbirik-birik, saka nagburo-balintong su lulunadan. Whoooooa! Ay, nayku! Dagos nang naraot su lulunadan. "Toni?" "Ngata ika nagngangayamon sadi sirong? Mangitngit sadi. Mayang na, nag-uulat na si Papa mo sadto lulunadan." sabi ni Mama niya. "Kaipwanan namong maanap su nauudang bola ni Beni. Diri pwedeng maggalin si Beni na uda adto," simbag ni Toni. "Nguwan agko naman kita sunod na byahe." Ading proyektong adi nagbibida sa mga mga babayeng karakter na kinaiiban sa mga babayeng parasurat, parakurit ag editor. Ading librong ginibo sa paagi ka
1|ok|Iem Tithseiha, Chan Pisey, and Pisey Chan Si Sally diri namumuya nguwan, agko iya tulong rason: Una, si Sally abo sa mainit na panawon. Nguwan malang init sa igo. Ikarwa, si Sally gustong magkaon sa mangga, kindi su mangga lang langkaw. Ikatlo, si Sally gustong makingayamon ku ngod niyang si Tok, kindi abo ni Tok. "Diri ako makangangayamon nguwan, Sally." sabi ni Tok. "Abo kong magunos adi bok ko." Naungot si Sally ki Tok. Nag-angos sa ararom si Sally saka innula sadto arani ku sadit na bentilador. Luway ading nag-iwag saka nagtunog. Sadto salog agko ruler. Pinurot adto ni Sally saka ibinutang sa atubangan ku bentilador tanganing suklon. Su bentilador agko sukol na darwang ruler. "Hmm," sabi ni Sally, saka nagpuon na mag-imahinar. Nag-isip iya, "kin a bentilador darwang ruler a na angin, makagibo raw sa mas dakol na angin a mas dakulong bentilador?" "Kin a bentilador malakadakulo, magkaagko raw adi dakol na angin arog ku sadto arani ka salog?" Pig-imahinar ni Sally kin gaumno adto kamuya. Imahinar ni Sally, "pauno man kin arog ka baloy kadakulo su bentilador?" Dinara niya su ruler sadto luwas saka sinukol su baloy puon sa atubangan anggan talikukuran, sa gilid saka sadto luyong gilid. "Kin a bentilador arog kadto kadakulo, gaumno raw kakusog a angin kan?" Nagtawa si Sally. Makalalayog su mga mangga! Su ayam niyang si Bob ilalayog man sa angin! Pati su bok ni Tok magugunos anggan sa magin bagana salagan sa bayong. "Sally!" baoy ni Tok na galin sadto baloy. "Agko ako mangga na kakaunon ta!" Abang nagkakaon sira Sally saka Tok, pig-istoryan ni Sally si Tok manungod ku ruler saka bentilador. Pinurot ni Tok su ruler saka nag-isip-isip. "Pauno kin a bentilador arog ka usad na milyon kadakulo?" unga ni Tok. "Wow!" sabi ni Sally. "Kin a bentilador dakulo arog ka kinaban, pag pinaandar, ngamin makalalayog. Mga pinggan,masitera, lamesa, ulaan, bag, baloy, mga istruktura, saka maski mga puon sa mangga ilalayog." Abang palunod na su aldow, si Tok saka si Sally nag-ula kaabay ku bentilador, nakatawa mantang nagkakaon sa mangga. Sabi ni Sally, "Baka usad na aldow, makagibo kita sa higanteng bentilador, Tok." "Ika miggibo sa bentilador. Ako man migkaon ka mangga pag nag-ulog," sabi man ni Tok.
1|ok|"Pepot! Marigos na ika." "Pepot! Magkaon na ika." "Pepot! Magluog ika sa klase!" "Pepot! Maglunad ika sa bus!" "Pepot! Gibuwon mo na su homework mo." "Sari si Pepot?" Agko iya librong babasawon. Pirming nagbabasa si Pepot- sa baloy, sa eskwelan, sa parke, saka sa batangan. Binabasa niya adi ngamin kada pahina, kada libro, saka usad-usad. "Tauno pirmi ikang nagbabasa Pepot?" unga ni Bebot. "Mayna, magsilong na lang kitang kartun," sabi ni Delia. "Mas mamuya sa libro," sabi ni Pepot. Bayda agko bilog, saka tulid na linya na nagigibo ading letra. Pag iniiba mo a mga letra,makabibilog ikang sarita. Agko mga saritang maray, makatatawa, mamundo, saka mamuya. Pag pinag-iba mo a mga sarita, makabibilog ikang pangungusap. Pag pinag-iba mo a mga pangungusap, mabibilog adding istorya. Basawon moa di…Whoosh! Bagana man sana ika nasa ibang kinaban. Kindi nguwan, mamundo si Pepot. Naubusan na kaya iya sa mga librong babasawon. Ngamin na librong naabot niya sadto library, nabasa na niya ngamin puon sa kapinunan anggan sa katapusan. "Uno na gigibuwon ko? Uda na ako librong babasawon," ngisli ni Pepot. Ulat nguna! Uno kaya adto a? Nagtangad si Pepot saka nabayad niyang buko sanang usad, darwa, kindi tulo pang bubutangan na malakapuno sa mga libro. "Kadakol na libro!" mamuyang sabi ni Pepot sa sadiri. Ala! Agko pa usad na problema. Ababa iya alagad malang langkaw ku na bubutangan sa mga libro. Pauno kaya adto maabot ni Pepot? Baka pwede iyang maggamit sa sampayan? Pwede man matibay na tela tanganing makaguno? Pwede kaya su mga ulaan saka lamesa sadto luog ku library? Inisip ni Pepot na mas lalong makatatabang kin agko iya giraffe o kaya kabalang o kaya sirang darwa! Agko plano si Pepot. Binaoy niya sira Bebot saka Delia para tabangan iya. Luway-luway sirang nagguno sa lambang usad. "Bebot, mala mong gubat!" reklamo ni Delia. Sabi ko na kaya kanimo na diri mo na kaunon su usad na puto." "Buko man ako," sabi ni Bebot. "Si Pepot!" "Shhh! Madali na," sabi ni Pepot. Pangala, bigla sirang natumba. AHHHHHHH! "Uno nangyari sadi?" unga ku malang langkaw na librarian. Ibinaba niya si Pepot. Nagdulag sira Pepot saka si Delia! Mamundong nakatangad si Pepot sadto mga librong madali na niyang maabot."Kaipuwan mo sa tabang?" unga ku librarian. "Pinupurbaran ko pong magguno san butangan sa libro ta naubusan na akong babasawon," mamundong sabi ni Pepot. "Uno ta diri ika nagsabi?" unga ku malang langkaw na librarian. "Basta isadi ako, diri mo na kaipuwan na magguno sa butangan sa libro. Pwede ta ikang itaas?" Piling-piling ni Pepot. "Kukuonon ko adi, adi, saka adi!" mamuyang sabi ni Pepot. "Dios mabalos po!" "Kuonon mo man adi," sabi ku malang langkaw na librarian. "Ku sadit pa ako, gusto ko ading libro." "Sadit man ika kadto?" unga ni Pepot. "Amo, mas sadit pa ako kanimo," sabi ku malang langkaw na librarian. "Kinding nagdakulo na ako saka pati man ika migdakulo man. Sa nguwan, a dapat mong gibuwon kin mag-iram ika sa libro rapuon mo sana ako ta isadi sana man ako para magtao kanimo." Kinding nag-iirungog raw si Pepot?" Diri, diri iya! Ta nasa loog na iya ku kanyang libro, ku bilog, saka ku linya, letra, saka utro letra. Pangala, sarita saka pangungusap. Nguwan, usad ng istorya. Ta kwasa agko si Pepot bagong libro.
1|ok|Makalulupad a malapaga. Diri makalalangoy a malapaga. Nakapagtutuka a malapaga. Pero diri iya nakakakaon. Makapag-aagi malapaga. Alagad diri makakak amang a malapaga. Makatutugpa sa sanga kin kawoy a malapaga. Makatutugpa sa sanga kin kawoy a malapaga.
