@relation readability_cebuano_features_embeddings-weka.filters.unsupervised.attribute.Remove-R19-792

@attribute word_count numeric
@attribute sentence_count numeric
@attribute phrase_count_per_sentence numeric
@attribute average_word_len numeric
@attribute average_sentence_len numeric
@attribute average_syllable_count numeric
@attribute polysyll_count numeric
@attribute consonant_cluster_density numeric
@attribute v_density numeric
@attribute cv_density numeric
@attribute vc_density numeric
@attribute cvc_density numeric
@attribute vcc_density numeric
@attribute cvcc_density numeric
@attribute ccvc_density numeric
@attribute ccv_density numeric
@attribute ccvcc_density numeric
@attribute ccvccc_density numeric
@attribute class {1,2,3}

@data
78,20,0,4.628205,3.9,2.128205,0,0.269231,2.128205,1.833333,1.410256,0.820513,0.230769,0.128205,0.115385,0.179487,0,0,1
40,7,0,5.4,5.714286,2.05,2,0.65,2.05,1.8,1.825,1.05,0.65,0.375,0.15,0.225,0.15,0.025,1
35,12,0,4.628571,2.916667,2.114286,0,0.228571,2.114286,1.771429,1.542857,0.971429,0.228571,0.2,0.114286,0.142857,0,0,1
66,12,0,4.80303,5.5,2.121212,1,0.287879,2.121212,1.772727,1.651515,1,0.227273,0.227273,0.19697,0.242424,0,0,1
17,4,0,4.529412,4.25,1.882353,0,0.411765,1.882353,1.588235,1.470588,0.823529,0.411765,0.235294,0.176471,0.235294,0,0,1
73,21,1.047619,5.178082,3.47619,2.30137,3,0.356164,2.30137,1.986301,1.739726,0.986301,0.315068,0.246575,0.205479,0.30137,0.013699,0,1
16,5,0,4.625,3.2,2.0625,0,0.5,2.0625,1.6875,1.375,0.875,0.5,0.1875,0.25,0.4375,0.125,0,1
43,9,0,4.395349,4.777778,1.953488,0,0.302326,1.953488,1.511628,1.418605,0.72093,0.232558,0.186047,0.093023,0.139535,0.023256,0,1
32,5,0,4.9375,6.4,2.15625,2,0.40625,2.15625,1.75,1.6875,0.9375,0.34375,0.25,0.0625,0.1875,0.03125,0,1
67,12,0,4.268657,5.583333,1.940299,0,0.313433,1.940299,1.552239,1.298507,0.761194,0.238806,0.179104,0.164179,0.19403,0.014925,0,1
104,23,1.136364,4.865385,4.521739,2.067308,2,0.423077,2.067308,1.711538,1.644231,0.951923,0.365385,0.25,0.173077,0.278846,0,0,1
62,12,0,4.709677,5.166667,2.129032,1,0.33871,2.129032,1.725806,1.580645,0.822581,0.322581,0.177419,0.096774,0.193548,0.048387,0,1
97,8,1.125,4.350515,12.125,1.85567,0,0.443299,1.85567,1.608247,1.237113,0.804124,0.319588,0.216495,0.134021,0.278351,0,0,1
80,9,0,4.8875,8.888889,2.075,4,0.5125,2.075,1.8,1.4,0.85,0.35,0.2875,0.2375,0.45,0.0375,0,1
33,8,0,4.878788,4.125,1.939394,0,0.515152,1.939394,1.575758,1.757576,0.969697,0.424242,0.181818,0.151515,0.242424,0,0,1
18,5,0,4.277778,3.6,2,0,0.277778,2,1.777778,1.166667,0.777778,0.277778,0.111111,0.111111,0.222222,0,0,1
18,6,0,4.944444,3,2.333333,0,0.333333,2.333333,1.888889,1.5,0.833333,0.333333,0.111111,0.111111,0.333333,0.111111,0.055556,1
46,9,1.222222,5.23913,5.111111,2.152174,2,0.456522,2.152174,2,1.630435,1.043478,0.413043,0.326087,0.195652,0.23913,0.065217,0.065217,1
53,7,1.285714,4.358491,7.571429,2,0,0.358491,2,1.528302,1.264151,0.622642,0.245283,0.113208,0.075472,0.188679,0,0,1
39,7,0,4.205128,5.571429,1.897436,0,0.25641,1.897436,1.692308,1.25641,0.846154,0.230769,0.153846,0.102564,0.153846,0,0,1
23,6,0,3.391304,3.833333,1.608696,0,0,1.608696,1.304348,1,0.608696,0,0,0,0,0,0,1
21,5,1.4,4,4.2,1.666667,0,0.333333,1.666667,1.428571,1.190476,0.714286,0.190476,0.190476,0.142857,0.333333,0,0,1
46,9,0,4.021739,5.111111,1.891304,0,0.195652,1.891304,1.673913,1.021739,0.630435,0.173913,0.086957,0.043478,0.108696,0,0,1
21,6,0,4.428571,3.5,2,0,0.380952,2,1.571429,1.428571,0.809524,0.380952,0.095238,0.095238,0.238095,0.047619,0,1
17,4,0,3.764706,4.25,1.823529,0,0.176471,1.823529,1.470588,1.117647,0.647059,0.176471,0.058824,0.058824,0.117647,0,0,1
67,17,1.055556,5.402985,3.941176,2.238806,0,0.537313,2.238806,2.044776,1.686567,1.104478,0.432836,0.343284,0.298507,0.462687,0.044776,0,1
43,10,0,4.674419,4.3,2.046512,0,0.465116,2.046512,1.674419,1.418605,0.813953,0.325581,0.255814,0.116279,0.27907,0.046512,0.023256,1
25,7,0,3.88,3.571429,1.68,0,0.32,1.68,1.36,1.16,0.76,0.24,0.16,0.24,0.28,0,0,1
17,5,0,3.764706,3.4,1.647059,0,0.352941,1.647059,1.352941,1.058824,0.705882,0.294118,0.058824,0.176471,0.235294,0,0,1
23,6,0,3.913043,3.833333,1.695652,0,0.173913,1.695652,1.521739,1.217391,0.782609,0.173913,0.043478,0.043478,0.043478,0,0,1
227,15,1.6,4.889868,15.133333,2.0837,9,0.449339,2.0837,1.814978,1.502203,0.85022,0.325991,0.242291,0.185022,0.343612,0.022026,0,1
119,18,0,4.428571,6.611111,1.87395,1,0.386555,1.87395,1.613445,1.369748,0.798319,0.277311,0.201681,0.151261,0.260504,0,0,1
94,9,1.222222,4.531915,10.444444,1.946809,1,0.446809,1.946809,1.648936,1.329787,0.755319,0.276596,0.212766,0.170213,0.361702,0.021277,0,1
60,11,1.083333,4.65,5.454545,2.116667,2,0.333333,2.116667,1.683333,1.516667,0.783333,0.233333,0.116667,0.133333,0.266667,0,0,1
23,8,0,3.869565,2.875,1.478261,0,0.521739,1.478261,1.173913,1.173913,0.73913,0.521739,0.434783,0.043478,0.086957,0,0,1
48,16,0,4.75,3,1.9375,0,0.583333,1.9375,1.5,1.604167,0.833333,0.583333,0.4375,0.041667,0.104167,0.020833,0,1
72,13,0,4.513889,5.538462,2.013889,0,0.375,2.013889,1.611111,1.472222,0.708333,0.319444,0.180556,0.097222,0.208333,0.027778,0,1
49,10,1.1,3.979592,4.9,1.836735,0,0.244898,1.836735,1.244898,1.346939,0.612245,0.204082,0.061224,0.040816,0.081633,0,0,1
23,7,0,4.130435,3.285714,1.73913,0,0.26087,1.73913,1.521739,1.347826,0.73913,0.26087,0.130435,0.086957,0.086957,0,0,1
19,6,0,3.947368,3.166667,1.736842,0,0.263158,1.736842,1.473684,1.157895,0.736842,0.263158,0.157895,0.105263,0.157895,0,0,1
6,3,0,4,2,1.666667,0,0.333333,1.666667,1.666667,1,1,0.333333,0.333333,0.333333,0.333333,0,0,1
