book_title,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,grade_level
Akong Higala,0.2692307692307692,2.128205128205128,1.8333333333333333,1.4102564102564104,0.8205128205128205,0.23076923076923078,0.1282051282051282,0.11538461538461539,0.1794871794871795,0.0,0.0,1
Alibangbang ug Kalaw,0.65,2.05,1.8,1.825,1.05,0.65,0.375,0.15,0.225,0.15,0.025,1
Amigo Kong Piso,0.22857142857142856,2.1142857142857143,1.7714285714285714,1.542857142857143,0.9714285714285714,0.22857142857142856,0.2,0.11428571428571428,0.14285714285714285,0.0,0.0,1
An Akon Pamilya,0.2878787878787879,2.121212121212121,1.7727272727272727,1.6515151515151516,1.0,0.22727272727272727,0.22727272727272727,0.19696969696969696,0.24242424242424243,0.0,0.0,1
Ang  Paypay ni Pipay,0.4117647058823529,1.8823529411764706,1.588235294117647,1.4705882352941178,0.8235294117647058,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.0,0.0,1
Ang Adlaw,0.3561643835616438,2.3013698630136985,1.9863013698630136,1.7397260273972603,0.9863013698630136,0.3150684931506849,0.2465753424657534,0.2054794520547945,0.3013698630136986,0.0136986301369863,0.0,1
Ang Akong Alkansiya,0.5,2.0625,1.6875,1.375,0.875,0.5,0.1875,0.25,0.4375,0.125,0.0,1
Ang Akong Dulaan,0.3023255813953488,1.9534883720930232,1.5116279069767442,1.4186046511627908,0.7209302325581395,0.23255813953488372,0.18604651162790697,0.09302325581395349,0.13953488372093023,0.023255813953488372,0.0,1
Ang Akong Higala,0.40625,2.15625,1.75,1.6875,0.9375,0.34375,0.25,0.0625,0.1875,0.03125,0.0,1
Ang Akong Suod Nga Amigo,0.31343283582089554,1.9402985074626866,1.5522388059701493,1.2985074626865671,0.7611940298507462,0.23880597014925373,0.1791044776119403,0.16417910447761194,0.19402985074626866,0.014925373134328358,0.0,1
Ang Among Pamilya,0.4230769230769231,2.0673076923076925,1.7115384615384615,1.6442307692307692,0.9519230769230769,0.36538461538461536,0.25,0.17307692307692307,0.27884615384615385,0.0,0.0,1
