book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
Akong Higala,78,20,0.0,4.628205128205129,3.9,2.128205128205128,0,1
Alibangbang ug Kalaw,40,7,0.0,5.4,5.714285714285714,2.05,2,1
Amigo Kong Piso,35,12,0.0,4.628571428571429,2.9166666666666665,2.1142857142857143,0,1
An Akon Pamilya,66,12,0.0,4.803030303030303,5.5,2.121212121212121,1,1
Ang  Paypay ni Pipay,17,4,0.0,4.529411764705882,4.25,1.8823529411764706,0,1
Ang Adlaw,73,21,1.0476190476190477,5.178082191780822,3.4761904761904763,2.3013698630136985,3,1
Ang Akong Alkansiya,16,5,0.0,4.625,3.2,2.0625,0,1
Ang Akong Dulaan,43,9,0.0,4.395348837209302,4.777777777777778,1.9534883720930232,0,1
Ang Akong Higala,32,5,0.0,4.9375,6.4,2.15625,2,1
Ang Akong Suod Nga Amigo,67,12,0.0,4.268656716417911,5.583333333333333,1.9402985074626866,0,1
Ang Among Pamilya,104,23,1.1363636363636365,4.865384615384615,4.521739130434782,2.0673076923076925,2,1
Ang Anak ug Amahan,62,12,0.0,4.709677419354839,5.166666666666667,2.129032258064516,1,1
Ang Baka,97,8,1.125,4.350515463917525,12.125,1.8556701030927836,0,1
Ang Baki,80,9,0.0,4.8875,8.88888888888889,2.075,4,1
Ang Bangaw,33,8,0.0,4.878787878787879,4.125,1.9393939393939394,0,1
Ang Bao,18,5,0.0,4.277777777777778,3.6,2.0,0,1
Ang Bato,18,6,0.0,4.944444444444445,3.0,2.3333333333333335,0,1
Ang Birthday ni Jennilyn,46,9,1.2222222222222223,5.239130434782608,5.111111111111111,2.152173913043478,2,1
Ang Bitoon,53,7,1.2857142857142858,4.3584905660377355,7.571428571428571,2.0,0,1
Ang Bola ni Mila,39,7,0.0,4.205128205128205,5.571428571428571,1.8974358974358974,0,1
Ang Buhok,23,6,0.0,3.391304347826087,3.8333333333333335,1.608695652173913,0,1
Ang Bulak nga Santan,21,5,1.4,4.0,4.2,1.6666666666666667,0,1
Ang Celfon ni Niña,46,9,0.0,4.021739130434782,5.111111111111111,1.891304347826087,0,1
Ang Dagat,21,6,0.0,4.428571428571429,3.5,2.0,0,1
Ang Dala ni Almaug Mama,17,4,0.0,3.764705882352941,4.25,1.8235294117647058,0,1
Ang Dalunggan,67,17,1.0555555555555556,5.402985074626866,3.9411764705882355,2.2388059701492535,0,1
Ang French Fries,43,10,0.0,4.674418604651163,4.3,2.046511627906977,0,1
Ang Gasa ni Mama,25,7,0.0,3.88,3.5714285714285716,1.68,0,1
Ang Gasa,17,5,0.0,3.764705882352941,3.4,1.6470588235294117,0,1
Ang Gatas sa Lata,23,6,0.0,3.9130434782608696,3.8333333333333335,1.6956521739130435,0,1
Ang Hardin Ni Balaraw,227,15,1.6,4.889867841409692,15.133333333333333,2.0837004405286343,9,1
Ang Hardin Ni Hannah,119,18,0.0,4.428571428571429,6.611111111111111,1.8739495798319328,1,1
Ang Hardin Ni Susan,94,9,1.2222222222222223,4.531914893617022,10.444444444444445,1.946808510638298,1,1
Ang Hiniktan ni Islaw,60,11,1.0833333333333333,4.65,5.454545454545454,2.1166666666666667,2,1
Ang Iring ni Ling,23,8,0.0,3.869565217391304,2.875,1.4782608695652173,0,1
Ang Iring ni Luming,48,16,0.0,4.75,3.0,1.9375,0,1
Ang Iro ni Pedro,72,13,0.0,4.513888888888889,5.538461538461538,2.013888888888889,0,1
Ang Itoy ni Ikoy,49,10,1.1,3.979591836734694,4.9,1.836734693877551,0,1
Ang Kabaw nga si Kulas,23,7,0.0,4.130434782608695,3.2857142857142856,1.7391304347826086,0,1
Ang Kabaw ni lolo,19,6,0.0,3.9473684210526314,3.1666666666666665,1.736842105263158,0,1
Ang Kaka ni Katkat,6,3,0.0,4.0,2.0,1.6666666666666667,0,1
Ang Kaka ni Tata,8,2,0.0,3.25,4.0,1.5,0,1
Ang Kaka,20,5,0.0,3.05,4.0,1.55,0,1
Ang Kalikupan,39,13,0.0,5.153846153846154,3.0,2.282051282051282,0,1
