book_title,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,grade_level
Akong Higala,0.2692307692307692,2.1538461538461537,1.858974358974359,1.4230769230769231,0.8205128205128205,0.23076923076923078,0.1282051282051282,0.11538461538461539,0.1794871794871795,0.0,0.0,1
Alibangbang ug Kalaw,0.5675675675675675,2.081081081081081,1.837837837837838,1.837837837837838,1.027027027027027,0.5675675675675675,0.32432432432432434,0.10810810810810811,0.1891891891891892,0.10810810810810811,0.0,1
Amigo Kong Piso,0.2222222222222222,2.111111111111111,1.75,1.5277777777777777,0.9444444444444444,0.2222222222222222,0.19444444444444445,0.1111111111111111,0.1388888888888889,0.0,0.0,1
An Akon Pamilya,0.20689655172413793,2.0689655172413794,1.706896551724138,1.5517241379310345,0.9310344827586207,0.13793103448275862,0.13793103448275862,0.15517241379310345,0.20689655172413793,0.0,0.0,1
Ang  Paypay ni Pipay,0.3333333333333333,1.9333333333333333,1.6666666666666667,1.4666666666666666,0.8,0.3333333333333333,0.2,0.13333333333333333,0.2,0.0,0.0,1
Ang Adlaw,0.35135135135135137,2.2972972972972974,1.9864864864864864,1.7297297297297298,0.9864864864864865,0.3108108108108108,0.24324324324324326,0.20270270270270271,0.2972972972972973,0.013513513513513514,0.0,1
Ang Akong Alkansiya,0.47058823529411764,2.0588235294117645,1.6470588235294117,1.3529411764705883,0.8235294117647058,0.47058823529411764,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.11764705882352941,0.0,1
Ang Akong Dulaan,0.29545454545454547,1.9545454545454546,1.5,1.4090909090909092,0.7045454545454546,0.22727272727272727,0.18181818181818182,0.09090909090909091,0.13636363636363635,0.022727272727272728,0.0,1
Ang Akong Higala,0.4117647058823529,2.176470588235294,1.7647058823529411,1.7352941176470589,0.9411764705882353,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.029411764705882353,0.0,1
Ang Akong Suod Nga Amigo,0.3088235294117647,1.9558823529411764,1.5588235294117647,1.3088235294117647,0.7647058823529411,0.23529411764705882,0.17647058823529413,0.16176470588235295,0.19117647058823528,0.014705882352941176,0.0,1
Ang Among Pamilya,0.4380952380952381,2.0761904761904764,1.723809523809524,1.6476190476190475,0.9619047619047619,0.38095238095238093,0.2571428571428571,0.18095238095238095,0.29523809523809524,0.009523809523809525,0.0,1
Ang Anak ug Amahan,0.3333333333333333,2.142857142857143,1.7301587301587302,1.6031746031746033,0.8253968253968254,0.31746031746031744,0.1746031746031746,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.0,1
Ang Baka,0.4387755102040816,1.846938775510204,1.6020408163265305,1.2244897959183674,0.7959183673469388,0.3163265306122449,0.21428571428571427,0.1326530612244898,0.2755102040816326,0.0,0.0,1
Ang Baki,0.5,2.0657894736842106,1.8157894736842106,1.4210526315789473,0.8552631578947368,0.32894736842105265,0.2631578947368421,0.23684210526315788,0.4342105263157895,0.039473684210526314,0.0,1
Ang Bangaw,0.5294117647058824,1.9705882352941178,1.6176470588235294,1.7941176470588236,1.0,0.4411764705882353,0.20588235294117646,0.17647058823529413,0.2647058823529412,0.0,0.0,1
Ang Bao,0.2631578947368421,2.0526315789473686,1.8421052631578947,1.2105263157894737,0.7894736842105263,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.0,0.0,1
Ang Bato,0.3157894736842105,2.3157894736842106,1.894736842105263,1.4736842105263157,0.8421052631578947,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.10526315789473684,0.05263157894736842,1
Ang Birthday ni Jennilyn,0.45652173913043476,2.152173913043478,2.0,1.6304347826086956,1.0434782608695652,0.41304347826086957,0.32608695652173914,0.1956521739130435,0.2391304347826087,0.06521739130434782,0.06521739130434782,1
Ang Bitoon,0.35185185185185186,2.0,1.5185185185185186,1.2592592592592593,0.6111111111111112,0.24074074074074073,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.0,0.0,1
Ang Bola ni Mila,0.2564102564102564,1.8974358974358974,1.6923076923076923,1.2564102564102564,0.8461538461538461,0.23076923076923078,0.15384615384615385,0.10256410256410256,0.15384615384615385,0.0,0.0,1
Ang Buhok,0.0,1.625,1.3333333333333333,1.0416666666666667,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1
Ang Bulak nga Santan,0.3181818181818182,1.6363636363636365,1.4090909090909092,1.1363636363636365,0.6818181818181818,0.18181818181818182,0.18181818181818182,0.13636363636363635,0.3181818181818182,0.0,0.0,1
Ang Celfon ni Niña,0.2127659574468085,1.8936170212765957,1.6595744680851063,1.0425531914893618,0.6382978723404256,0.19148936170212766,0.0851063829787234,0.06382978723404255,0.1276595744680851,0.0,0.0,1
Ang Dagat,0.4090909090909091,1.9545454545454546,1.5,1.4090909090909092,0.7727272727272727,0.4090909090909091,0.09090909090909091,0.09090909090909091,0.22727272727272727,0.045454545454545456,0.0,1
Ang Dala ni Almaug Mama,0.17647058823529413,1.8823529411764706,1.588235294117647,1.0588235294117647,0.6470588235294118,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.0,0.0,1
Ang Dalunggan,0.5294117647058824,2.235294117647059,2.0441176470588234,1.6764705882352942,1.1029411764705883,0.4264705882352941,0.3382352941176471,0.29411764705882354,0.45588235294117646,0.04411764705882353,0.0,1
Ang French Fries,0.45454545454545453,2.0454545454545454,1.6818181818181819,1.4090909090909092,0.8181818181818182,0.3181818181818182,0.25,0.11363636363636363,0.2727272727272727,0.045454545454545456,0.022727272727272728,1
Ang Gasa ni Mama,0.3076923076923077,1.6538461538461537,1.3461538461538463,1.1538461538461537,0.7692307692307693,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.2692307692307692,0.0,0.0,1
Ang Gasa,0.3888888888888889,1.6111111111111112,1.2777777777777777,1.0555555555555556,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.0,0.0,1
Ang Gatas sa Lata,0.15789473684210525,1.5789473684210527,1.368421052631579,1.105263157894737,0.6842105263157895,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,1
Ang Hardin Ni Balaraw,0.4533333333333333,2.0844444444444443,1.8133333333333332,1.5022222222222221,0.8488888888888889,0.3288888888888889,0.24444444444444444,0.18666666666666668,0.3466666666666667,0.022222222222222223,0.0,1
Ang Hardin Ni Hannah,0.43956043956043955,1.9120879120879122,1.6703296703296704,1.3956043956043955,0.8131868131868132,0.31868131868131866,0.23076923076923078,0.14285714285714285,0.2857142857142857,0.0,0.0,1
Ang Hardin Ni Susan,0.4125,1.875,1.5625,1.2,0.65,0.225,0.1625,0.125,0.3375,0.0,0.0,1
Ang Hiniktan ni Islaw,0.3333333333333333,2.1166666666666667,1.6833333333333333,1.5166666666666666,0.7833333333333333,0.23333333333333334,0.11666666666666667,0.13333333333333333,0.26666666666666666,0.0,0.0,1
Ang Iring ni Ling,0.5416666666666666,1.4583333333333333,1.125,1.1666666666666667,0.7083333333333334,0.5416666666666666,0.4166666666666667,0.041666666666666664,0.08333333333333333,0.0,0.0,1
Ang Iring ni Luming,0.6041666666666666,1.9583333333333333,1.5208333333333333,1.625,0.8541666666666666,0.6041666666666666,0.4375,0.041666666666666664,0.10416666666666667,0.020833333333333332,0.0,1
Ang Iro ni Pedro,0.3783783783783784,2.0,1.6081081081081081,1.445945945945946,0.7027027027027027,0.32432432432432434,0.1891891891891892,0.0945945945945946,0.21621621621621623,0.02702702702702703,0.0,1
Ang Itoy ni Ikoy,0.24489795918367346,1.836734693877551,1.2448979591836735,1.346938775510204,0.6122448979591837,0.20408163265306123,0.061224489795918366,0.04081632653061224,0.08163265306122448,0.0,0.0,1
Ang Kabaw nga si Kulas,0.25,1.7083333333333333,1.5,1.3333333333333333,0.75,0.25,0.125,0.08333333333333333,0.08333333333333333,0.0,0.0,1
Ang Kabaw ni lolo,0.3,1.7,1.4,1.15,0.7,0.3,0.15,0.1,0.15,0.0,0.0,1
Ang Kaka ni Katkat,0.42857142857142855,1.5714285714285714,1.4285714285714286,1.0,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,1
Ang Kaka ni Tata,0.25,1.5,1.25,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1
