book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
Akong Higala,78,20,0.0,4.666666666666667,3.9,2.1538461538461537,0,1
Alibangbang ug Kalaw,37,7,0.0,5.297297297297297,5.285714285714286,2.081081081081081,2,1
Amigo Kong Piso,36,12,0.0,4.583333333333333,3.0,2.111111111111111,0,1
An Akon Pamilya,58,12,0.0,4.517241379310345,4.833333333333333,2.0689655172413794,1,1
Ang  Paypay ni Pipay,15,4,0.0,4.533333333333333,3.75,1.9333333333333333,0,1
Ang Adlaw,74,21,1.0476190476190477,5.162162162162162,3.5238095238095237,2.2972972972972974,3,1
Ang Akong Alkansiya,17,5,0.0,4.529411764705882,3.4,2.0588235294117645,0,1
Ang Akong Dulaan,44,9,0.0,4.363636363636363,4.888888888888889,1.9545454545454546,0,1
Ang Akong Higala,34,5,0.0,5.0,6.8,2.176470588235294,2,1
Ang Akong Suod Nga Amigo,68,12,0.0,4.279411764705882,5.666666666666667,1.9558823529411764,0,1
Ang Among Pamilya,105,23,1.1363636363636365,4.895238095238096,4.565217391304348,2.0761904761904764,2,1
Ang Anak ug Amahan,63,12,0.0,4.73015873015873,5.25,2.142857142857143,1,1
Ang Baka,98,8,1.125,4.326530612244898,12.25,1.846938775510204,0,1
Ang Baki,76,8,0.0,4.881578947368421,9.5,2.0657894736842106,4,1
Ang Bangaw,34,8,0.0,4.970588235294118,4.25,1.9705882352941178,0,1
Ang Bao,19,5,0.0,4.368421052631579,3.8,2.0526315789473686,0,1
Ang Bato,19,6,0.0,4.894736842105263,3.1666666666666665,2.3157894736842106,0,1
Ang Birthday ni Jennilyn,46,9,1.2222222222222223,5.239130434782608,5.111111111111111,2.152173913043478,2,1
Ang Bitoon,54,7,1.2857142857142858,4.333333333333333,7.714285714285714,2.0,0,1
Ang Bola ni Mila,39,7,0.0,4.205128205128205,5.571428571428571,1.8974358974358974,0,1
Ang Buhok,24,6,1.1666666666666667,3.4583333333333335,4.0,1.625,0,1
Ang Bulak nga Santan,22,5,1.4,3.909090909090909,4.4,1.6363636363636365,0,1
Ang Celfon ni Niña,47,9,0.0,4.042553191489362,5.222222222222222,1.8936170212765957,0,1
Ang Dagat,22,6,0.0,4.363636363636363,3.6666666666666665,1.9545454545454546,0,1
Ang Dala ni Almaug Mama,17,6,0.0,3.823529411764706,2.8333333333333335,1.8823529411764706,0,1
Ang Dalunggan,68,17,1.0555555555555556,5.382352941176471,4.0,2.235294117647059,0,1
Ang French Fries,44,10,0.0,4.659090909090909,4.4,2.0454545454545454,0,1
Ang Gasa ni Mama,26,7,0.0,3.8461538461538463,3.7142857142857144,1.6538461538461537,0,1
Ang Gasa,18,5,0.0,3.7222222222222223,3.6,1.6111111111111112,0,1
Ang Gatas sa Lata,19,6,0.0,3.6315789473684212,3.1666666666666665,1.5789473684210527,0,1
Ang Hardin Ni Balaraw,225,15,1.6,4.8933333333333335,15.0,2.0844444444444443,9,1
Ang Hardin Ni Hannah,91,10,0.0,4.538461538461538,9.1,1.9120879120879122,1,1
Ang Hardin Ni Susan,80,9,1.1111111111111112,4.2625,8.88888888888889,1.875,1,1
Ang Hiniktan ni Islaw,60,11,1.0833333333333333,4.65,5.454545454545454,2.1166666666666667,2,1
Ang Iring ni Ling,24,8,0.0,3.8333333333333335,3.0,1.4583333333333333,0,1
Ang Iring ni Luming,48,16,0.0,4.8125,3.0,1.9583333333333333,0,1
Ang Iro ni Pedro,74,13,0.0,4.486486486486487,5.6923076923076925,2.0,0,1
Ang Itoy ni Ikoy,49,10,1.1,3.979591836734694,4.9,1.836734693877551,0,1
Ang Kabaw nga si Kulas,24,7,0.0,4.083333333333333,3.4285714285714284,1.7083333333333333,0,1
Ang Kabaw ni lolo,20,6,0.0,3.9,3.3333333333333335,1.7,0,1
Ang Kaka ni Katkat,7,3,0.0,3.857142857142857,2.3333333333333335,1.5714285714285714,0,1
Ang Kaka ni Tata,8,2,0.0,3.25,4.0,1.5,0,1
Ang Kaka,20,5,0.0,3.05,4.0,1.55,0,1
Ang Kalikupan,40,13,0.0,5.2,3.076923076923077,2.3,0,1
Ang Kalo ni Karlo,24,6,0.0,4.083333333333333,4.0,1.8333333333333333,0,1
Ang Kama ni Mama ug Makmak,12,3,0.0,3.5,4.0,1.5,0,1
Ang kama,19,6,0.0,3.3157894736842106,3.1666666666666665,1.5263157894736843,0,1
Ang Kamot ni Momay,22,6,0.0,3.727272727272727,3.6666666666666665,1.6363636363636365,0,1
Ang Kanding ni Karding,24,6,0.0,5.125,4.0,2.0416666666666665,0,1
Ang Kanding Ni Pedro,112,12,1.0909090909090908,4.75,9.333333333333334,2.044642857142857,1,1
Ang Kanta ni Anta,54,10,1.1,5.12962962962963,5.4,2.2222222222222223,0,1
Ang kilay ni Kentoy,48,8,0.0,4.25,6.0,1.875,0,1
Ang Kusog nga Linog,76,21,0.0,4.842105263157895,3.619047619047619,2.0789473684210527,1,1
Ang Kwarto Ko,41,14,0.0,4.487804878048781,2.9285714285714284,1.8780487804878048,0,1
Ang Langaw,42,11,0.0,4.690476190476191,3.8181818181818183,1.8333333333333333,0,1
Ang Lapis ni Sedes,23,6,0.0,4.782608695652174,3.8333333333333335,2.0869565217391304,0,1
Ang Lima ka Baki,31,6,0.0,3.161290322580645,5.166666666666667,1.5806451612903225,0,1
Ang Lima ka Managsuon,129,18,1.5294117647058822,4.7984496124031,7.166666666666667,2.046511627906977,1,1
Ang Magtutudlo,22,6,0.0,4.7272727272727275,3.6666666666666665,2.1818181818181817,0,1
Ang Mama ni Tata,11,4,1.25,3.4545454545454546,2.75,1.6363636363636365,0,1
Ang Mananagat,158,12,4.461538461538462,3.9430379746835444,13.166666666666666,1.6012658227848102,3,1
Ang Mangga ni Manang Mina,47,9,0.0,4.829787234042553,5.222222222222222,2.0425531914893615,0,1
Ang Mangga,37,11,1.1818181818181819,4.5675675675675675,3.3636363636363638,1.9189189189189189,0,1
Ang Manok,17,4,0.0,3.5294117647058822,4.25,1.588235294117647,0,1
Ang Mata ni Matmat,11,4,0.0,4.0,2.75,1.5454545454545454,0,1
Ang mata,19,5,0.0,3.263157894736842,3.8,1.5263157894736843,0,1
Ang mga Bata,35,12,0.0,4.6,2.9166666666666665,1.9142857142857144,0,1
Ang mga Isda,24,8,0.0,5.208333333333333,3.0,2.2083333333333335,1,1
Ang mga Prutas,44,8,1.25,4.2272727272727275,5.5,1.7954545454545454,0,1
Ang Monyeka,46,10,0.0,5.086956521739131,4.6,2.347826086956522,1,1
Ang Ok-ok,24,6,0.0,3.8333333333333335,4.0,1.6666666666666667,0,1
Ang Panimalay,54,16,1.125,5.648148148148148,3.375,2.425925925925926,3,1
Ang Pati ni Pipo,69,9,0.0,3.971014492753623,7.666666666666667,1.7826086956521738,0,1
Ang Payag ni Tatay,33,5,0.0,4.454545454545454,6.6,1.8181818181818181,1,1
Ang Plaza,55,16,1.0625,5.127272727272727,3.4375,2.2363636363636363,1,1
Ang Prutas,38,12,0.0,4.815789473684211,3.1666666666666665,2.0526315789473686,0,1
Ang Regalo,45,10,0.0,4.711111111111111,4.5,2.1555555555555554,1,1
Ang Relo ni Jelo,163,10,5.818181818181818,3.668711656441718,16.3,1.4969325153374233,3,1
Ang Sakyanan,48,10,1.1,5.625,4.8,2.3125,1,1
Ang Sapatos,63,11,1.1818181818181819,4.476190476190476,5.7272727272727275,2.0634920634920637,0,1
Ang Saya ni Ana,63,15,1.1333333333333333,4.238095238095238,4.2,1.9682539682539681,0,1
Ang Saya,20,6,0.0,3.3,3.3333333333333335,1.65,0,1
Ang Sorpresa,53,10,1.2,5.0754716981132075,5.3,2.169811320754717,0,1
Ang Tabanog ni Isko,41,8,0.0,4.926829268292683,5.125,2.1463414634146343,1,1
Ang Tabanog,40,9,0.0,4.575,4.444444444444445,2.05,0,1
Ang Tam-is nga Mansanas,150,24,1.7894736842105263,4.36,6.25,1.86,0,1
Ang Tanaman ni Helen,53,10,1.2,4.716981132075472,5.3,2.0377358490566038,0,1
Ang Tasa,20,6,0.0,3.45,3.3333333333333335,1.55,0,1
Ang Tsinelas,44,8,0.0,4.795454545454546,5.5,2.090909090909091,0,1
Ang Tubig sa Gripo,45,10,0.0,4.6,4.5,2.022222222222222,0,1
Ang Tunghaan,41,10,0.0,5.439024390243903,4.1,2.3658536585365852,1,1
Ang Unlan,17,6,0.0,4.411764705882353,2.8333333333333335,1.7058823529411764,0,1
Ang Upat ka Managsuon,37,8,0.0,5.324324324324325,4.625,2.3513513513513513,2,1
Ang Utanon,40,12,0.0,5.425,3.3333333333333335,2.35,0,1
Ang Xylophone,65,13,0.0,4.876923076923077,5.0,2.0153846153846153,0,1
