train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa
mono_tagalog,tagalog_test,trad,54.717,0.521,0.547,0.238,0.3022
mono_tagalog,bikol_test,trad,43.3333,0.6,0.433,0.199,0.2056
mono_tagalog,cebuano_test,trad,48.5714,0.569,0.486,0.248,0.246
mono_tagalog,tagalog_test,trad_clgsngo,58.4906,0.562,0.585,0.222,0.359
mono_tagalog,bikol_test,trad_clgsngo,40.0,0.544,0.4,0.218,0.1628
mono_tagalog,cebuano_test,trad_clgsngo,48.5714,0.635,0.486,0.215,0.2691
mono_tagalog,tagalog_test,mbert,47.1698,0.464,0.472,0.284,0.1851
mono_tagalog,bikol_test,mbert,30.0,0.0,0.3,0.185,0.0948
mono_tagalog,cebuano_test,mbert,32.8571,0.475,0.329,0.295,0.0329
mono_tagalog,tagalog_test,xlmr,50.9434,0.555,0.509,0.285,0.2302
mono_tagalog,bikol_test,xlmr,26.6667,0.617,0.267,0.172,0.0638
mono_tagalog,cebuano_test,xlmr,30.0,0.367,0.3,0.322,-0.0082
mono_tagalog,tagalog_test,all_mbert,56.6038,0.589,0.566,0.245,0.3291
mono_tagalog,bikol_test,all_mbert,33.3333,0.0,0.333,0.178,0.1266
mono_tagalog,cebuano_test,all_mbert,44.2857,0.654,0.443,0.27,0.1553
mono_tagalog,tagalog_test,all_xlmr,47.1698,0.478,0.472,0.3,0.1737
mono_tagalog,bikol_test,all_xlmr,30.0,0.721,0.3,0.165,0.1139
mono_tagalog,cebuano_test,all_xlmr,38.5714,0.373,0.386,0.276,0.1316
mono_bikol,tagalog_test,trad,50.9434,0.534,0.509,0.216,0.2804
mono_bikol,bikol_test,trad,66.6667,0.67,0.667,0.24,0.4413
mono_bikol,cebuano_test,trad,67.1429,0.79,0.671,0.301,0.4175
mono_bikol,tagalog_test,trad_clgsngo,50.9434,0.0,0.509,0.213,0.2856
mono_bikol,bikol_test,trad_clgsngo,66.6667,0.67,0.667,0.24,0.4413
mono_bikol,cebuano_test,trad_clgsngo,67.1429,0.804,0.671,0.31,0.4137
mono_bikol,tagalog_test,mbert,30.1887,0.621,0.302,0.255,0.0434
mono_bikol,bikol_test,mbert,63.3333,0.0,0.633,0.262,0.3678
mono_bikol,cebuano_test,mbert,61.4286,0.0,0.614,0.346,0.3046
mono_bikol,tagalog_test,xlmr,26.4151,0.0,0.264,0.264,0.0
mono_bikol,bikol_test,xlmr,73.3333,0.0,0.733,0.194,0.5376
mono_bikol,cebuano_test,xlmr,64.2857,0.0,0.643,0.319,0.3646
mono_bikol,tagalog_test,all_mbert,41.5094,0.0,0.415,0.219,0.1814
mono_bikol,bikol_test,all_mbert,66.6667,0.0,0.667,0.242,0.422
mono_bikol,cebuano_test,all_mbert,61.4286,0.0,0.614,0.346,0.3046
mono_bikol,tagalog_test,all_xlmr,26.4151,0.0,0.264,0.264,0.0
mono_bikol,bikol_test,all_xlmr,70.0,0.0,0.7,0.223,0.4767
mono_bikol,cebuano_test,all_xlmr,65.7143,0.0,0.657,0.315,0.39
mono_cebuano,tagalog_test,trad,60.3774,0.638,0.604,0.227,0.3813
mono_cebuano,bikol_test,trad,46.6667,0.571,0.467,0.268,0.1919
mono_cebuano,cebuano_test,trad,78.5714,0.779,0.786,0.125,0.6566
mono_cebuano,tagalog_test,trad_clgsngo,58.4906,0.639,0.585,0.24,0.3511
mono_cebuano,bikol_test,trad_clgsngo,43.3333,0.578,0.433,0.237,0.1707
mono_cebuano,cebuano_test,trad_clgsngo,78.5714,0.78,0.786,0.117,0.6578
mono_cebuano,tagalog_test,mbert,45.283,0.443,0.453,0.3,0.1546
mono_cebuano,bikol_test,mbert,50.0,0.659,0.5,0.18,0.2823
mono_cebuano,cebuano_test,mbert,77.1429,0.758,0.771,0.149,0.6272
mono_cebuano,tagalog_test,xlmr,33.9623,0.354,0.34,0.323,0.0133
mono_cebuano,bikol_test,xlmr,53.3333,0.635,0.533,0.204,0.3103
mono_cebuano,cebuano_test,xlmr,72.8571,0.717,0.729,0.148,0.5659
mono_cebuano,tagalog_test,all_mbert,43.3962,0.414,0.434,0.306,0.1283
mono_cebuano,bikol_test,all_mbert,36.6667,0.45,0.367,0.28,0.0732
mono_cebuano,cebuano_test,all_mbert,78.5714,0.778,0.786,0.128,0.6573
mono_cebuano,tagalog_test,all_xlmr,47.1698,0.481,0.472,0.255,0.2077
mono_cebuano,bikol_test,all_xlmr,56.6667,0.654,0.567,0.21,0.3434
mono_cebuano,cebuano_test,all_xlmr,78.5714,0.778,0.786,0.143,0.6505
bi_bikol_tagalog,tagalog_test,trad,50.9434,0.487,0.509,0.248,0.2499
bi_bikol_tagalog,bikol_test,trad,63.3333,0.629,0.633,0.214,0.4054
bi_bikol_tagalog,cebuano_test,trad,62.8571,0.648,0.629,0.265,0.3937
bi_bikol_tagalog,tagalog_test,trad_clgsngo,58.4906,0.562,0.585,0.216,0.3621
bi_bikol_tagalog,bikol_test,trad_clgsngo,63.3333,0.633,0.633,0.214,0.4086
bi_bikol_tagalog,cebuano_test,trad_clgsngo,64.2857,0.652,0.643,0.25,0.4143
bi_bikol_tagalog,tagalog_test,mbert,49.0566,0.48,0.491,0.257,0.229
bi_bikol_tagalog,bikol_test,mbert,60.0,0.518,0.6,0.268,0.3182
bi_bikol_tagalog,cebuano_test,mbert,67.1429,0.632,0.671,0.266,0.4359
bi_bikol_tagalog,tagalog_test,xlmr,56.6038,0.565,0.566,0.239,0.3291
bi_bikol_tagalog,bikol_test,xlmr,70.0,0.0,0.7,0.223,0.4767
bi_bikol_tagalog,cebuano_test,xlmr,70.0,0.795,0.7,0.265,0.4784
bi_bikol_tagalog,tagalog_test,all_mbert,62.2642,0.643,0.623,0.211,0.4163
bi_bikol_tagalog,bikol_test,all_mbert,63.3333,0.546,0.633,0.249,0.375
bi_bikol_tagalog,cebuano_test,all_mbert,70.0,0.699,0.7,0.248,0.4874
bi_bikol_tagalog,tagalog_test,all_xlmr,54.717,0.564,0.547,0.256,0.2968
bi_bikol_tagalog,bikol_test,all_xlmr,66.6667,0.0,0.667,0.242,0.422
bi_bikol_tagalog,cebuano_test,all_xlmr,67.1429,0.782,0.671,0.292,0.4221
bi_cebuano_bikol,tagalog_test,trad,45.283,0.498,0.453,0.279,0.1669
bi_cebuano_bikol,bikol_test,trad,63.3333,0.647,0.633,0.217,0.4149
bi_cebuano_bikol,cebuano_test,trad,81.4286,0.817,0.814,0.123,0.6975
bi_cebuano_bikol,tagalog_test,trad_clgsngo,45.283,0.502,0.453,0.269,0.1723
bi_cebuano_bikol,bikol_test,trad_clgsngo,63.3333,0.637,0.633,0.226,0.4118
bi_cebuano_bikol,cebuano_test,trad_clgsngo,77.1429,0.767,0.771,0.148,0.6289
bi_cebuano_bikol,tagalog_test,mbert,47.1698,0.492,0.472,0.245,0.2194
bi_cebuano_bikol,bikol_test,mbert,63.3333,0.553,0.633,0.239,0.382
bi_cebuano_bikol,cebuano_test,mbert,74.2857,0.727,0.743,0.167,0.5836
bi_cebuano_bikol,tagalog_test,xlmr,32.0755,0.467,0.321,0.262,0.0531
bi_cebuano_bikol,bikol_test,xlmr,73.3333,0.771,0.733,0.194,0.5455
bi_cebuano_bikol,cebuano_test,xlmr,81.4286,0.808,0.814,0.124,0.6957
bi_cebuano_bikol,tagalog_test,all_mbert,47.1698,0.436,0.472,0.248,0.2173
bi_cebuano_bikol,bikol_test,all_mbert,60.0,0.673,0.6,0.271,0.3296
bi_cebuano_bikol,cebuano_test,all_mbert,75.7143,0.748,0.757,0.169,0.6012
bi_cebuano_bikol,tagalog_test,all_xlmr,49.0566,0.506,0.491,0.24,0.2449
bi_cebuano_bikol,bikol_test,all_xlmr,63.3333,0.626,0.633,0.239,0.3889
bi_cebuano_bikol,cebuano_test,all_xlmr,75.7143,0.743,0.757,0.178,0.5969
bi_tagalog_cebuano,tagalog_test,trad,62.2642,0.645,0.623,0.217,0.4085
bi_tagalog_cebuano,bikol_test,trad,53.3333,0.633,0.533,0.23,0.2929
bi_tagalog_cebuano,cebuano_test,trad,81.4286,0.81,0.814,0.107,0.7034
bi_tagalog_cebuano,tagalog_test,trad_clgsngo,60.3774,0.615,0.604,0.225,0.3817
bi_tagalog_cebuano,bikol_test,trad_clgsngo,43.3333,0.555,0.433,0.262,0.1584
bi_tagalog_cebuano,cebuano_test,trad_clgsngo,80.0,0.795,0.8,0.113,0.6802
bi_tagalog_cebuano,tagalog_test,mbert,52.8302,0.54,0.528,0.264,0.27
bi_tagalog_cebuano,bikol_test,mbert,40.0,0.63,0.4,0.178,0.1818
bi_tagalog_cebuano,cebuano_test,mbert,81.4286,0.807,0.814,0.117,0.7003
bi_tagalog_cebuano,tagalog_test,xlmr,47.1698,0.479,0.472,0.296,0.1797
bi_tagalog_cebuano,bikol_test,xlmr,46.6667,0.604,0.467,0.218,0.2233
bi_tagalog_cebuano,cebuano_test,xlmr,77.1429,0.758,0.771,0.149,0.6272
bi_tagalog_cebuano,tagalog_test,all_mbert,54.717,0.552,0.547,0.253,0.2968
