fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col
0,mono_tagalog,tagalog_test,mbert,52.8302,0.527,0.528,0.242,0.2869,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_tagalog,bikol_test,mbert,46.6667,0.453,0.467,0.362,0.116,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,mono_tagalog,cebuano_test,mbert,37.1429,0.361,0.371,0.482,-0.1047,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,mono_tagalog,tagalog_test,all,52.8302,0.536,0.528,0.245,0.2838,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,mono_tagalog,bikol_test,all,56.6667,0.567,0.567,0.275,0.2935,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,mono_tagalog,cebuano_test,all,38.5714,0.332,0.386,0.456,-0.0697,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,mono_tagalog,tagalog_test,xlmr,58.4906,0.591,0.585,0.216,0.3697,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,mono_tagalog,bikol_test,xlmr,43.3333,0.0,0.433,0.328,0.0957,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,mono_tagalog,cebuano_test,xlmr,37.1429,0.506,0.371,0.198,0.1382,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,mono_tagalog,tagalog_test,all_xlmr,60.3774,0.608,0.604,0.206,0.3984,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,mono_tagalog,bikol_test,all_xlmr,40.0,0.611,0.4,0.335,0.0576,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,mono_tagalog,cebuano_test,all_xlmr,41.4286,0.52,0.414,0.187,0.1837,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,mono_bikol,tagalog_test,mbert,32.0755,0.0,0.321,0.268,0.0489,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_bikol,bikol_test,mbert,83.3333,0.869,0.833,0.106,0.7191,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,mono_bikol,cebuano_test,mbert,62.8571,0.629,0.629,0.19,0.4196,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,mono_bikol,tagalog_test,all,37.7358,0.0,0.377,0.249,0.1193,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,mono_bikol,bikol_test,all,83.3333,0.805,0.833,0.094,0.7222,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,mono_bikol,cebuano_test,all,65.7143,0.645,0.657,0.208,0.4459,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,mono_bikol,tagalog_test,xlmr,28.3019,0.0,0.283,0.283,0.0,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,mono_bikol,bikol_test,xlmr,86.6667,0.881,0.867,0.097,0.7765,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,mono_bikol,cebuano_test,xlmr,67.1429,0.672,0.671,0.256,0.4386,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,mono_bikol,tagalog_test,all_xlmr,33.9623,0.0,0.34,0.261,0.0734,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,mono_bikol,bikol_test,all_xlmr,90.0,0.911,0.9,0.078,0.8315,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,mono_bikol,cebuano_test,all_xlmr,70.0,0.716,0.7,0.239,0.4899,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,mono_cebuano,tagalog_test,mbert,49.0566,0.532,0.491,0.278,0.2163,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_cebuano,bikol_test,mbert,70.0,0.795,0.7,0.095,0.5431,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
0,mono_cebuano,cebuano_test,mbert,82.8571,0.829,0.829,0.094,0.7287,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
0,mono_cebuano,tagalog_test,all,50.9434,0.562,0.509,0.268,0.247,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,mono_cebuano,bikol_test,all,73.3333,0.807,0.733,0.088,0.5897,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,mono_cebuano,cebuano_test,all,78.5714,0.786,0.786,0.116,0.6602,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
