fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro
0,mono_tagalog,tagalog_test,trad,37.7358,0.0,0.377,0.348,0.0294,0.23500000000000001
0,mono_tagalog,bikol_test,trad,43.3333,0.0,0.433,0.265,0.1667,0.32666666666666666
0,mono_tagalog,cebuano_test,trad,34.2857,0.627,0.343,0.223,0.1085,0.31833333333333336
0,mono_tagalog,tagalog_test,trad_clgsngo,37.7358,0.0,0.377,0.348,0.0294,0.23600000000000002
0,mono_tagalog,bikol_test,trad_clgsngo,43.3333,0.0,0.433,0.278,0.1584,0.331
0,mono_tagalog,cebuano_test,trad_clgsngo,34.2857,0.631,0.343,0.221,0.1139,0.30933333333333335
0,mono_tagalog,tagalog_test,mbert,47.1698,0.485,0.472,0.283,0.1926,0.461
0,mono_tagalog,bikol_test,mbert,40.0,0.408,0.4,0.289,0.122,0.383
0,mono_tagalog,cebuano_test,mbert,35.7143,0.353,0.357,0.401,-0.0308,0.3373333333333333
0,mono_tagalog,tagalog_test,all,49.0566,0.512,0.491,0.275,0.2197,0.47733333333333333
0,mono_tagalog,bikol_test,all,43.3333,0.426,0.433,0.282,0.1626,0.411
0,mono_tagalog,cebuano_test,all,41.4286,0.393,0.414,0.361,0.0645,0.3846666666666667
0,mono_tagalog,tagalog_test,xlmr,54.717,0.536,0.547,0.241,0.3064,0.5096666666666666
0,mono_tagalog,bikol_test,xlmr,43.3333,0.622,0.433,0.303,0.1146,0.2816666666666667
0,mono_tagalog,cebuano_test,xlmr,30.0,0.467,0.3,0.224,0.0608,0.22566666666666668
0,mono_tagalog,tagalog_test,all_xlmr,52.8302,0.512,0.528,0.248,0.2791,0.49533333333333335
0,mono_tagalog,bikol_test,all_xlmr,40.0,0.628,0.4,0.297,0.0863,0.248
0,mono_tagalog,cebuano_test,all_xlmr,31.4286,0.478,0.314,0.218,0.0764,0.24
0,mono_bikol,tagalog_test,trad,43.3962,0.0,0.434,0.267,0.1675,0.35233333333333333
0,mono_bikol,bikol_test,trad,76.6667,0.0,0.767,0.175,0.5954,0.5573333333333333
0,mono_bikol,cebuano_test,trad,65.7143,0.0,0.657,0.259,0.4167,0.5026666666666667
0,mono_bikol,tagalog_test,trad_clgsngo,43.3962,0.0,0.434,0.261,0.171,0.3526666666666667
0,mono_bikol,bikol_test,trad_clgsngo,76.6667,0.0,0.767,0.175,0.5954,0.5573333333333333
0,mono_bikol,cebuano_test,trad_clgsngo,62.8571,0.0,0.629,0.304,0.3519,0.47933333333333333
0,mono_bikol,tagalog_test,mbert,32.0755,0.0,0.321,0.271,0.045,0.23266666666666666
0,mono_bikol,bikol_test,mbert,76.6667,0.752,0.767,0.12,0.6196,0.6473333333333333
0,mono_bikol,cebuano_test,mbert,60.0,0.688,0.6,0.166,0.3928,0.507
0,mono_bikol,tagalog_test,all,43.3962,0.0,0.434,0.242,0.1829,0.36066666666666664
0,mono_bikol,bikol_test,all,83.3333,0.805,0.833,0.094,0.7222,0.6983333333333334
0,mono_bikol,cebuano_test,all,62.8571,0.645,0.629,0.17,0.4277,0.548
0,mono_bikol,tagalog_test,xlmr,28.3019,0.0,0.283,0.283,0.0,0.147
0,mono_bikol,bikol_test,xlmr,80.0,0.828,0.8,0.145,0.6591,0.6776666666666666
0,mono_bikol,cebuano_test,xlmr,64.2857,0.615,0.643,0.285,0.389,0.5516666666666666
0,mono_bikol,tagalog_test,all_xlmr,35.8491,0.0,0.358,0.256,0.0945,0.28400000000000003
0,mono_bikol,bikol_test,all_xlmr,83.3333,0.855,0.833,0.116,0.7222,0.7693333333333333
0,mono_bikol,cebuano_test,all_xlmr,65.7143,0.619,0.657,0.27,0.415,0.5393333333333333
0,mono_cebuano,tagalog_test,trad,54.717,0.546,0.547,0.241,0.3079,0.527
0,mono_cebuano,bikol_test,trad,63.3333,0.727,0.633,0.141,0.45,0.6006666666666667
0,mono_cebuano,cebuano_test,trad,74.2857,0.75,0.743,0.19,0.5783,0.7096666666666667
