fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,mono_tagalog,tagalog_test,mbert,47.1698,0.485,0.472,0.283,0.1926,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.461
0,mono_tagalog,bikol_test,mbert,40.0,0.408,0.4,0.289,0.122,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.383
0,mono_tagalog,cebuano_test,mbert,35.7143,0.353,0.357,0.401,-0.0308,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.3373333333333333
0,mono_tagalog,tagalog_test,all,49.0566,0.512,0.491,0.275,0.2197,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.47733333333333333
0,mono_tagalog,bikol_test,all,43.3333,0.426,0.433,0.282,0.1626,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.411
0,mono_tagalog,cebuano_test,all,41.4286,0.393,0.414,0.361,0.0645,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.3846666666666667
0,mono_tagalog,tagalog_test,xlmr,54.717,0.536,0.547,0.241,0.3064,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5096666666666666
0,mono_tagalog,bikol_test,xlmr,43.3333,0.622,0.433,0.303,0.1146,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.2816666666666667
0,mono_tagalog,cebuano_test,xlmr,30.0,0.467,0.3,0.224,0.0608,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.22566666666666668
0,mono_tagalog,tagalog_test,all_xlmr,52.8302,0.512,0.528,0.248,0.2791,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.49533333333333335
0,mono_tagalog,bikol_test,all_xlmr,40.0,0.628,0.4,0.297,0.0863,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.248
0,mono_tagalog,cebuano_test,all_xlmr,31.4286,0.478,0.314,0.218,0.0764,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.24
0,mono_bikol,tagalog_test,mbert,32.0755,0.0,0.321,0.271,0.045,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.23266666666666666
0,mono_bikol,bikol_test,mbert,76.6667,0.752,0.767,0.12,0.6196,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.6473333333333333
0,mono_bikol,cebuano_test,mbert,60.0,0.688,0.6,0.166,0.3928,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.507
0,mono_bikol,tagalog_test,all,43.3962,0.0,0.434,0.242,0.1829,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.36066666666666664
0,mono_bikol,bikol_test,all,83.3333,0.805,0.833,0.094,0.7222,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.6983333333333334
0,mono_bikol,cebuano_test,all,62.8571,0.645,0.629,0.17,0.4277,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.548
0,mono_bikol,tagalog_test,xlmr,28.3019,0.0,0.283,0.283,0.0,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.147
0,mono_bikol,bikol_test,xlmr,80.0,0.828,0.8,0.145,0.6591,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.6776666666666666
0,mono_bikol,cebuano_test,xlmr,64.2857,0.615,0.643,0.285,0.389,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.5516666666666666
0,mono_bikol,tagalog_test,all_xlmr,35.8491,0.0,0.358,0.256,0.0945,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.28400000000000003
0,mono_bikol,bikol_test,all_xlmr,83.3333,0.855,0.833,0.116,0.7222,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.7693333333333333
0,mono_bikol,cebuano_test,all_xlmr,65.7143,0.619,0.657,0.27,0.415,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.5393333333333333
0,mono_cebuano,tagalog_test,mbert,47.1698,0.566,0.472,0.292,0.1873,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.38833333333333336
0,mono_cebuano,bikol_test,mbert,83.3333,0.849,0.833,0.071,0.734,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.7853333333333333
0,mono_cebuano,cebuano_test,mbert,78.5714,0.781,0.786,0.128,0.6569,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7673333333333333
0,mono_cebuano,tagalog_test,all,47.1698,0.337,0.472,0.283,0.1961,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.3793333333333333
0,mono_cebuano,bikol_test,all,80.0,0.801,0.8,0.098,0.6757,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.718
0,mono_cebuano,cebuano_test,all,78.5714,0.781,0.786,0.128,0.6569,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7673333333333333
0,mono_cebuano,tagalog_test,xlmr,41.5094,0.0,0.415,0.299,0.1195,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.3293333333333333
0,mono_cebuano,bikol_test,xlmr,66.6667,0.787,0.667,0.102,0.5098,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.64
0,mono_cebuano,cebuano_test,xlmr,80.0,0.838,0.8,0.161,0.668,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7716666666666666
0,mono_cebuano,tagalog_test,all_xlmr,41.5094,0.0,0.415,0.299,0.1195,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.3293333333333333
0,mono_cebuano,bikol_test,all_xlmr,66.6667,0.787,0.667,0.102,0.5098,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.64
0,mono_cebuano,cebuano_test,all_xlmr,81.4286,0.849,0.814,0.148,0.6936,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.7866666666666666
0,bi_bikol_tagalog,tagalog_test,mbert,50.9434,0.544,0.509,0.265,0.2503,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.49933333333333335
0,bi_bikol_tagalog,bikol_test,mbert,73.3333,0.794,0.733,0.101,0.596,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.713
0,bi_bikol_tagalog,cebuano_test,mbert,61.4286,0.617,0.614,0.206,0.4086,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.6113333333333334
0,bi_bikol_tagalog,tagalog_test,all,52.8302,0.524,0.528,0.245,0.2853,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5083333333333333
0,bi_bikol_tagalog,bikol_test,all,76.6667,0.809,0.767,0.094,0.6429,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.745
0,bi_bikol_tagalog,cebuano_test,all,60.0,0.584,0.6,0.234,0.3694,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.574
0,bi_bikol_tagalog,tagalog_test,xlmr,56.6038,0.563,0.566,0.212,0.3509,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5476666666666666
0,bi_bikol_tagalog,bikol_test,xlmr,66.6667,0.723,0.667,0.137,0.4872,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.6153333333333333
0,bi_bikol_tagalog,cebuano_test,xlmr,60.0,0.551,0.6,0.211,0.3714,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.516
0,bi_bikol_tagalog,tagalog_test,all_xlmr,60.3774,0.613,0.604,0.19,0.4061,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5713333333333334
0,bi_bikol_tagalog,bikol_test,all_xlmr,66.6667,0.698,0.667,0.159,0.4792,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6143333333333333
0,bi_bikol_tagalog,cebuano_test,all_xlmr,60.0,0.546,0.6,0.228,0.3649,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.5156666666666666
0,bi_cebuano_bikol,tagalog_test,mbert,47.1698,0.501,0.472,0.28,0.1978,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.39999999999999997
0,bi_cebuano_bikol,bikol_test,mbert,90.0,0.911,0.9,0.078,0.8315,BCL+CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.8203333333333332
0,bi_cebuano_bikol,cebuano_test,mbert,80.0,0.817,0.8,0.099,0.6841,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7643333333333334
0,bi_cebuano_bikol,tagalog_test,all,47.1698,0.0,0.472,0.283,0.1961,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.37600000000000006
0,bi_cebuano_bikol,bikol_test,all,90.0,0.911,0.9,0.078,0.8315,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.8203333333333332
0,bi_cebuano_bikol,cebuano_test,all,78.5714,0.801,0.786,0.113,0.66,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7453333333333333
0,bi_cebuano_bikol,tagalog_test,xlmr,41.5094,0.621,0.415,0.302,0.1157,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.3466666666666667
0,bi_cebuano_bikol,bikol_test,xlmr,83.3333,0.799,0.833,0.113,0.7191,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.7033333333333333
0,bi_cebuano_bikol,cebuano_test,xlmr,80.0,0.799,0.8,0.119,0.6818,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7759999999999999
0,bi_cebuano_bikol,tagalog_test,all_xlmr,39.6226,0.436,0.396,0.313,0.0872,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.3363333333333333
0,bi_cebuano_bikol,bikol_test,all_xlmr,83.3333,0.799,0.833,0.113,0.7191,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.7033333333333333
0,bi_cebuano_bikol,cebuano_test,all_xlmr,77.1429,0.776,0.771,0.128,0.6389,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.7416666666666666
0,bi_tagalog_cebuano,tagalog_test,mbert,49.0566,0.586,0.491,0.244,0.2445,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.4793333333333334
0,bi_tagalog_cebuano,bikol_test,mbert,73.3333,0.787,0.733,0.101,0.5897,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.6933333333333334
0,bi_tagalog_cebuano,cebuano_test,mbert,78.5714,0.79,0.786,0.122,0.6569,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.731
0,bi_tagalog_cebuano,tagalog_test,all,56.6038,0.615,0.566,0.218,0.3481,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5573333333333333
0,bi_tagalog_cebuano,bikol_test,all,76.6667,0.799,0.767,0.094,0.6354,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.7213333333333333
0,bi_tagalog_cebuano,cebuano_test,all,81.4286,0.86,0.814,0.101,0.703,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7626666666666667
0,bi_tagalog_cebuano,tagalog_test,xlmr,50.9434,0.666,0.509,0.237,0.2709,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.47000000000000003
0,bi_tagalog_cebuano,bikol_test,xlmr,66.6667,0.738,0.667,0.127,0.4949,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.608
0,bi_tagalog_cebuano,cebuano_test,xlmr,77.1429,0.792,0.771,0.143,0.6306,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.71
0,bi_tagalog_cebuano,tagalog_test,all_xlmr,50.9434,0.669,0.509,0.231,0.2755,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.4713333333333334
0,bi_tagalog_cebuano,bikol_test,all_xlmr,70.0,0.751,0.7,0.12,0.5385,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6363333333333333
0,bi_tagalog_cebuano,cebuano_test,all_xlmr,75.7143,0.787,0.757,0.138,0.6121,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.695
0,all_languages,tagalog_test,mbert,60.3774,0.603,0.604,0.203,0.3997,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.5926666666666667
0,all_languages,bikol_test,mbert,90.0,0.911,0.9,0.033,0.8413,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.8663333333333334
0,all_languages,cebuano_test,mbert,75.7143,0.752,0.757,0.143,0.6114,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7226666666666667
0,all_languages,tagalog_test,all,60.3774,0.691,0.604,0.221,0.3891,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5863333333333333
0,all_languages,bikol_test,all,83.3333,0.88,0.833,0.046,0.7423,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.7983333333333333
0,all_languages,cebuano_test,all,80.0,0.805,0.8,0.105,0.6895,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.8006666666666667
0,all_languages,tagalog_test,xlmr,54.717,0.55,0.547,0.244,0.3049,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5173333333333333
0,all_languages,bikol_test,xlmr,86.6667,0.867,0.867,0.062,0.7861,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.8153333333333332
0,all_languages,cebuano_test,xlmr,80.0,0.801,0.8,0.125,0.6808,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.798
0,all_languages,tagalog_test,all_xlmr,56.6038,0.567,0.566,0.227,0.3397,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.536
0,all_languages,bikol_test,all_xlmr,86.6667,0.867,0.867,0.062,0.7861,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.8153333333333332
0,all_languages,cebuano_test,all_xlmr,80.0,0.801,0.8,0.125,0.6808,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.798
1,mono_tagalog,tagalog_test,mbert,60.3774,0.653,0.604,0.215,0.3931,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.5893333333333334
1,mono_tagalog,bikol_test,mbert,56.6667,0.599,0.567,0.22,0.3229,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.48633333333333334
1,mono_tagalog,cebuano_test,mbert,42.8571,0.521,0.429,0.22,0.1827,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.39599999999999996
1,mono_tagalog,tagalog_test,all,60.3774,0.649,0.604,0.212,0.3945,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.5883333333333334
1,mono_tagalog,bikol_test,all,53.3333,0.509,0.533,0.259,0.2553,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.4136666666666667
1,mono_tagalog,cebuano_test,all,48.5714,0.578,0.486,0.197,0.2522,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.441
1,mono_tagalog,tagalog_test,xlmr,58.4906,0.61,0.585,0.226,0.3642,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.574
1,mono_tagalog,bikol_test,xlmr,40.0,0.452,0.4,0.345,0.0476,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.25866666666666666
1,mono_tagalog,cebuano_test,xlmr,30.0,0.541,0.3,0.215,0.0561,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.2396666666666667
1,mono_tagalog,tagalog_test,all_xlmr,54.717,0.572,0.547,0.247,0.3034,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5179999999999999
1,mono_tagalog,bikol_test,all_xlmr,43.3333,0.622,0.433,0.303,0.1146,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.2816666666666667
1,mono_tagalog,cebuano_test,all_xlmr,32.8571,0.546,0.329,0.206,0.0902,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.264
1,mono_bikol,tagalog_test,mbert,45.283,0.0,0.453,0.281,0.1728,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.345
1,mono_bikol,bikol_test,mbert,60.0,0.581,0.6,0.256,0.337,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.5163333333333333
1,mono_bikol,cebuano_test,mbert,68.5714,0.691,0.686,0.147,0.5099,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.63
1,mono_bikol,tagalog_test,all,43.3962,0.0,0.434,0.288,0.1461,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.332
1,mono_bikol,bikol_test,all,63.3333,0.615,0.633,0.226,0.3956,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.5436666666666666
1,mono_bikol,cebuano_test,all,72.8571,0.717,0.729,0.145,0.5676,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.6833333333333332
1,mono_bikol,tagalog_test,xlmr,39.6226,0.0,0.396,0.285,0.1064,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.314
1,mono_bikol,bikol_test,xlmr,56.6667,0.547,0.567,0.285,0.2778,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.4873333333333334
1,mono_bikol,cebuano_test,xlmr,52.8571,0.426,0.529,0.258,0.2577,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.42133333333333334
1,mono_bikol,tagalog_test,all_xlmr,39.6226,0.0,0.396,0.288,0.1045,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.313
1,mono_bikol,bikol_test,all_xlmr,63.3333,0.615,0.633,0.226,0.3956,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.5436666666666666
1,mono_bikol,cebuano_test,all_xlmr,51.4286,0.425,0.514,0.265,0.2377,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.41933333333333334
1,mono_cebuano,tagalog_test,mbert,43.3962,0.434,0.434,0.304,0.133,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.41133333333333333
1,mono_cebuano,bikol_test,mbert,40.0,0.71,0.4,0.196,0.1705,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.3453333333333333
1,mono_cebuano,cebuano_test,mbert,64.2857,0.66,0.643,0.165,0.4514,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.6146666666666667
1,mono_cebuano,tagalog_test,all,39.6226,0.411,0.396,0.325,0.0752,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.38833333333333336
