fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,mono_tagalog,tagalog_test,trad,39.6226,0.598,0.396,0.337,0.0609,TGL,TGL,TRAD,TGL | TRAD,0.257
0,mono_tagalog,bikol_test,trad,43.3333,0.0,0.433,0.29,0.15,TGL,BCL,TRAD,BCL | TRAD,0.337
0,mono_tagalog,cebuano_test,trad,34.2857,0.612,0.343,0.215,0.111,TGL,CEB,TRAD,CEB | TRAD,0.306
0,mono_tagalog,tagalog_test,trad_clgsngo,39.6226,0.542,0.396,0.337,0.0609,TGL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.25833333333333336
0,mono_tagalog,bikol_test,trad_clgsngo,43.3333,0.0,0.433,0.328,0.1237,TGL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.37833333333333324
0,mono_tagalog,cebuano_test,trad_clgsngo,31.4286,0.578,0.314,0.222,0.0754,TGL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.2643333333333333
0,mono_tagalog,tagalog_test,mbert,49.0566,0.508,0.491,0.272,0.2231,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.48633333333333334
0,mono_tagalog,bikol_test,mbert,40.0,0.408,0.4,0.289,0.122,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.383
0,mono_tagalog,cebuano_test,mbert,37.1429,0.356,0.371,0.403,-0.0233,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.3336666666666667
0,mono_tagalog,tagalog_test,all,49.0566,0.503,0.491,0.272,0.2214,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.4756666666666667
0,mono_tagalog,bikol_test,all,43.3333,0.422,0.433,0.295,0.1542,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.4146666666666667
0,mono_tagalog,cebuano_test,all,40.0,0.384,0.4,0.376,0.0348,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.37166666666666665
0,mono_tagalog,tagalog_test,xlmr,52.8302,0.519,0.528,0.251,0.2775,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.49066666666666664
0,mono_tagalog,bikol_test,xlmr,40.0,0.622,0.4,0.309,0.0769,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.24266666666666667
