fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,mono_tagalog,tagalog_test,trad,50.9434,0.502,0.509,0.256,0.2535,TGL,TGL,TRAD,TGL | TRAD,0.492
0,mono_tagalog,bikol_test,trad,36.6667,0.4,0.367,0.232,0.1364,TGL,BCL,TRAD,BCL | TRAD,0.35833333333333334
0,mono_tagalog,cebuano_test,trad,54.2857,0.659,0.543,0.22,0.3224,TGL,CEB,TRAD,CEB | TRAD,0.576
0,mono_tagalog,tagalog_test,trad_clgsngo,49.0566,0.486,0.491,0.263,0.2265,TGL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.478
0,mono_tagalog,bikol_test,trad_clgsngo,36.6667,0.274,0.367,0.2,0.148,TGL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.323
0,mono_tagalog,cebuano_test,trad_clgsngo,51.4286,0.677,0.514,0.216,0.2942,TGL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.5373333333333333
0,mono_tagalog,tagalog_test,mbert,43.3962,0.443,0.434,0.31,0.1254,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.383
0,mono_tagalog,bikol_test,mbert,30.0,0.0,0.3,0.185,0.0948,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.24833333333333332
0,mono_tagalog,cebuano_test,mbert,28.5714,0.0,0.286,0.332,-0.0373,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.18666666666666668
0,mono_tagalog,tagalog_test,all,43.3962,0.568,0.434,0.316,0.1235,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.41100000000000003
0,mono_tagalog,bikol_test,all,23.3333,0.0,0.233,0.153,0.0574,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.18433333333333332
0,mono_tagalog,cebuano_test,all,32.8571,0.0,0.329,0.3,0.0289,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.21766666666666667
0,mono_tagalog,tagalog_test,xlmr,50.9434,0.565,0.509,0.271,0.242,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.4673333333333333
