train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa
mono_tagalog,tagalog_test,trad,43.3962,0.0,0.434,0.319,0.1132
mono_tagalog,bikol_test,trad,20.0,0.0,0.2,0.211,-0.0169
mono_tagalog,cebuano_test,trad,30.0,0.0,0.3,0.28,0.0211
mono_tagalog,tagalog_test,trad_clgsngo,41.5094,0.0,0.415,0.331,0.0821
mono_tagalog,bikol_test,trad_clgsngo,23.3333,0.0,0.233,0.242,-0.0177
mono_tagalog,cebuano_test,trad_clgsngo,34.2857,0.0,0.343,0.255,0.0914
mono_tagalog,tagalog_test,mbert,58.4906,0.58,0.585,0.219,0.3639
mono_tagalog,bikol_test,mbert,40.0,0.372,0.4,0.393,0.0055
mono_tagalog,cebuano_test,mbert,32.8571,0.23,0.329,0.522,-0.1955
mono_tagalog,tagalog_test,all,54.717,0.552,0.547,0.247,0.3053
mono_tagalog,bikol_test,all,43.3333,0.444,0.433,0.364,0.0659
mono_tagalog,cebuano_test,all,34.2857,0.238,0.343,0.517,-0.176
mono_tagalog,tagalog_test,xlmr,50.9434,0.508,0.509,0.278,0.2353
mono_tagalog,bikol_test,xlmr,40.0,0.608,0.4,0.322,0.0625
mono_tagalog,cebuano_test,xlmr,37.1429,0.508,0.371,0.201,0.1363
mono_tagalog,tagalog_test,all_xlmr,54.717,0.556,0.547,0.255,0.2953
mono_tagalog,bikol_test,all_xlmr,40.0,0.608,0.4,0.322,0.0625
mono_tagalog,cebuano_test,all_xlmr,37.1429,0.506,0.371,0.198,0.1382
mono_bikol,tagalog_test,trad,47.1698,0.0,0.472,0.232,0.2307
mono_bikol,bikol_test,trad,63.3333,0.0,0.633,0.281,0.3567
mono_bikol,cebuano_test,trad,64.2857,0.0,0.643,0.319,0.3646
mono_bikol,tagalog_test,trad_clgsngo,41.5094,0.0,0.415,0.275,0.1321
mono_bikol,bikol_test,trad_clgsngo,63.3333,0.0,0.633,0.262,0.3642
mono_bikol,cebuano_test,trad_clgsngo,64.2857,0.0,0.643,0.319,0.3646
mono_bikol,tagalog_test,mbert,45.283,0.301,0.453,0.261,0.1911
mono_bikol,bikol_test,mbert,60.0,0.526,0.6,0.258,0.322
mono_bikol,cebuano_test,mbert,70.0,0.667,0.7,0.189,0.5161
mono_bikol,tagalog_test,all,47.1698,0.31,0.472,0.259,0.214
mono_bikol,bikol_test,all,66.6667,0.583,0.667,0.21,0.435
mono_bikol,cebuano_test,all,72.8571,0.7,0.729,0.18,0.5616
mono_bikol,tagalog_test,xlmr,41.5094,0.0,0.415,0.247,0.1587
mono_bikol,bikol_test,xlmr,66.6667,0.576,0.667,0.22,0.4318
mono_bikol,cebuano_test,xlmr,67.1429,0.632,0.671,0.266,0.4359
mono_bikol,tagalog_test,all_xlmr,47.1698,0.0,0.472,0.236,0.2283
mono_bikol,bikol_test,all_xlmr,70.0,0.604,0.7,0.21,0.4828
mono_bikol,cebuano_test,all_xlmr,70.0,0.695,0.7,0.239,0.4906
mono_cebuano,tagalog_test,trad,52.8302,0.69,0.528,0.225,0.2937
mono_cebuano,bikol_test,trad,56.6667,0.0,0.567,0.3,0.2614
mono_cebuano,cebuano_test,trad,67.1429,0.0,0.671,0.292,0.4229
mono_cebuano,tagalog_test,trad_clgsngo,52.8302,0.0,0.528,0.221,0.2978
mono_cebuano,bikol_test,trad_clgsngo,60.0,0.0,0.6,0.301,0.3023
mono_cebuano,cebuano_test,trad_clgsngo,65.7143,0.0,0.657,0.305,0.3939
mono_cebuano,tagalog_test,mbert,52.8302,0.526,0.528,0.245,0.2807
mono_cebuano,bikol_test,mbert,66.6667,0.679,0.667,0.172,0.4681
mono_cebuano,cebuano_test,mbert,74.2857,0.773,0.743,0.217,0.5616
mono_cebuano,tagalog_test,all,52.8302,0.594,0.528,0.234,0.2903
mono_cebuano,bikol_test,all,63.3333,0.551,0.633,0.269,0.3642
mono_cebuano,cebuano_test,all,71.4286,0.795,0.714,0.242,0.5088
mono_cebuano,tagalog_test,xlmr,54.717,0.551,0.547,0.226,0.3165
mono_cebuano,bikol_test,xlmr,56.6667,0.0,0.567,0.29,0.2697
mono_cebuano,cebuano_test,xlmr,68.5714,0.669,0.686,0.238,0.4719
mono_cebuano,tagalog_test,all_xlmr,56.6038,0.561,0.566,0.219,0.3425
mono_cebuano,bikol_test,all_xlmr,60.0,0.0,0.6,0.271,0.322
mono_cebuano,cebuano_test,all_xlmr,71.4286,0.711,0.714,0.219,0.5199
