classifier,classifier_label,feature_set,test_language,bisayan_affiliated,accuracy,kappa,f1_weighted,f1_macro,precision_weighted,recall_weighted
random_forest,RandomForest (baseline),trad_clgsngo,hiligaynon,True,66.1654,0.4912,0.746,0.6356666666666667,0.662,0.125
random_forest,RandomForest (baseline),trad_clgsngo,minasbate,True,57.4627,0.3553,0.585,0.5526666666666666,0.575,0.204
random_forest,RandomForest (baseline),trad_clgsngo,karay-a,True,69.9422,0.5272,0.723,0.654,0.699,0.151
random_forest,RandomForest (baseline),trad_clgsngo,rinconada,False,52.8205,0.2806,0.654,0.4693333333333334,0.528,0.17
random_forest,RandomForest (baseline),all_xlmr,hiligaynon,True,70.6767,0.5393,0.735,0.6456666666666667,0.707,0.135
random_forest,RandomForest (baseline),all_xlmr,minasbate,True,59.3284,0.3803,0.594,0.515,0.593,0.192
random_forest,RandomForest (baseline),all_xlmr,karay-a,True,79.1908,0.6596,0.775,0.7123333333333334,0.792,0.126
random_forest,RandomForest (baseline),all_xlmr,rinconada,False,59.4872,0.3518,0.668,0.5063333333333333,0.595,0.169
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",trad_clgsngo,hiligaynon,True,60.1504,0.3298,0.551,0.4676666666666667,0.602,0.269
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",trad_clgsngo,minasbate,True,59.3284,0.3353,0.52,0.457,0.593,0.262
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",trad_clgsngo,karay-a,True,66.474,0.4492,0.608,0.537,0.665,0.196
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",trad_clgsngo,rinconada,False,60.5128,0.3076,0.557,0.4256666666666667,0.605,0.252
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",all_xlmr,hiligaynon,True,70.6767,0.5616,0.803,0.6819999999999999,0.707,0.096
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",all_xlmr,minasbate,True,54.4776,0.3259,0.591,0.5236666666666666,0.545,0.195
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",all_xlmr,karay-a,True,67.6301,0.4987,0.73,0.6293333333333333,0.676,0.141
bagged_mlp,"Bagged MLP x10 (hybrid, XLM-R + features)",all_xlmr,rinconada,False,56.4103,0.3275,0.69,0.49966666666666665,0.564,0.141
