hidden,epochs,fold,lang,feature_set,accuracy,kappa,f1_weighted
128,10,0,tagalog,mbert,47.1698,0.1926,0.485
128,10,0,tagalog,all,49.0566,0.2197,0.512
128,10,0,tagalog,xlmr,54.717,0.3064,0.536
128,10,0,tagalog,all_xlmr,52.8302,0.2791,0.512
128,10,0,bikol,mbert,76.6667,0.6196,0.752
128,10,0,bikol,all,83.3333,0.7222,0.805
128,10,0,bikol,xlmr,80.0,0.6591,0.828
128,10,0,bikol,all_xlmr,83.3333,0.7222,0.855
128,10,0,cebuano,mbert,78.5714,0.6569,0.781
128,10,0,cebuano,all,78.5714,0.6569,0.781
128,10,0,cebuano,xlmr,80.0,0.668,0.838
128,10,0,cebuano,all_xlmr,81.4286,0.6936,0.849
128,10,1,tagalog,mbert,60.3774,0.3931,0.653
128,10,1,tagalog,all,60.3774,0.3945,0.649
128,10,1,tagalog,xlmr,58.4906,0.3642,0.61
128,10,1,tagalog,all_xlmr,54.717,0.3034,0.572
128,10,1,bikol,mbert,60.0,0.337,0.581
128,10,1,bikol,all,63.3333,0.3956,0.615
128,10,1,bikol,xlmr,56.6667,0.2778,0.547
128,10,1,bikol,all_xlmr,63.3333,0.3956,0.615
128,10,1,cebuano,mbert,64.2857,0.4514,0.66
128,10,1,cebuano,all,61.4286,0.4094,0.639
128,10,1,cebuano,xlmr,64.2857,0.4413,0.647
128,10,1,cebuano,all_xlmr,61.4286,0.3973,0.617
128,10,2,tagalog,mbert,64.1509,0.4554,0.678
128,10,2,tagalog,all,66.0377,0.484,0.684
128,10,2,tagalog,xlmr,56.6038,0.3439,0.621
128,10,2,tagalog,all_xlmr,60.3774,0.4073,0.648
128,10,2,bikol,mbert,66.6667,0.4565,0.7
128,10,2,bikol,all,70.0,0.5082,0.769
128,10,2,bikol,xlmr,80.0,0.661,0.824
128,10,2,bikol,all_xlmr,80.0,0.661,0.824
128,10,2,cebuano,mbert,67.1429,0.4771,0.637
128,10,2,cebuano,all,70.0,0.525,0.672
128,10,2,cebuano,xlmr,75.7143,0.6079,0.75
128,10,2,cebuano,all_xlmr,75.7143,0.6071,0.758
128,10,3,tagalog,mbert,33.9623,-0.0032,0.351
128,10,3,tagalog,all,37.7358,0.0536,0.4
128,10,3,tagalog,xlmr,52.8302,0.283,0.531
128,10,3,tagalog,all_xlmr,54.717,0.3143,0.555
128,10,3,bikol,mbert,70.0,0.5037,0.0
128,10,3,bikol,all,76.6667,0.6111,0.0
128,10,3,bikol,xlmr,70.0,0.5246,0.714
128,10,3,bikol,all_xlmr,73.3333,0.5644,0.798
128,10,3,cebuano,mbert,68.5714,0.4998,0.659
128,10,3,cebuano,all,67.1429,0.4749,0.637
128,10,3,cebuano,xlmr,67.1429,0.4821,0.666
128,10,3,cebuano,all_xlmr,65.7143,0.4563,0.656
128,10,4,tagalog,mbert,41.5094,0.1051,0.42
128,10,4,tagalog,all,41.5094,0.1027,0.429
128,10,4,tagalog,xlmr,50.9434,0.2424,0.508
128,10,4,tagalog,all_xlmr,50.9434,0.2429,0.509
128,10,4,bikol,mbert,70.0,0.5304,0.714
128,10,4,bikol,all,73.3333,0.5897,0.758
128,10,4,bikol,xlmr,70.0,0.5345,0.719
128,10,4,bikol,all_xlmr,76.6667,0.6386,0.78
128,10,4,cebuano,mbert,72.4638,0.5725,0.727
128,10,4,cebuano,all,75.3623,0.6087,0.749
128,10,4,cebuano,xlmr,75.3623,0.5913,0.756
128,10,4,cebuano,all_xlmr,76.8116,0.6171,0.77
128,50,0,tagalog,mbert,45.283,0.1674,0.443
128,50,0,tagalog,all,47.1698,0.1978,0.469
128,50,0,tagalog,xlmr,54.717,0.3139,0.541
128,50,0,tagalog,all_xlmr,50.9434,0.2583,0.502
128,50,0,bikol,mbert,76.6667,0.6237,0.758
128,50,0,bikol,all,80.0,0.6721,0.774
128,50,0,bikol,xlmr,80.0,0.6685,0.79
128,50,0,bikol,all_xlmr,80.0,0.6791,0.798
128,50,0,cebuano,mbert,75.7143,0.6156,0.754
128,50,0,cebuano,all,74.2857,0.5874,0.73
128,50,0,cebuano,xlmr,81.4286,0.7011,0.809
128,50,0,cebuano,all_xlmr,81.4286,0.7011,0.809
128,50,1,tagalog,mbert,54.717,0.3139,0.552
128,50,1,tagalog,all,58.4906,0.3711,0.602
128,50,1,tagalog,xlmr,60.3774,0.3971,0.616
128,50,1,tagalog,all_xlmr,62.2642,0.4245,0.643
128,50,1,bikol,mbert,66.6667,0.4536,0.65
128,50,1,bikol,all,63.3333,0.3956,0.615
128,50,1,bikol,xlmr,56.6667,0.2935,0.558
128,50,1,bikol,all_xlmr,60.0,0.3514,0.596
128,50,1,cebuano,mbert,68.5714,0.5238,0.731
128,50,1,cebuano,all,65.7143,0.4808,0.718
128,50,1,cebuano,xlmr,60.0,0.379,0.635
128,50,1,cebuano,all_xlmr,60.0,0.3754,0.626
128,50,2,tagalog,mbert,69.8113,0.5436,0.699
128,50,2,tagalog,all,67.9245,0.5143,0.68
128,50,2,tagalog,xlmr,58.4906,0.3824,0.587
128,50,2,tagalog,all_xlmr,60.3774,0.4111,0.619
128,50,2,bikol,mbert,70.0,0.5161,0.708
128,50,2,bikol,all,70.0,0.5161,0.708
128,50,2,bikol,xlmr,76.6667,0.6154,0.768
128,50,2,bikol,all_xlmr,80.0,0.6721,0.798
128,50,2,cebuano,mbert,62.8571,0.4137,0.666
128,50,2,cebuano,all,61.4286,0.3905,0.657
128,50,2,cebuano,xlmr,81.4286,0.7107,0.822
128,50,2,cebuano,all_xlmr,75.7143,0.6209,0.775
128,50,3,tagalog,mbert,35.8491,0.018,0.36
128,50,3,tagalog,all,41.5094,0.0982,0.419
128,50,3,tagalog,xlmr,49.0566,0.2252,0.491
128,50,3,tagalog,all_xlmr,54.717,0.3098,0.55
128,50,3,bikol,mbert,66.6667,0.4536,0.563
128,50,3,bikol,all,70.0,0.5064,0.585
128,50,3,bikol,xlmr,73.3333,0.5691,0.692
128,50,3,bikol,all_xlmr,73.3333,0.573,0.696
128,50,3,cebuano,mbert,65.7143,0.4685,0.676
128,50,3,cebuano,all,67.1429,0.4886,0.683
128,50,3,cebuano,xlmr,62.8571,0.4196,0.655
128,50,3,cebuano,all_xlmr,64.2857,0.4396,0.665
128,50,4,tagalog,mbert,49.0566,0.2404,0.496
128,50,4,tagalog,all,47.1698,0.206,0.472
128,50,4,tagalog,xlmr,52.8302,0.2822,0.529
128,50,4,tagalog,all_xlmr,49.0566,0.2248,0.492
128,50,4,bikol,mbert,66.6667,0.4845,0.696
128,50,4,bikol,all,76.6667,0.6441,0.796
128,50,4,bikol,xlmr,73.3333,0.5812,0.736
128,50,4,bikol,all_xlmr,73.3333,0.5767,0.723
128,50,4,cebuano,mbert,68.1159,0.4937,0.668
128,50,4,cebuano,all,71.0145,0.5411,0.704
128,50,4,cebuano,xlmr,81.1594,0.7001,0.816
128,50,4,cebuano,all_xlmr,78.2609,0.6569,0.796
256,10,0,tagalog,mbert,49.0566,0.2231,0.508
256,10,0,tagalog,all,49.0566,0.2214,0.503
256,10,0,tagalog,xlmr,52.8302,0.2775,0.519
256,10,0,tagalog,all_xlmr,50.9434,0.2503,0.491
256,10,0,bikol,mbert,83.3333,0.7207,0.853
256,10,0,bikol,all,83.3333,0.7222,0.805
256,10,0,bikol,xlmr,80.0,0.6591,0.828
256,10,0,bikol,all_xlmr,90.0,0.8315,0.911
256,10,0,cebuano,mbert,75.7143,0.6111,0.752
256,10,0,cebuano,all,77.1429,0.6323,0.764
256,10,0,cebuano,xlmr,80.0,0.668,0.838
256,10,0,cebuano,all_xlmr,80.0,0.668,0.838
256,10,1,tagalog,mbert,52.8302,0.2775,0.571
256,10,1,tagalog,all,58.4906,0.367,0.642
256,10,1,tagalog,xlmr,54.717,0.3034,0.572
256,10,1,tagalog,all_xlmr,54.717,0.3034,0.575
256,10,1,bikol,mbert,60.0,0.337,0.581
256,10,1,bikol,all,66.6667,0.4595,0.668
256,10,1,bikol,xlmr,53.3333,0.209,0.475
256,10,1,bikol,all_xlmr,60.0,0.3296,0.537
256,10,1,cebuano,mbert,61.4286,0.4108,0.644
256,10,1,cebuano,all,57.1429,0.3625,0.647
256,10,1,cebuano,xlmr,65.7143,0.457,0.651
256,10,1,cebuano,all_xlmr,64.2857,0.4369,0.639
256,10,2,tagalog,mbert,64.1509,0.4551,0.663
256,10,2,tagalog,all,64.1509,0.4554,0.662
256,10,2,tagalog,xlmr,56.6038,0.3516,0.649
256,10,2,tagalog,all_xlmr,58.4906,0.3771,0.612
256,10,2,bikol,mbert,63.3333,0.3989,0.671
256,10,2,bikol,all,66.6667,0.4595,0.757
256,10,2,bikol,xlmr,80.0,0.661,0.824
256,10,2,bikol,all_xlmr,80.0,0.661,0.824
256,10,2,cebuano,mbert,64.2857,0.4324,0.626
256,10,2,cebuano,all,68.5714,0.5019,0.659
256,10,2,cebuano,xlmr,77.1429,0.6274,0.77
256,10,2,cebuano,all_xlmr,74.2857,0.5818,0.745
256,10,3,tagalog,mbert,37.7358,0.0592,0.377
256,10,3,tagalog,all,35.8491,0.0333,0.366
256,10,3,tagalog,xlmr,52.8302,0.2787,0.533
256,10,3,tagalog,all_xlmr,50.9434,0.2555,0.522
256,10,3,bikol,mbert,70.0,0.5,0.0
256,10,3,bikol,all,76.6667,0.6082,0.0
256,10,3,bikol,xlmr,83.3333,0.7292,0.869
256,10,3,bikol,all_xlmr,80.0,0.6763,0.849
256,10,3,cebuano,mbert,64.2857,0.4281,0.61
256,10,3,cebuano,all,61.4286,0.3864,0.599
256,10,3,cebuano,xlmr,67.1429,0.4795,0.664
256,10,3,cebuano,all_xlmr,68.5714,0.4995,0.68
256,10,4,tagalog,mbert,49.0566,0.2129,0.527
256,10,4,tagalog,all,37.7358,0.0395,0.386
