book_title,consonant_cluster_density,v_density,cv_density,vc_density,cvc_density,vcc_density,cvcc_density,ccvc_density,ccv_density,ccvcc_density,ccvccc_density,grade_level
A Lata,0.2,1.7,1.5,0.9,0.6,0.2,0.0,0.0,0.0,0.0,0.0,1
Aaloo-Maaloo-Kaaloo,0.44370860927152317,2.1390728476821192,1.8079470198675496,1.4569536423841059,0.8675496688741722,0.3443708609271523,0.2781456953642384,0.11920529801324503,0.2185430463576159,0.033112582781456956,0.0,1
Ako at ang Aking Paaralan,0.5132275132275133,2.3386243386243386,1.9312169312169312,1.8412698412698412,0.9523809523809523,0.3915343915343915,0.2857142857142857,0.1111111111111111,0.20634920634920634,0.010582010582010581,0.0,1
Ang Aking Matalik Na Kaibigan,0.4523809523809524,2.1666666666666665,1.880952380952381,1.6428571428571428,0.9285714285714286,0.40476190476190477,0.35714285714285715,0.16666666666666666,0.21428571428571427,0.047619047619047616,0.023809523809523808,1
Ang Aklat ni Nat,0.3821782178217822,1.9108910891089108,1.5584158415841585,1.3762376237623761,0.7405940594059406,0.29108910891089107,0.1603960396039604,0.1188118811881188,0.19207920792079208,0.023762376237623763,0.0,1
Ang Alimango at Isda,0.7108433734939759,2.180722891566265,1.6626506024096386,1.7710843373493976,0.8554216867469879,0.6506024096385542,0.39759036144578314,0.1686746987951807,0.40963855421686746,0.03614457831325301,0.0,1
Ang Aso ni Yana,0.24242424242424243,1.9191919191919191,1.505050505050505,1.2525252525252526,0.6363636363636364,0.1919191919191919,0.0707070707070707,0.020202020202020204,0.08080808080808081,0.0,0.0,1
Ang Baga,0.1111111111111111,1.7777777777777777,1.5185185185185186,1.1111111111111112,0.8148148148148148,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,1
Ang baka na may isang sungay,0.4805194805194805,1.9610389610389611,1.4675324675324675,1.4935064935064934,0.7662337662337663,0.38961038961038963,0.2857142857142857,0.07792207792207792,0.12987012987012986,0.012987012987012988,0.0,1
Ang Batang si Karen,0.5319148936170213,2.202127659574468,1.9042553191489362,1.7872340425531914,1.0212765957446808,0.44680851063829785,0.3191489361702128,0.18085106382978725,0.2553191489361702,0.05319148936170213,0.0,1
Ang Bote ni Boyet,0.30597014925373134,1.9154228855721394,1.654228855721393,1.3606965174129353,0.7661691542288557,0.24129353233830847,0.1791044776119403,0.0945273631840796,0.12189054726368159,0.024875621890547265,0.0,1
Ang Bukirin ni Mang Kanor,0.4734042553191489,1.9893617021276595,1.648936170212766,1.5053191489361701,0.8031914893617021,0.3670212765957447,0.25,0.07446808510638298,0.19680851063829788,0.02127659574468085,0.0,1
Ang Gunting ni Debora,0.5614035087719298,1.8245614035087718,1.608187134502924,1.4269005847953216,0.8654970760233918,0.38596491228070173,0.2573099415204678,0.12280701754385964,0.18128654970760233,0.05847953216374269,0.005847953216374269,1
Ang Igi,0.125,1.5,1.3125,0.9375,0.6875,0.0625,0.0,0.0,0.0,0.0,0.0,1
Ang Kabayo at ang Baka,0.5064935064935064,2.0454545454545454,1.7467532467532467,1.5649350649350648,0.8896103896103896,0.3961038961038961,0.2532467532467532,0.16233766233766234,0.22077922077922077,0.06493506493506493,0.0,1
Ang Kalaykay,0.3853658536585366,1.946341463414634,1.7365853658536585,1.5658536585365854,0.9609756097560975,0.33170731707317075,0.23902439024390243,0.11707317073170732,0.14634146341463414,0.00975609756097561,0.0,1
Ang Kambal na sina Ding at Dong,0.48186528497409326,1.922279792746114,1.7461139896373057,1.5025906735751295,0.927461139896373,0.39378238341968913,0.35233160621761656,0.15025906735751296,0.18652849740932642,0.0,0.0,1
Ang Kamoteng Kahoy ni Istoy,0.4965986394557823,2.1156462585034013,1.8435374149659864,1.727891156462585,0.9795918367346939,0.43537414965986393,0.2789115646258503,0.16326530612244897,0.23129251700680273,0.06802721088435375,0.006802721088435374,1
Ang Keso,0.39503386004514673,1.9142212189616252,1.6343115124153498,1.4582392776523703,0.7787810383747178,0.2979683972911964,0.1986455981941309,0.05869074492099323,0.1038374717832957,0.01805869074492099,0.0,1
Ang Mag-Anak sa Palengke,0.32075471698113206,2.0,1.7232704402515724,1.4842767295597483,0.8238993710691824,0.2893081761006289,0.22641509433962265,0.10062893081761007,0.15723270440251572,0.0,0.0,1
Ang Magkapatid na si Ki at Dee,0.3815789473684211,1.9342105263157894,1.513157894736842,1.2105263157894737,0.6578947368421053,0.32894736842105265,0.18421052631578946,0.09210526315789473,0.13157894736842105,0.0,0.0,1
Ang Mahiwagang Kaldero,0.4074074074074074,2.1481481481481484,1.8518518518518519,1.5925925925925926,0.8703703703703703,0.3148148148148148,0.2777777777777778,0.1111111111111111,0.2037037037037037,0.0,0.0,1
Ang Matulungin si Miko,0.5213270142180095,1.9763033175355451,1.8009478672985781,1.4597156398104265,0.909952606635071,0.38388625592417064,0.27488151658767773,0.16587677725118483,0.25118483412322273,0.04265402843601896,0.0,1
Ang mga hayop sa kalye,0.45604395604395603,2.0054945054945055,1.6813186813186813,1.5714285714285714,0.8956043956043956,0.38461538461538464,0.2857142857142857,0.09340659340659341,0.12087912087912088,0.02197802197802198,0.0,1
Ang Munting Bahay nina Mira,0.5058139534883721,2.2732558139534884,2.046511627906977,1.8662790697674418,1.1046511627906976,0.4186046511627907,0.3081395348837209,0.18604651162790697,0.29069767441860467,0.03488372093023256,0.0,1
Ang Pamamasyal ni Pepe,0.4845360824742268,1.9381443298969072,1.690721649484536,1.4123711340206186,0.8969072164948454,0.3917525773195876,0.28865979381443296,0.16494845360824742,0.1958762886597938,0.061855670103092786,0.0,1
Ang Pamilyang may Ginintuang Puso,0.5287958115183246,2.026178010471204,1.7225130890052356,1.5602094240837696,0.8691099476439791,0.41361256544502617,0.32460732984293195,0.1256544502617801,0.23036649214659685,0.005235602094240838,0.0,1
Ang Puno ng Buhay,0.43333333333333335,1.8277777777777777,1.5611111111111111,1.4555555555555555,0.8166666666666667,0.3111111111111111,0.21666666666666667,0.11666666666666667,0.16111111111111112,0.022222222222222223,0.0,1
Ang regalo para kay Jyomo,0.5039370078740157,1.9606299212598426,1.6456692913385826,1.3779527559055118,0.7795275590551181,0.4094488188976378,0.25984251968503935,0.1889763779527559,0.2755905511811024,0.05511811023622047,0.0,1
Ang Sorpresang Regalo kay Bokbok,0.4368131868131868,1.978021978021978,1.7774725274725274,1.4532967032967032,0.8846153846153846,0.34615384615384615,0.2857142857142857,0.18681318681318682,0.24175824175824176,0.016483516483516484,0.0,1
Ang Sukli ni Yuno,0.2828282828282828,1.8282828282828283,1.6161616161616161,1.3131313131313131,0.7676767676767676,0.20202020202020202,0.10101010101010101,0.050505050505050504,0.10101010101010101,0.0,0.0,1
Astig ng Nanay Ko,0.3607142857142857,2.0017857142857145,1.7598214285714286,1.4758928571428571,0.8375,0.29017857142857145,0.22142857142857142,0.08125,0.15446428571428572,0.008928571428571428,0.0017857142857142857,1
Ate Kaybuti Mo,0.3605769230769231,2.08974358974359,1.8269230769230769,1.5512820512820513,0.8974358974358975,0.3076923076923077,0.25,0.11858974358974358,0.17147435897435898,0.028846153846153848,0.0,1
Bechay Pechay,0.5470085470085471,2.0042735042735043,1.7307692307692308,1.5384615384615385,0.9230769230769231,0.46153846153846156,0.33760683760683763,0.2094017094017094,0.2863247863247863,0.04700854700854701,0.0,1
Bukas si Superman na Ako,0.55,2.06875,1.76875,1.60625,0.8875,0.45625,0.28125,0.15,0.26875,0.0625,0.0,1
Doon Po Sa Amin,0.4819064430714916,1.9549867608120035,1.739629302736099,1.4616063548102383,0.8852603706972639,0.3715798764342454,0.3053839364518976,0.15445719329214475,0.20211827007943514,0.02206531332744925,0.00088261253309797,1
Gutom na gutom ako!,0.34705882352941175,1.923529411764706,1.5294117647058822,1.3411764705882352,0.711764705882353,0.28823529411764703,0.23529411764705882,0.047058823529411764,0.12941176470588237,0.01764705882352941,0.0,1
Halina,0.555045871559633,2.1605504587155964,1.908256880733945,1.724770642201835,0.9862385321100917,0.42660550458715596,0.28440366972477066,0.14678899082568808,0.26146788990825687,0.03211009174311927,0.0,1
Isang Araw sa Buhay Ko,0.3738738738738739,1.9752252252252251,1.7432432432432432,1.4707207207207207,0.8581081081081081,0.2882882882882883,0.22072072072072071,0.10585585585585586,0.18468468468468469,0.02252252252252252,0.0,1
Isang Hiling,0.4776536312849162,1.9357541899441342,1.6620111731843576,1.4441340782122905,0.8198324022346368,0.3687150837988827,0.2737430167597765,0.09217877094972067,0.1829608938547486,0.02094972067039106,0.0,1
Isko Hambugero,0.4734042553191489,1.9946808510638299,1.7234042553191489,1.4414893617021276,0.8085106382978723,0.39893617021276595,0.26063829787234044,0.11702127659574468,0.2872340425531915,0.0425531914893617,0.0,1
Kakaiba si Kara,0.4161849710982659,2.098265895953757,1.884393063583815,1.6011560693641618,0.9364161849710982,0.3236994219653179,0.23121387283236994,0.11560693641618497,0.16184971098265896,0.011560693641618497,0.0,1
Kiko at Kakusog,0.3709090909090909,2.069090909090909,1.8363636363636364,1.5563636363636364,0.9090909090909091,0.31272727272727274,0.24363636363636362,0.10181818181818182,0.16,0.014545454545454545,0.0,1
