@relation tagalog_merged_features_embeddings-weka.filters.unsupervised.attribute.Remove-R19-792-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute word_count numeric
@attribute sentence_count numeric
@attribute phrase_count_per_sentence numeric
@attribute average_word_len numeric
@attribute average_sentence_len numeric
@attribute average_syllable_count numeric
@attribute polysyll_count numeric
@attribute consonant_cluster_density numeric
@attribute v_density numeric
@attribute cv_density numeric
@attribute vc_density numeric
@attribute cvc_density numeric
@attribute vcc_density numeric
@attribute cvcc_density numeric
@attribute ccvc_density numeric
@attribute ccv_density numeric
@attribute ccvcc_density numeric
@attribute ccvccc_density numeric
@attribute class {1,2,3}

@data
30,6,0,3.6,5,1.7,0,0.2,1.7,1.5,0.9,0.6,0.2,0,0,0,0,0,1
151,22,1.6,4.92053,6.863636,2.139073,3,0.443709,2.139073,1.807947,1.456954,0.86755,0.344371,0.278146,0.119205,0.218543,0.033113,0,1
189,23,1.391304,5.455026,8.217391,2.338624,14,0.513228,2.338624,1.931217,1.84127,0.952381,0.391534,0.285714,0.111111,0.206349,0.010582,0,1
42,6,1.333333,5.071429,7,2.166667,2,0.452381,2.166667,1.880952,1.642857,0.928571,0.404762,0.357143,0.166667,0.214286,0.047619,0.02381,1
505,54,1.73913,4.376238,9.351852,1.910891,13,0.382178,1.910891,1.558416,1.376238,0.740594,0.291089,0.160396,0.118812,0.192079,0.023762,0,1
83,9,0,5.192771,9.222222,2.180723,3,0.710843,2.180723,1.662651,1.771084,0.855422,0.650602,0.39759,0.168675,0.409639,0.036145,0,1
99,16,1.0625,4.050505,6.1875,1.919192,2,0.242424,1.919192,1.505051,1.252525,0.636364,0.191919,0.070707,0.020202,0.080808,0,0,1
27,7,1.285714,3.814815,3.857143,1.777778,0,0.111111,1.777778,1.518519,1.111111,0.814815,0.111111,0,0,0,0,0,1
77,10,1.444444,4.558442,7.7,1.961039,4,0.480519,1.961039,1.467532,1.493506,0.766234,0.38961,0.285714,0.077922,0.12987,0.012987,0,1
94,11,1.090909,5.308511,8.545455,2.202128,5,0.531915,2.202128,1.904255,1.787234,1.021277,0.446809,0.319149,0.180851,0.255319,0.053191,0,1
402,70,1.704545,4.415423,5.742857,1.915423,3,0.30597,1.915423,1.654229,1.360697,0.766169,0.241294,0.179104,0.094527,0.121891,0.024876,0,1
188,14,1.769231,4.728723,13.428571,1.989362,6,0.473404,1.989362,1.648936,1.505319,0.803191,0.367021,0.25,0.074468,0.196809,0.021277,0,1
171,36,1.388889,5,4.75,1.824561,3,0.561404,1.824561,1.608187,1.426901,0.865497,0.385965,0.25731,0.122807,0.181287,0.05848,0.005848,1
32,7,1.333333,3.375,4.571429,1.5,0,0.125,1.5,1.3125,0.9375,0.6875,0.0625,0,0,0,0,0,1
154,18,1.705882,4.876623,8.555556,2.045455,3,0.506494,2.045455,1.746753,1.564935,0.88961,0.396104,0.253247,0.162338,0.220779,0.064935,0,1
205,28,1.222222,4.726829,7.321429,1.946341,3,0.385366,1.946341,1.736585,1.565854,0.960976,0.331707,0.239024,0.117073,0.146341,0.009756,0,1
193,28,1.444444,4.772021,6.892857,1.92228,4,0.481865,1.92228,1.746114,1.502591,0.927461,0.393782,0.352332,0.150259,0.186528,0,0,1
147,16,1.266667,5.129252,9.1875,2.115646,5,0.496599,2.115646,1.843537,1.727891,0.979592,0.435374,0.278912,0.163265,0.231293,0.068027,0.006803,1
443,102,1.258065,4.557562,4.343137,1.914221,8,0.395034,1.914221,1.634312,1.458239,0.778781,0.297968,0.198646,0.058691,0.103837,0.018059,0,1
159,16,2.214286,4.628931,9.9375,2,3,0.320755,2,1.72327,1.484277,0.823899,0.289308,0.226415,0.100629,0.157233,0,0,1
76,2,0,4.315789,38,1.934211,1,0.381579,1.934211,1.513158,1.210526,0.657895,0.328947,0.184211,0.092105,0.131579,0,0,1
54,5,0,4.944444,10.8,2.148148,0,0.407407,2.148148,1.851852,1.592593,0.87037,0.314815,0.277778,0.111111,0.203704,0,0,1
211,21,1.619048,4.853081,10.047619,1.976303,3,0.521327,1.976303,1.800948,1.459716,0.909953,0.383886,0.274882,0.165877,0.251185,0.042654,0,1
182,21,1.235294,4.791209,8.666667,2.005495,3,0.456044,2.005495,1.681319,1.571429,0.895604,0.384615,0.285714,0.093407,0.120879,0.021978,0,1
172,27,1.538462,5.476744,6.37037,2.273256,8,0.505814,2.273256,2.046512,1.866279,1.104651,0.418605,0.30814,0.186047,0.290698,0.034884,0,1
97,9,1.333333,4.639175,10.777778,1.938144,0,0.484536,1.938144,1.690722,1.412371,0.896907,0.391753,0.28866,0.164948,0.195876,0.061856,0,1
191,18,1.333333,4.884817,10.611111,2.026178,8,0.528796,2.026178,1.722513,1.560209,0.86911,0.413613,0.324607,0.125654,0.230366,0.005236,0,1
180,15,1.769231,4.494444,12,1.827778,2,0.433333,1.827778,1.561111,1.455556,0.816667,0.311111,0.216667,0.116667,0.161111,0.022222,0,1
127,19,1.461538,4.614173,6.684211,1.96063,3,0.503937,1.96063,1.645669,1.377953,0.779528,0.409449,0.259843,0.188976,0.275591,0.055118,0,1
364,53,1.404762,4.730769,6.867925,1.978022,4,0.436813,1.978022,1.777473,1.453297,0.884615,0.346154,0.285714,0.186813,0.241758,0.016484,0,1
99,15,1.466667,4.232323,6.6,1.828283,2,0.282828,1.828283,1.616162,1.313131,0.767677,0.20202,0.10101,0.050505,0.10101,0,0,1
1120,139,1.794393,4.665179,8.057554,2.001786,32,0.360714,2.001786,1.759821,1.475893,0.8375,0.290179,0.221429,0.08125,0.154464,0.008929,0.001786,1
624,75,1.5,4.798077,8.32,2.089744,21,0.360577,2.089744,1.826923,1.551282,0.897436,0.307692,0.25,0.11859,0.171474,0.028846,0,1
234,17,1.764706,4.948718,13.764706,2.004274,5,0.547009,2.004274,1.730769,1.538462,0.923077,0.461538,0.337607,0.209402,0.286325,0.047009,0,1
160,10,1.1,4.99375,16,2.06875,11,0.55,2.06875,1.76875,1.60625,0.8875,0.45625,0.28125,0.15,0.26875,0.0625,0,1
1133,118,1.524752,4.745808,9.601695,1.954987,31,0.481906,1.954987,1.739629,1.461606,0.88526,0.37158,0.305384,0.154457,0.202118,0.022065,0.000883,1
170,20,2.9,4.376471,8.5,1.923529,2,0.347059,1.923529,1.529412,1.341176,0.711765,0.288235,0.235294,0.047059,0.129412,0.017647,0,1
218,29,0,5.266055,7.517241,2.16055,13,0.555046,2.16055,1.908257,1.724771,0.986239,0.426606,0.284404,0.146789,0.261468,0.03211,0,1
444,57,1.714286,4.63964,7.789474,1.975225,10,0.373874,1.975225,1.743243,1.470721,0.858108,0.288288,0.220721,0.105856,0.184685,0.022523,0,1
716,73,1.367647,4.681564,9.808219,1.935754,11,0.477654,1.935754,1.662011,1.444134,0.819832,0.368715,0.273743,0.092179,0.182961,0.02095,0,1
188,16,1.307692,4.702128,11.75,1.994681,2,0.473404,1.994681,1.723404,1.441489,0.808511,0.398936,0.260638,0.117021,0.287234,0.042553,0,1
173,24,1.5,4.959538,7.208333,2.098266,7,0.416185,2.098266,1.884393,1.601156,0.936416,0.323699,0.231214,0.115607,0.16185,0.011561,0,1
275,25,1.565217,4.825455,11,2.069091,6,0.370909,2.069091,1.836364,1.556364,0.909091,0.312727,0.243636,0.101818,0.16,0.014545,0,1
71,12,1.166667,3.985915,5.916667,1.816901,1,0.225352,1.816901,1.507042,1.183099,0.591549,0.225352,0.140845,0.070423,0.084507,0,0,1
176,25,1.44,5.113636,7.04,2.181818,10,0.471591,2.181818,1.897727,1.630682,0.948864,0.363636,0.267045,0.136364,0.227273,0.017045,0,1
41,10,0,3.390244,4.1,1.658537,0,0.073171,1.658537,1.317073,0.902439,0.487805,0.073171,0,0,0,0,0,1
325,39,1.173913,4.606154,8.333333,1.932308,13,0.455385,1.932308,1.621538,1.464615,0.793846,0.350769,0.249231,0.104615,0.196923,0.030769,0,1
52,11,1.2,4.384615,4.727273,1.961538,1,0.288462,1.961538,1.461538,1.576923,0.788462,0.173077,0.096154,0.019231,0.134615,0,0,1
61,12,1.5,3.95082,5.083333,1.885246,0,0.229508,1.885246,1.540984,1.131148,0.540984,0.196721,0.032787,0.016393,0.098361,0,0,1
195,27,1.222222,4.635897,7.222222,1.912821,3,0.558974,1.912821,1.528205,1.466667,0.784615,0.410256,0.266667,0.097436,0.241026,0.010256,0,1
455,42,1.315789,4.931868,10.833333,2.079121,14,0.487912,2.079121,1.782418,1.551648,0.903297,0.391209,0.272527,0.123077,0.230769,0.054945,0,1
270,32,1.52,4.696296,8.4375,2.011111,2,0.362963,2.011111,1.748148,1.466667,0.803704,0.3,0.225926,0.081481,0.125926,0.007407,0,1
342,35,1.225806,4.850877,9.771429,1.98538,11,0.48538,1.98538,1.74269,1.546784,0.874269,0.418129,0.30117,0.108187,0.21345,0.035088,0.005848,1
339,29,2.090909,5.044248,11.689655,2.106195,26,0.501475,2.106195,1.852507,1.628319,0.926254,0.342183,0.238938,0.117994,0.20354,0.041298,0.0059,1
161,21,1.047619,5.360248,7.666667,2.186335,14,0.608696,2.186335,1.857143,1.807453,1.024845,0.496894,0.360248,0.180124,0.310559,0.037267,0,1
200,27,1.588235,4.83,7.407407,2.03,4,0.45,2.03,1.785,1.515,0.875,0.34,0.25,0.13,0.205,0.045,0.005,1
