book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
A Lata,30,6,0.0,3.6,5.0,1.7,0,1
Aaloo-Maaloo-Kaaloo,151,22,1.6,4.920529801324503,6.863636363636363,2.1390728476821192,3,1
Ako at ang Aking Paaralan,189,23,1.391304347826087,5.455026455026455,8.217391304347826,2.3386243386243386,14,1
Ang Aking Matalik Na Kaibigan,42,6,1.3333333333333333,5.071428571428571,7.0,2.1666666666666665,2,1
Ang Aklat ni Nat,505,54,1.7391304347826086,4.376237623762377,9.351851851851851,1.9108910891089108,13,1
Ang Alimango at Isda,83,9,0.0,5.192771084337349,9.222222222222221,2.180722891566265,3,1
Ang Aso ni Yana,99,16,1.0625,4.05050505050505,6.1875,1.9191919191919191,2,1
Ang Baga,27,7,1.2857142857142858,3.814814814814815,3.857142857142857,1.7777777777777777,0,1
Ang baka na may isang sungay,77,10,1.4444444444444444,4.558441558441558,7.7,1.9610389610389611,4,1
Ang Batang si Karen,94,11,1.0909090909090908,5.308510638297872,8.545454545454545,2.202127659574468,5,1
Ang Bote ni Boyet,402,70,1.7045454545454546,4.41542288557214,5.742857142857143,1.9154228855721394,3,1
Ang Bukirin ni Mang Kanor,188,14,1.7692307692307692,4.7287234042553195,13.428571428571429,1.9893617021276595,6,1
Ang Gunting ni Debora,171,36,1.3888888888888888,5.0,4.75,1.8245614035087718,3,1
Ang Igi,32,7,1.3333333333333333,3.375,4.571428571428571,1.5,0,1
Ang Kabayo at ang Baka,154,18,1.7058823529411764,4.876623376623376,8.555555555555555,2.0454545454545454,3,1
Ang Kalaykay,205,28,1.2222222222222223,4.726829268292683,7.321428571428571,1.946341463414634,3,1
Ang Kambal na sina Ding at Dong,193,28,1.4444444444444444,4.772020725388601,6.892857142857143,1.922279792746114,4,1
Ang Kamoteng Kahoy ni Istoy,147,16,1.2666666666666666,5.129251700680272,9.1875,2.1156462585034013,5,1
Ang Keso,443,102,1.2580645161290323,4.557562076749436,4.3431372549019605,1.9142212189616252,8,1
Ang Mag-Anak sa Palengke,159,16,2.2142857142857144,4.628930817610063,9.9375,2.0,3,1
Ang Magkapatid na si Ki at Dee,76,2,0.0,4.315789473684211,38.0,1.9342105263157894,1,1
Ang Mahiwagang Kaldero,54,5,0.0,4.944444444444445,10.8,2.1481481481481484,0,1
Ang Matulungin si Miko,211,21,1.619047619047619,4.8530805687203795,10.047619047619047,1.9763033175355451,3,1
Ang mga hayop sa kalye,182,21,1.2352941176470589,4.791208791208791,8.666666666666666,2.0054945054945055,3,1
Ang Munting Bahay nina Mira,172,27,1.5384615384615385,5.476744186046512,6.37037037037037,2.2732558139534884,8,1
Ang Pamamasyal ni Pepe,97,9,1.3333333333333333,4.639175257731959,10.777777777777779,1.9381443298969072,0,1
Ang Pamilyang may Ginintuang Puso,191,18,1.3333333333333333,4.884816753926701,10.61111111111111,2.026178010471204,8,1
Ang Puno ng Buhay,180,15,1.7692307692307692,4.4944444444444445,12.0,1.8277777777777777,2,1
Ang regalo para kay Jyomo,127,19,1.4615384615384615,4.6141732283464565,6.684210526315789,1.9606299212598426,3,1
Ang Sorpresang Regalo kay Bokbok,364,53,1.4047619047619047,4.730769230769231,6.867924528301887,1.978021978021978,4,1
Ang Sukli ni Yuno,99,15,1.4666666666666666,4.232323232323233,6.6,1.8282828282828283,2,1
Astig ng Nanay Ko,1120,139,1.794392523364486,4.665178571428571,8.057553956834532,2.0017857142857145,32,1
Ate Kaybuti Mo,624,75,1.5,4.798076923076923,8.32,2.08974358974359,21,1
Bechay Pechay,234,17,1.7647058823529411,4.948717948717949,13.764705882352942,2.0042735042735043,5,1
Bukas si Superman na Ako,160,10,1.1,4.99375,16.0,2.06875,11,1
Doon Po Sa Amin,1133,118,1.5247524752475248,4.745807590467785,9.601694915254237,1.9549867608120035,31,1
Gutom na gutom ako!,170,20,2.9,4.376470588235295,8.5,1.923529411764706,2,1
Halina,218,29,0.0,5.26605504587156,7.517241379310345,2.1605504587155964,13,1
Isang Araw sa Buhay Ko,444,57,1.7142857142857142,4.63963963963964,7.7894736842105265,1.9752252252252251,10,1
Isang Hiling,716,73,1.3676470588235294,4.681564245810056,9.808219178082192,1.9357541899441342,11,1
Isko Hambugero,188,16,1.3076923076923077,4.702127659574468,11.75,1.9946808510638299,2,1
Kakaiba si Kara,173,24,1.5,4.959537572254336,7.208333333333333,2.098265895953757,7,1
Kiko at Kakusog,275,25,1.565217391304348,4.825454545454545,11.0,2.069090909090909,6,1
Lito Lita,71,12,1.1666666666666667,3.9859154929577465,5.916666666666667,1.8169014084507042,1,1
Maging Malusog,176,25,1.44,5.113636363636363,7.04,2.1818181818181817,10,1
May Mesa si Eba,41,10,0.0,3.3902439024390243,4.1,1.6585365853658536,0,1
May Trabungko sa Ilog nina Lolo Isko,325,39,1.173913043478261,4.6061538461538465,8.333333333333334,1.9323076923076923,13,1
Mga Ibon,52,11,1.2,4.384615384615385,4.7272727272727275,1.9615384615384615,1,1
Mga Kasama sa Isla,61,12,1.5,3.9508196721311477,5.083333333333333,1.8852459016393444,0,1
Mga Parte ng Ulo,195,27,1.2222222222222223,4.635897435897436,7.222222222222222,1.912820512820513,3,1
Munting Mario,455,42,1.3157894736842106,4.931868131868132,10.833333333333334,2.0791208791208793,14,1
Natuto Rin,270,32,1.52,4.696296296296296,8.4375,2.011111111111111,2,1
Paano na ang Pasko?,342,35,1.2258064516129032,4.850877192982456,9.771428571428572,1.9853801169590644,11,1
Paano Natututunan ng mga Bata ang Matematika,339,29,2.090909090909091,5.04424778761062,11.689655172413794,2.106194690265487,26,1
Paghahanda sa Panahon ng Bagyo,161,21,1.0476190476190477,5.3602484472049685,7.666666666666667,2.186335403726708,14,1
Panaginip ni Miko,200,27,1.588235294117647,4.83,7.407407407407407,2.03,4,1
Parang may Kapatid din Ako,217,31,1.1724137931034482,5.0368663594470044,7.0,2.110599078341014,7,1
Potpot Lampayatot,282,29,2.0869565217391304,4.723404255319149,9.724137931034482,1.9397163120567376,10,1
Saan kaya Kabilang?,205,27,1.2222222222222223,5.151219512195122,7.592592592592593,2.1365853658536587,9,1
Si Biboy na Mausisa,99,20,1.25,4.181818181818182,4.95,1.9494949494949494,0,1
Si Bimbo ang Batang Bibo,222,27,1.6666666666666667,5.085585585585585,8.222222222222221,2.18018018018018,17,1
Si Dinong Bulagsak,287,39,1.6756756756756757,4.70383275261324,7.358974358974359,1.9930313588850175,9,1
Si Ema,74,14,0.0,3.72972972972973,5.285714285714286,1.7297297297297298,0,1
Si Inang Ibon,98,7,1.2857142857142858,4.663265306122449,14.0,1.9489795918367347,1,1
Si Ken,222,25,1.0833333333333333,4.7342342342342345,8.88,1.936936936936937,3,1
Si Kiko at Kakusog,294,26,1.5833333333333333,4.789115646258503,11.307692307692308,2.0510204081632653,6,1
Si Kuwaki,110,11,1.9090909090909092,5.4363636363636365,10.0,2.1818181818181817,2,1
Si Lita at Si Miko,63,14,0.0,3.5396825396825395,4.5,1.6031746031746033,0,1
Si Mulak,52,8,0.0,4.615384615384615,6.5,1.9038461538461537,1,1
Si Sisa at ang mga Ibon,91,16,1.4,4.274725274725275,5.6875,2.0,2,1
Unang Baitang,308,20,1.631578947368421,4.792207792207792,15.4,1.922077922077922,10,1
Unang Baitang na si Mitang,447,51,1.5681818181818181,4.720357941834452,8.764705882352942,1.9395973154362416,9,1
Alitaptap,109,51,1.1818181818181819,5.89908256880734,2.1372549019607843,2.541284403669725,0,2
Ang Aking Mga Anak,72,10,1.2,4.736111111111111,7.2,2.0277777777777777,3,2
Ang Aking Paaralan,62,6,0.0,5.387096774193548,10.333333333333334,2.2419354838709675,4,2
Ang Alamat ng Makahiya,215,19,1.263157894736842,4.972093023255814,11.31578947368421,2.116279069767442,6,2
Ang Alamat ng Pinatubo,301,22,1.2727272727272727,5.259136212624584,13.681818181818182,2.1926910299003324,23,2
Ang Aming Pusa,69,8,1.125,4.405797101449275,8.625,1.8115942028985508,1,2
Ang bagong Pugad,348,61,1.5,4.818965517241379,5.704918032786885,2.045977011494253,14,2
