book_title,word_count,sentence_count,phrase_count_per_sentence,average_word_len,average_sentence_len,average_syllable_count,polysyll_count,grade_level
Aaloo-Maaloo-Kaaloo___Central_Bikol,175,22,1.8571428571428572,4.805714285714286,7.954545454545454,2.142857142857143,1,1
Ang_Ladybird___Central_Bikol,146,16,1.1428571428571428,4.623287671232877,9.125,1.917808219178082,1,1
Ang_Pag-arog_ni_Toto_sa_saiyang_Lolo___Central_Bikol-v12022.08.25T085616,108,15,0.0,4.564814814814815,7.2,2.009259259259259,0,1
Ang_Samuyang_Baka_na_Si_Pedro___Central_Bikol,77,12,1.0833333333333333,4.623376623376624,6.416666666666667,1.974025974025974,3,1
Ano_ang_makangangalas_na_ginibo_ni_Ameena____Central_Bikol,102,23,1.2,4.53921568627451,4.434782608695652,2.0784313725490198,4,1
Ano_ta_Dai_Nagtatalubo____Central_Bikol,179,15,2.8181818181818183,4.625698324022347,11.933333333333334,2.016759776536313,1,1
An_Awit_nin_Duri-duri___Central_Bikol,244,67,1.619047619047619,4.913934426229508,3.6417910447761193,2.122950819672131,10,1
An_Bubuyog_asin_an_Elepante___Central_Bikol,89,18,1.4166666666666667,4.561797752808989,4.944444444444445,1.9213483146067416,0,1
An_Ikus_asin_Ayam__Nyain_an_Ikus_____Central_Bikol,245,37,1.3333333333333333,4.277551020408163,6.621621621621622,1.853061224489796,0,1
An_Kawat_ni_Mona_buda_Milo___Central_Bikol,74,11,1.1666666666666667,4.608108108108108,6.7272727272727275,1.9594594594594594,0,1
An_Koneho_asin_Ayam___Central_Bikol-v12022.08.26T022028,182,15,1.2666666666666666,4.84065934065934,12.133333333333333,2.0824175824175826,4,1
An_Lion_Nagdadalagan_asin_an_Baka_Naglalakaw___Central_Bikol,44,11,1.6,5.340909090909091,4.0,2.227272727272727,4,1
An_Magayunun_na_Aldaw___Central_Bikol,188,27,1.5416666666666667,4.164893617021277,6.962962962962963,1.872340425531915,3,1
An_Magbarkadang_Kasag_asin_Sira___Central_Bikol,173,14,1.7333333333333334,4.699421965317919,12.357142857142858,1.953757225433526,4,1
An_Mahamis_na_Mansanas___Central_Bikol,157,22,1.9411764705882353,4.490445859872612,7.136363636363637,1.9681528662420382,0,1
An_Makaraw_na_Millipede___Central_Bikol,122,13,1.1538461538461537,5.122950819672131,9.384615384615385,2.1557377049180326,4,1
An_Nawawarang_Aking_Pato___Central_Bikol,88,14,1.25,4.9772727272727275,6.285714285714286,2.125,4,1
An_Paglinig_sa_Hawak___Central_Bikol,196,20,1.1904761904761905,4.709183673469388,9.8,2.056122448979592,5,1
AN_SADIT_NA_BITOON_NI_ALI___Central_Bikol,149,17,1.1764705882352942,4.302013422818792,8.764705882352942,1.919463087248322,2,1
An_Sadit_na_Siyo_saka_an_Pato-pato___Central_Bikol-v12022.08.11T021900,414,30,1.3103448275862069,5.258454106280193,13.8,2.154589371980676,20,1
An_Sadit_na_Ukay_Saka_An_Sira___Central_Bikol,109,15,1.5,4.4495412844036695,7.266666666666667,1.8990825688073394,2,1
An_sakong_Lawas___Central_Bikol,231,22,1.2272727272727273,5.021645021645021,10.5,2.090909090909091,11,1
An_Sakong_mga_Tanum_na_Kaunon___Central_Bikol,361,41,1.1290322580645162,4.878116343490305,8.804878048780488,2.063711911357341,13,1
An_Samuyang_Pamilya___Central_Bikol-v12022.08.11T022308,47,10,0.0,5.74468085106383,4.7,2.276595744680851,1,1
An_Sarung_Dakulang_Keyk___Central_Bikol,81,12,1.3333333333333333,4.3580246913580245,6.75,1.8395061728395061,0,1
An_Tulong_Saradit_na_Kuting___Central_Bikol,114,25,1.0666666666666667,5.2368421052631575,4.56,2.1491228070175437,2,1
An_Turtle_Dove___Central_Bikol,52,8,1.125,4.884615384615385,6.5,2.1346153846153846,5,1
An_Tánga_saka_an_Tinapay___Central_Bikol-v12022.08.11T023654,110,13,1.4,5.236363636363636,8.461538461538462,2.118181818181818,4,1
An_Ulod_na_Nakaistar_sa_Samuyang_Hardin___Central_Bikol,219,27,1.0454545454545454,5.19634703196347,8.11111111111111,2.105022831050228,10,1
Baka_Na_May_Sarong_Sungay___Central_Bikol,12,1,2.0,5.833333333333333,12.0,2.5,2,1
Chichi__Munu__Maliputon!___Central_Bikol,206,30,1.5555555555555556,4.344660194174757,6.866666666666666,1.8446601941747574,0,1
Dae_Ako_Takot_sa_Uran___Central_Bikol,72,7,1.75,4.819444444444445,10.285714285714286,2.138888888888889,4,1
Dakulaon_Sadiyuton___Central_Bikol,198,29,1.7857142857142858,4.41919191919192,6.827586206896552,1.9848484848484849,1,1
Gusto_ni_Nin_na_Masanlian___Central_Bikol,263,36,1.5769230769230769,4.817490494296578,7.305555555555555,2.0950570342205324,0,1
Hain_si_Bonta____Central_Bikol-v12022.08.11T090810,93,20,1.6666666666666667,4.419354838709677,4.65,1.8494623655913978,0,1
