language|level|text
bikol|3|Kaidto, an aldaw masyadong hugakon. Nagsasaldang uni kung nuarin nya sana muya. An sulog nagkutat na, pero an aldaw dae pa nagluluwas. An aldaw dae nagsaldang. An bituon saka bulan kaipuhan magtrabaho nin husay na dae nagpapahingalo. Nagduman sinda para mahiling si aldaw ngani bangaon an oras kang kada saro, pero an aldaw habo magsunod. Kaya an bulan saka bituon naghagad nin tabang sa langit. An langit nagdesisyon na bangaon sinda sa aldaw buda banggi. Kun an aldaw dae magtubod sa tigsabi ko, dae na sya tutugutan sa langit. An sulog nagkutat kun nagsaldang an aldaw pagkaaga saka kun an aldaw nagsulnop pagkabanggi. An bulan saka bituon nagliliwanag pagbanggi. Puon kaidto, an aldaw nagtrabaho nin mahigos saka nagsasaldang pagka-aldaw. An aldaw, bulan saka bituon maogmang nagsasaldang sa tamang oras. Ining libro nakaresibe nin tabang hale sa mga tawo na taga-USA sa paagi nin kan gibo: Kun an kada saro o legal entities pig-translate uning gibo kaipuhan mo na sabihon na bako ini kinundisar kan saka dae pig-tanggap kan opisyal na pag-translate kan bako responsable sa laog o mga sala kan translation. Amendment kan gibo: Kun an kada saro o legal entities gumibo nin amendment para sa gibo, an kinuahan nin impormasyon kaipuhan may referenced: Ining gibo na amendahan hali sa orihinal na gibo kan saka An paghiling saka opinyon sa inamendahan na gibo ay solong responsibilidad kan partido ginibo ining amendments ta ini inadalan giraray kan
bikol|3|Si Meena sarong aking babaye na nakaistar sa baryo kaiba ang saiyang mga magurang, lola, tugang na lalaki na si Raju, asin ang saiyang sadit na tugang na si Rani. Si Mithu na loro ang saiyang barkada. Sa kadakol na paagi, Si Meena saro sa ibang aking babaye na aram ta. Sya ay mahilig makipag-barkada, ugaring dae sya takot na manghapot. Madya ibahan ta si Meena sa istoryang ini kong pano sya magulok, magsakat sa kahoy, manghapot, magresolba ki problema, asin mapahiling ang kayang gibuhon kan sarong aking babaye. Kumusta! Ako si Meena. Ini ang sakong tugang na lalaki, si Raju, ang sakong sadit na tugang na babaye, si Rani, asin ang sakong barkada na loro, si Mithu. Ang istoryang ini manungod sa pagtabang na mapadakula na makusog asin harayo sa kamatian si Rani. Kan aki pa si Rani, ang samuyang maestra nagtukdo manungod sa bakuna. Ini proteksyon sa mga aki para makalikay sa manlain lain na hilang. Ang mga aki kaepuhan mabakunahan ki apat na beses sa laog kan sarong taon na sinda inaki. Dinara mi si Rani sa Health Center kan sya anom na semana para sa saiyang enot bakuna. Dae gusto ni Rani ang bakuna, pero naumayan man sana sya tulos. Si Mithu asin ako ang naggibo ki paagi para umulok sya. Ang health worker nagtao sa samuyang ina ki booklet manungod sa bakuna ni Rani. Dgdi nakalaag ang kay Rani na mga bakuna. Ini kaepuhan sarayon. Sa oras kan pageskwela ni Rani ini kakaepuhanon nya. Sa samuyang pag-uli, Naggibo ako ki booklet manungod sa bakuna ni Rani. Ngunyan, mahihiling ko ang kada bakuna ni Rani. Pakatapos kan aldaw, kinalintura si Rani asin saeyang tabay naghubag. Ang health worker nagsabi na pwedi ini mangyari. Pakatapos ning sarong bulan, dinara mi si Rani para sa ikaduwang bisita niya. Pero ngunyan dae siya naghibi. Sa sumunod na bulan, Nagkahilang si Rani ki diarrhea. Sabi kan sakuyang ina na kaepuhan mabakunahan ang aki sa tamang oras, kaya dinara mi si Rani sa health center. Kan si Rani syam na bulan, dinara mi sya para sa hudyan na bakuna. maogmahon si Rani. Nag gibo ako ning kanta tungkol kay Rani. Pwede mo bang ituro uni sa pamilya at mga barkada mo? Ang aki ay kaipohan ning apat na bisita. - - - < br/>Pag dae ang ika apat na bisita, dae siya magiging ligtas. Magpunta ka sa ika anom na semana at beses pa! Idara mo siya ning apat na beses. Dae ka dapat magkalingaw ning aldaw. Ini so booklet na ginibo ko para kay Rani. Tig markahan ko ang ini sa kada aldaw na igwa sya ning bakuna. May aki pa kamo sa pamilya? Maka gibo ka man ki arog kaini asin hilingon mo kong nabakunahan ang aki sa tamang oras. Ang Meena Communication Initiative ay pinaluwas kan UNICEF sa taon na 's para sa pagtabang na matao ang importansya kan nasabing surat manungod sa kasarian, karapatan kan kasadayan, kaaraman, siguridad asin sa padanay na paginspirar kan mga babaye, saindang pamilya asin komunidad duman sa South Asia sa paagi kan animated films, comic books asin radio series, manungod sa iba pa na mga produkto.
bikol|3|Syete anyos na si Tina. Nakaistar siya sa maugmang baryo na an apod Lilang Seresa. Harani ini sarong magayon na kadlagan. Igwa man ining malinaw asin nagkukurukilyab na sapa. Suno-suno ni Tina magkawat duman kaiba an saiyang mga barkada sa kadlagan Sarong hapon, nagkasulo duman sa kadlagan. Nilabanan nin pirang oras kan mga maiisog na taong hali sa baryo an kasulo. Marhay nalang, napundo ninda an sulo. Natapos an aldaw asin nagpuruli na sinda nin huli sa kapagalan. Kaso may makusog na bagyong nag-abot asin nasakitan sindang mag-uli. Nagkaturumba kan makusog na duros an kakahuyan. Maski an mga gamgam, nilayog hali sa saindang tatagan. Binaha kan makusog na uran an sapa. "Ay, epekto ini kan pag-bago nin panahon" sabi kan mga kagurangan. Kinaagahan, nagluwas si Tina para makikawat sa saiyang mga barkada sa kadlagan. "Hala! Anong nangyari sa kadlagan?" agrangay niya. Bigla nalang syang nakadangog nin kurahaw na naghahagad tabang. "Tabang! Tabang!" Nadangog ni Tina. Naaraman niya na hali sa sapa an boses asin nagdalagan siya paduman. Nahanap duman ni Tina an saiyang mga barkada. Si sira, si talapang, asin si kasili. Nadadatugan sinda nin mga dahon asin kahoy na epekto kan bagyo. Pinakiulayan ni talapang si Tina. "Tabangan mo kami, Tina. Rinaot kan bagyo an samuyang mga istaran kansubanggi" "Dai kamo maghandal, mahagad akong tabang" sabi ni Tina. Saka nagdali-dali syang magbalik sa baryo. Nahanap ni Tina si Tui, an kapitan. Sinabi nya an gabos na nahiling asin nadangog niya. Sabay nindang inarapod an mga tao sa baryo asin iribanang nagbalik sa sapa. Kan nahiling ninda an distroso, namundo sinda. Pinag-isipan kan mga tao kun ano an gigibuhon. Nagirumduman ni Tina katung niraot kan bagyo an istaran kan lola nya. "Kaipuhan ta munang maglinig, saka kita matanom nin kahoy" sabi ni Tina. "Iyo, matabang man kami ta sato man ining istaran" an sabi kan mga kahayupan. "Sige" sabi ni Tui. "Magbarangaan kita nganing mapadali an satuyang trabaho" Binanga ni Tui an mga tao sa duwang grupo. Pinanginutan nya an grupong Berde nganing hawanan an tanuman. Pinanginutan man ni Tina an grupong Asul nganing matabangan an mga hayop sa paglinig kan sapa. Pinagsararo kan matibay na si Tina an grupong Asul nganing magplano. Gusto nindang gibuhong pinakamagayong istarahan an baryong Lilang Seresa. Ginibo ninda an gabos nganing mapundo an sulo asin baha. "Masakit man, pero naugma man kita" sabi ni Tina. Napag-isipan ko sana... Ano daw ang pinunan kan kasulo? Pano daw naaraman kan mga tao sa baryo an sulo? Naisalbar daw kan mga tao itung mga kakahuyan bago an bagyo? Pano daw maipapadagos kan mga tao an pag-ataman kan sapa asin kadlagan?
bikol|3|Kan si Loco, saro pang magayon na tren sya inilipat sa riles, pighangaan siya kan mga nagkairinot na tren nin huli sa magayun asin malinig kaining pigura. "Oh, madali ka na makaduman sa manlaenlaen na mga bagong lugar. Dakol na makangangalas na mga lugar an saimong madudumanan!" panuga kan saiyang mga pag-iriba. Kundi si Loco habo niya kan mga bagong adventures na ini - sa kadahelanan na siya matatakoton, takoton siya sa kadakol na bagay asin pipamati kaini saiya an panluluya kan saiyang boot. Habo ko na maghali sa laog nin kamalig kan riles. Nansasaday ako kan nadadangog ko ang kurahaw kan mga baka sa gilid kan riles, pero pipakalma ako kan sakong mga pag-iriang nakakagurang na tren. Natatakot ini maski makadangog sana kan batok kan ayam na nagdadalagan parani saiya, asin saiyang hinahagad na igwa siyang mataguan kun sain sya magiging ligtas! Kundi pano ini magtatago, asin pano na pirme na sana ini sa laog kan kamalig? An sarong madonong na may edad na tren na nalibot na an bilog na nasyon nahiling an pagkatakot ni Loco, sinabihan nya si Loco na mas dakula pa sya sa ayam asin baka. Pero dae kaini sigurado si Loco. "Oh, ta sa saiyang paghiling gabos ini makusog asin makatakot. Habo ko na magsolong maghale," sabi nya. Tapos an sabi saiya kan nakakagurang na tren,"Dae ka maghadit ta dae ka man magsosolo, namomotan kong Loco. Ang nagmamaneho asin ang guard ay ang magiging kaiba mo." Namidbidan ni Loco ang Guard. Siya ay sarong tawo na maboot na nagwawasiwas kan bandera kun madali na maghale an tren. Nahiling ni Loco na sya sarong saday asin selensyong tawo. Dae nya lamang na isip na ang guard mapoprotektaran sya kaini. Namidbidan man kaini ang drayber kan tren na an pangaran Babu asin tiniwalaan kaini an saiyang maboot na pandok. Dae naghaloy uminabot na ang aldaw na kaipuhan na ni Loco na magbyahe. Kaipuhan niya magbyahe poon sa Tamil Nadu na harani sa dagat pasiring sa Jammu sunod sa mga bulod. Si Babu, na iyo an drayber pinindot ang buton, asin binirik ang mga pihitan, asin pahali na si Loco sa estasyon, an pagmati niya na an saiyang puso nasa saiyang ngimot. "Ooooo," suriyaw nya sa takot alagad uno an hula nyo na nangyari? An nagluwas na tunog ay saktuhon sa tunog kan pito nin tren! May ibang Mynah an dali-daling nagngangarakngak parayo. Asin pagdiretso ni Loco, nagralayog an uwak buda ibang bayong na nakatukdo sa kable kan kuryente sa gilid kan dalan. Nabigla si Loco na may natatakot duman asin kina inulukan niya sinda. Tulos na nagtanyog an daga, asin nagtarago an mga ayam sa gilid! Arayuon na tulos si Loco sa saiyang harong. Kan nahiling nya an toro sa dalan, sa sobrang takot ni Loco napasuriyaw siya nin makusugon, "Oooo!" asin initas kan toro an saiyang ikog buda nagharaklas an bitis kaini nang nagdalagan ini parayo. Dae nagtutubod si Loco na natakot saiya an dakula buda makusugon na hayop. Makusog na an buot niya asin nagdesidir na dae na sya matakot sa leon buda tigre. Alagad hulaan nindo kin sain naman maduman si Loco? Sa irarumon kan parte nin kabukidan. Ang drayber na si Babu dae lamang napasibog kan pagpindot nya ki buton para sa ilaw, alagad takuton si Loco. "Daeeee, habo ko maglaog dyan," suriyaw kaini, alagad alabaon na pito man sana an nagluwas. Paagi sa ararumon na kweba an inagihan ni Loco, an grandeng ilaw sa madiklumon na tunel. Pag bulsat sa kaini sa ibong, naghangos ini kan ararom sa kaginhawaan "Oooo!" Syempre pito man giraray ang nagluwas, alagad dae na ini takot sa maski ano. Ngunyan maogmahong naagi si Loco sa ibong kan oma asin sa mga tulay, sa kabukidan asin paagi sa kakahoyan, napito ini pag naoogma asin pantaram man sa gabos na humali sa agihan niya. Nakasakay ka na kay Loco?
bikol|3|Aram mo daw na pwede kan maging detektib sa mga hilang? Pwede kan mag- imbestigar kan mga kriminal na bayrus asin maghanap nin mga paagi nganing mapundo ini. Immunology an apod sa pag-aadal kun pano an satuyang lawas naglalaban sa mga hilang. Asin an makusog na si Doktor Firdausi Qadri ay sarong immunologist na nagtatrabaho nganing malabanan an bakterya na dae maglakop. Kan aki pa si Firdausi, muya nya magadal nin siyensya - kaya saiyang ginibo! Ugaring, kan sya estudyante sa unibersidad, nahiling nya an kababalaghan kan Liberation War asin kun gurano kakaskas maglakop an nakakagadan na hilang sa tubig. Kan oras na ito, dae syang magginibong dakol kundi an magadal nin marhay asin maggibo nin mga bandera gamit an mga lumang bado para sa bagong nasyon kan Bangladesh. Pero sa madali na sanang panahon, mapadagos sya nganing gumibo nin darakulang bagay para sa saiyang nasyon. Muyahon maghiling ni Firdausi sa mikroskopyo kan mga nagkukururikot na mga cell asin muyang dakol pang maaraman manungod sainda. Sya nakakua nin iskolarsyip sa UK asin nagtrabaho sa sarong modernuhon na laboratoryo kun sain sya nag- eksperimento asin nagdiskubre nin mga bagong bagay, pero kan tapos na an saiyang pag-adal, si Firdausi dae nagsayang nin oras: inimpaki nya an saiyang mga sinururatan asin nag-uli sainda - igwa pang trabaho na kaipuhan matapos! Nagpuon magtrabaho si Firdausi sa Centre for Diarrhoeal Disease and Research, Bangladesh (icddr, b) kun sain nya inimbestigahan ang kolera, sarong makahandal na hilang na nag-iistar sa tubig asin nagpapasakit sa rinibong tawo kada taon. Arog kan sarong detektib, pigdakop nya su bakterya, pighiling ang hiro asin gawi kaini. Mawot nya na bako sanang bulungon ini kundi punduhon an paglakop kaini. Muya nyang makagibo nin bakuna na barato, pasil na gamiton asin ipadara. Sa halawig na mga taon kan saiyang pagbalo, nakua ni Firdausi an saiyang pighahanap: an baratong bulong na pwedeng inumon kan tawo nganing mapugulan an kolera. Natabangan kaining dakulang diskubre an milyon-milyong tawo! Si Dr. Firdausi Qadri ay nakaresibe nin dakol na importanteng internasyonal na premyo, arog kan kabangang milyon na euro na premyo sa sarong pag- aadal, na itinao nya sa saiyang laboratoryo. Sya ang pinakainot na babayi asin pinakainot na Bangladeshi na nakaresibe nin siring na premyo. Pigsasabihan man ni Firdausi an mga kababaihan na muya maging siyentista na kaya ninda! Sa pagpapatotoo, ang mga babayi kaya gumibo nin manlain-lain na bagay na sabay-sabay. Ini an saindang superpower! Dawa si Firdausi daing bulong para sa gabos na bagay, igwa sya nin paagi nganing mapangganahan an mga problema: kusog nin espiritu! Kun kita siring an kusog nin espiritu, dawa ano posible. Ining makainganyar na ay parte kan koleksyon kan HerStories na gikan na gibo nin HerStory Foundation asin nagkaigwa nin manlain-lain na inangay na libro sa pakikipagtabangan sa inisyatibo kan
bikol|3|Ano an Igwa Ka? An aninipot sa marambong na kahuyan nakaistar. Solong naglilibut-libot asin dakul an pig-iisip. "Gabos ay mas magayun sako. Ano an sakong layon? Siisay ba dapat ako? Sa kagubatan, anong gayon sa gabos na parte! Diwit nagtatago sa awot na berde. Paru-paru sa burak nakabuka ang mga pakpak, Sa paghiling nya magayunon, pak na pak! Bayong manghahabi nagigibo nin pugad gamit an saiyang tuka. Nagbabayle sa pwsesto, baga man sana reyna. An lawa naglukso sa sarong kahoy paduman sa saro, Pigtatahi an saiyang sapot gamit an asul na ilo. Sa mga burak umuugong, nagtatrabaho nin wagas. Sugod sa kuyog nagbalik na may darang dugos sa wakas. An aninipot nawara sa pag-iisip. "Ano ang espesyal na igwa sako?" Paduman sa tubig, naglayog sya nin naglayog. Paghiling saiya, ugmahon an salog. "Aninipot, dai kana matakot Pag nahiling mo an banggi sa gilid kan dagat." An aninipot palayug-layog sa ibabaw kan madiklom tubig Asin nahiling an saiyang repleksyon na baga man sana bituon. Naghapot an salog, "Aram mo kung ano ang igwa ka?" Nagliwanag an aninipot, maliwanag asin maugma.
bikol|3|Kaidtong panahon igwa nin sarong agom kan paratanom. Sarong aldaw, mantang nagkukua sya nin bunga kan mansanas, nahulog an saro sa mga ini sa sarong kalot sa daga asin dae nya na ini makua. Nangalag ngalag sya sa palibot para mag hanap nin makakatabang saiya, Dangan nakahiling sya nin gamgam na nakatugdon sa puon nin kataid na kahoy asin sabi nya, "Gamgam, gamgam, maglayog ka pasiring sa labot asin tabangan mo akong makua an sakuyang mansanas!" Alagad nagsimbag an gamgam, "Tweet, tweet, tweet," na an boot sabihon "Habo." Hilingon mo ta garo sya pilyong gamgam. Sabi kan agom kan paratanom, "Ano nang pilyong gamgam!" Dangan nakahiling naman sya nin ikos, kaya sabi nya sa ikos, "Ikos, Ikos, luksuhon mo an gamgam hasta maglayog sya pasiring sa labot tanganing makua nya an mansanas para sakuya." Alagad sabi kan ikos, "Miaow, miaow," na an boot sabihon "Habo." Pastidyong ikos ini, hilinga. Kaya sabi kan agum kan paratanum, "Pastidyong ikos yan!" Dangan nahiling nya naman si ido, asin sabi nya sa Ido, "Ido, ido, hapagon mo an ikos hasta luksuhon nya an gamgam, tanganing lumayog na ini pasiring sa labot para makua na an sakuyang mansanas." Alagad sabi kan ido, "Bow-wow-wow," na an boot sabihon "Habo." Hilinga, pilyong ido ini. Kaya sabi kan agom kan paratanom, "Ay abaa na, pasaway na ido!" Dangan naghiling sya utro sa palibot... asin nakahiling sya nin putyukan dangan sabi nya, "Putyukan, Putyukan, tuduka na an ido hasta hapagon nya an ikos, hasta maglukso ini sa gamgam, hasta maglayog ini pasiring sa labot asin makabwelta na sakuya an mansanas ko." Alagad sabi kan pukyutan, "Bzz-bzz," na an boot sabihon "Dai." Pastidyo ining pukyutan, hilinga baya. Kaya sabi kan agom kan paratanom, "Abaa na! Ano nang pastidyong pukyutan!" Dangan nangalag-kalag sya... asin nakahiling sya nin taga-pangataman nin mga pukyutan, dangan sabi nya igdi, "Tagapangataman nin mga pukyutan, sabihan mo tabi si pukyutan na tudukon si ido, hasta hapagon kaini si ikos, hasta luksuhon kan ikos si gamgam, hasta maglayog si gamgam pasiring sa labot asin maibalik na sakuya an mansanas ko. Alagad sabi kan tagapangataman nin pukyutan, "Dai, habo ko." Kaya, sabi kan agom kan paratanom, "Abaa na! Pastidyong taga-pangataman nin pukyutan! Asin nangalag kalag sya utro. Ngunyan nakahiling sya nin pisi sa daga. Dangan sabi nya, "Pisi, pisi, bugkusi idtong taga-pangataman pukyutan hasta masugo nya si pukyutan na tudukon si ido, tangani na hapagon kan ido si ikos, tangani na si ikos luksuhon si gamgam, tangani na si gamgam maglayog pasiring sa labot asin makabalik na si sakuyang mansanas. Alagad dai sana nagmangno an pisi. Yaun sana ini sa daga. Asin sabi kan agom kan paratanom, "Abaa na! Pastidyong pisi! Dangan nangalag-kalag sya sa palibot... asin nakahiling sya nin kalayo. Dangan sabi nya, "Kalayo, kalayo, sului baya an pisi tangani na bugkuson kaini an taga-pangataman nin putyukan, hasta i-alaw kaini an putyukan na tusukon an ido, tangani na an ido hapagon an ikos, tangani na an ikos luksuhon an gamgam, tangani na an gamgam maglayog pasiring sa labot, asin makabalik na sako an mansanas ko." Alagad dai lamang nin pigsabing dawa ano an kalayo. Dai sana ini nagmangno. Dai kaini susuluon an pisi. "Abaa na!" sabi kan agom kan paratanom. "Pastidyong kalayo!" Dangan nangalag-kalag utro sya sa palibot... asin nakahiling sya nin tipon na tubig. Dangan sabi nya, "Tubig, tubig, papunduha na an kalayo, ta habo kaning suluon an pisi, ta dai man kaini pigbubugkos an taga-pangataman putyukan, ta dai man kaini pig-aalaw an putyukan na tudukon an ido, ta dai man kaini pigbubukod an ikos, ta dai man kaini piglulukso an gamgam. Asin huli ta an gamgam dai man nagpapasiring sa labot tangani na kuahon an sakong mansanas." Alagad dai man lamang nagmangno an tubig. Asin sabi kan agom kan paratanom, "Abaa na! Pastidyong tiripon na tubig ka!" Asin nangalag-kalag sa palibot an agom kan paratanom... dangan nahiling nya an baka. Asin sabi nya sa baka, "Baka, Baka, inuma na an tubig, ta dai man kaini pigpapalsok an kalayo, ta dai man kan kalayo sinusulo an pisi, ta dai man kan pisi pigbubugkos an taga-pangataman kan putyukan, ta dai man pig-aalaw kan taga-pangataman kan putyukan an mga putyukan na tudukon an ido, tangani na hapagon na kaini an ikos, tangani na an ikos luksuhon na an gamgam, tangani na an gamgam maglayog na pasiring sa labot para kauhon an sakuyang mansanas." Alagad an sabi sana kan baka, "Moo, moo," na an boot sabihon "Dai." Asin sabi kan agom kan paratanom, "Pastidyong baka!" Asin nangalag kalag giraray an agom kan paratanom nin saro pang beses, dangan nahiling nya utro an gamgam. Kaya sabi nya sa gamgam, "Muya kong tukaon mo na sana idtong baka nin kadiit sana." Kaya sabi kan gamgam, "Sige, tutukaon ko an baka. Basta dai mo hagadon sako na maglayog pasiring sa labot asin ibalik an mansanas saimo." Sabi kan agom kan paratanom, "Tukaon mo sana an baka." Kaya, si gamgam na pastidyo man ngani, pigtuka si baka. Asin nagpuon nang inumon kan baka an tubig, dangan pigpundo naman kan tubig an kalayo, asin an kalayo pigsulo na an pisi, dangan an pisi pigbugkos na an taga-pangataman nin putyukan, asin an taga-pangataman nin putyukan pigsabihan na an putyukan, asin an putyukan nagpuon nang tudukon an ido, asin an ido hinapag na an ikos, asin an ikos nagpuon nang luksuhon an parehong gamgam na nagtuka sa baka. Asin an duros nagpasiring sa labot dangan pigbalik an mansanas sa agom kan paratanom. Asin gabos sainda namuhay nin maogma poon kaidto. www.hoopoebooks.com Text
bikol|3|An Aldaw na Nagpaeskwelahan an mga Kagulayan.
bikol|3|Igwa nin salog na an pangaran Pasaha sa distrito nin Bara. Sarung aldaw, an amid na si Ladeha nagabut sa salog na ini. Iniisip ni Ladeha na sya magayunon. Muyahon nya sya pagumawon kan gabos. Gamit ang baybay kan salog, si Ladeha naggibo nin bangko. Huli ta ini baybay, ini tulos nagaba, Pero si Ladeha naghanap nin paraan para ini mapakusog. Sya nagdakop nin duwang talapang sa salog, ini sulot nya na garo hikaw, asin sya nakatukaw sa baybay na bangko. Dangan sarung lalaki ang nagdadangadang sa salog. Pinapundo nya ini, sabi ni Ladeha,"Huy! Tawo, Inut, sabihun mo, Kamusta an itsura ko? Saka sana ika pabalyuhon ko sa salog," Tanganing mapaugma si Ladeha, an lalaki nagpuon magkanta: "Sa baybay na bangko, an baybay na bangko, maywirik nin sandalwood nakatukaw an madunong na lalaki na nakasulot nin perlas na hikaw sa parehong talinga." Kan madangog an pag-umaw, si Ladeha naogma asin nagsabi,"Iyu,tawo. Pwede kana maghali." Makalihis an diit na minuto, sarong damulag an nagabut sa salog ta ini magkarigus. Si Ladeha naghaput giraray, "Huy, Damulag! Inut, magsabi ka sako, Kamusta an hitsura ko? dangan ika papakariguson ko sa salog. Tanganing mapaugma si Ladeha, an damulag nagpuon magkanta: "Sa baybay na bangko, an baybay na bangko, maywirik nin bulawan nakatukaw an kagurangnan na naksulot nin pirak na hikaw sa parehong talinga." Kan madangog an pag-umaw, si Ladeha naogma asin nagtaram,"Iyu,damulag. Pwede kana maghali." Dai nahaloy pagkatapos, an sadit baka nagabut ini para maginum nin tubig. An pangaran kan baka si Bachhiya. Sya daing paghadit asin sya hambug. Si Ladeha giraray naghapot, "Huy, Bachhiya! Inut, sabihun mo, Kamusta ang hitsura ko? dangan ika papainumon ko sa salog." Si Bachhiya nauyam. Nata kaipuhan umawon si Ladeha tangani sana makainum dyan sa salog? si Bachhiya sinabi kun anu an saiyang nahiling: " Sa baybay na bangko, an baybay na bangko maywirik nin udo nakatukaw an daing aram na si Ladeha na naksulot nin talapang sa parehong talinga." Si Ladeha nadagit sa simbag ni Bachhiya asin sya binukod. Natakot, Si Bachhiya nagdulag. si Ladeha nagbukod, si Bachhiya nagdalagan. Ultimo, Si Ladeha nadakop si Bachhiya. Dagit man giraray, Si Ladeha naghagad, "Huy, Bachhiya. Sabihun mo? Pano ko ika kakanun? Puon sa itaas o puon sa ibaba?" Tanganing mailigtas an saiyang sadiri, an mataling si Bachhiya nag sabi, "Hilingun mo, Ladeha. Kun ako kakanun mo puon sa ibaba, an udo maluwas. Kun ako kakanun mo puon sa itaas, maisug na ayam an maruluwas." "maisug na ayam?" haput ni Ladeha,ini natakot. "Igwa nin mga matarum na ngipun asin mga matarumon na kuko. Sinda sampulong bese na dakula pa saimo! Sinda hahalunon ka na dai nginunguya," ditalyadong sabi ni Bachhiya. Si Ladeha pinatakas si Bachhiya asin ini puon nagdulag. "Huy, Bachhiya, Halat muna Huy, Bachhiya, Padulagon mo ako Huy, Bachhiya, Halat muna Huy, Bachhiya. Padulagon mo ako." Kan si Ladeha dai na nahiling, Si Bachhiya nagtuwal-tuwal kan ulok. Naglalakaw paitaas asin paibaba sa salog kan Pasaha, si Ladeha pinag-iisturya sa gabus na mangmang si Bichhiya.
bikol|3|Nakatukaw sa sopa si Pipi dangan nagmemeryenda habang nagaalat sa pagabot kan saiyang ina hali sa saodan. Nahiling niya an mga amigo niya na nagakawat sa luwas, pero mas gusto niya na nasa laog kan harong. Kan makaabot an ina ni Pipi sa harong, pinahiling nya tulos an bagong pantalon na binakal nya para saiya. "Yay! Susuluton ko ini sa Khmer New Year!" kurahaw ni Pipi. "Gusto mo bang makisaro sa New Year's paorumbasan ngunyan na taon? hapot kan saiyang ina. Pigsukol ni Pipi an saiyang bagong pantalon. "Dai na po, Mama. Salamat po pero dai ako interesado. Nagdalagan si Pipi paluwas para ipahiling sa saiyang ama an bago nyang pantalon. Alagad habang paduman nya ---- rrrriiipp! "Hala!" Suriyaw ni Pipi. "An bago kong pantalon nagisi!" Duminalagan tulos si Pipi pauli sa saindang harong para magsalida nin pantalon. Nadesganar sya sa bago nyang pantalon ta naraot tulos. Hinapot ni Pipi an saiyang ina kung puwede nya itong tapalan. "Dai," simbag niya. "Sibot ako sa pagpreparar para sa pagselebrar kan Bagong Taon." Hinapot ni Pipi an saiyang ama kung puwede niya itong tapalan na pantalon. "Iyo,"simbag nya. Pero hanapan mo nguna ako ki dagom asin torsido." Naghanap nin dagom asin torsido si Pipi sa palibot kan harong. Hiniling niya sa laog kan baduan, sa laog kan aparador, sa itaas kan aparador, dangan sa laog kan laganan nin pantahi. Pagalun si Pipi kabalik-balik paduman kay Papa nya. "Nakua mo ba su dagom dangan torsido?" hapot san ama nya. "Dai po. Papa, pagalun na ako makulog na an mga tuhod ko." Ipinaliwanag kan ama ni Pipi na napapagalan sya maghanap ta dae sya naghihiro na maray sa palibot para mahanap an dagum asin torsido. Nagirumdoman ni Pipi si Puppy dangan Monkey. Nahihiling nya sinda na nagaehersisyo sa baryo kada aga. Habu nyang magehersisyo alagad matatabangan sya kan pag-ehersisyo. Kan sunod na aldaw, nagdesisyon si Pipi na makisaro sa mga amigo nya. Dae sya marhay marikas asin napapagalan syang makasabay ki Monkey dangan Puppy. Dahelan ta pagalun na sya, nadalinas dangan natumba si Pipi "Aray!" Kan matumba sya tinabangan sya makatindog ni Monkey dangan Puppy. Sumunod na aldaw, habu na ni Pipi magdalagan ta makulug an saiyang tuhod asin hawak. Alagad pinagirumdom kan saiyang ama na kun mas makawat sya sa luwas dangan maehersisyo, mas diit an mamatian nya na kulog dangan mas magiging makusug an saiyang salud. Pirang semana nasana maselebrar na kita kan Bagong Taun. Aroaldaw nakikiwat na si Pipi sa sanyang mga amigo sa luwas. Nagdadalagan, nagkakawat football, o kaya nagkakawat badminton. Dai nahaloy, dai na nagkukulog an tuhod nya dangan nakakawat na sya sa luwas na dai tulos napapagal. Sa wakas, uminabot na an aldaw san pagselebrar kan Bagong Taon. Makusug asin marhay an pagmate ni Pipi dangan nagdesisyon sya na makisaro sa Bagong Taon na rumbasan! Sa katapusan kan rumbasan, dinara asin sinulot ki Pipi kan saiyang magurang an bago nyang pantalon. Sinukol ninda ini sa marhay asin perpektong salud nya!
