language|level|text
cebuano|3|Di maayong talan-awon ang naa sa atop nilang Tita. Adunay usa ka dako nga pabrika nga nagbulhot ug aso sa likod sa iyang bay. Nakadesisyon si Tita nga butangan ug mga tanum nga mirasol ang iyang atup aron munindot. Apan ga anam-anam na ug pangalaya ang iyahang mga gibutang nga mirasol. Ang gusto ni Tita nga unta pirme siyang may mga buwak sa iyang atupan. Apan unsaon niya kini pagbuhat? Sa katapusan sa semana, gipangutana ni Tita ang iyang amahan kung makatabang ba kini kaniya. "Tay, ganahan unta ko nga naay mga buwak diri pirme. Apan unsaon mani pag-atiman para di mamatay ang tanom?" pangutana niya. "Maghimo ta ug usa ka hardin! Naa koy gida nga usa ka dakong sudlanan sa yuta ug mga liso nga inugtanom. Magtinabanganay ta aron mulambo ang hardin ug magdugay." Gi-andam nila maayo ang yuta nga talamnan. Apan nakuratan si Tita sa iyang nakuha. "Wati, Kaluod! Gikinahanglan ang mga wati sa hardin, Tita." mipasabut ang iyang amahan. "Nakatabang sila sa pagtubo sa mga tanum." Di sigurado si Tita kung gusto pa ba niya ang mga wati, apan ipadayon niya kini kung makatabang sa ilang hardin. Panahon na sa pagbisbis sa mga tanom. Gibubuan ni Tita ug usa ka baldeng tubig ang mga tanom. "Inom mog maayo mga liso, aron paspas mong mutubo!" ingnon ni Tita sa iyang mga tanom. "Sakto nana Tita, ayaw pasobrai ug bisbis." Ug gipakita ni nanay kang Tita kung unsa kadaghana ang kinahanglan nga ibisbis sa mga tanom. "Apan ganahan man ko nga mudako sila dayun," reklamo ni Tita. "Ang mga tanom nanginahanglan ug igo nga oras aron motubo," hinay nga nag pahinumdom ang iyang inahan. "Kabawo ko nga lisod, apan kinahanglan nimong magpadayun." Nilabay ang usa ka simana, nagsugod na ug pagtubo ang mga liso! Panahon na aron ibalhin ang mga tanum sa ilang tagsatagsa ka misitira. Dali-dali nga gikuha ni Tita ang tanan nga mga tanum. "Hinay hinay lang Tita," pahibawo sa iyahang inahan. Kay kung maputol nimo ang mga ugat di nana sila mutubo.' Gitanom nila ang mga bag-ong tubo sa bag-o nga misitira. Nagsugod na ug himo ug mga karton ang amahan ni Tita aron mas daghan pang buwak ang mutubo, samtang gahimo si Tita ug mga karatula aron sa ilahang hardin. Nahibaw-an na si Tita ang kinahanglan niyang mahibaluan bahin sa pag-atiman sa ilang hardin. Wa nagdugay, nagsugod na ug panubo ang mga buwak. Usa ka gabii, namili si Tita ug mga mirasol nga buwak aron ibutang sa ilang pagkaunan. Ug nakit-an niya iyang mama nga galuto ug utanon. "Nay, puwede ba tang magtanom ug mga utanon sa atong hardin?" "Maayo kana nga hunahuna Tita! Sige ato nang buhaton." Wa nagdugay, napuno na ug mga tanom ang hardin ni Tita sa ilahang atup. Nagtanom usab siya ug mga buwak, karot, sibuyas, tawong, ug uban pa nga mga katingad-an nga mga butang! Karon ang tanan nilang mga silingan kay nalipay sa nindot nga talan-awon sa hardin ni Tita kay sa aso nga gikan sa pabrika. Nangayo usab sila ug tambag ug unsaon pagtanum. Tingali sa usa ka tuig, may naa napud silay mga tanom sa ilahang atup.
cebuano|3|Ang punoan sa Sambag nagpuyo tapad sa usa ka sako nga dalan. Sa pag-agi sa mga tawo, kanunay nila siya nga gidayeg tungod sa landong ug lami nga prutas nga iyang gihatag kanila. Mapasigarbuhon kaayo ang punoan sa Sambag sa pagpalangga kaniya sa mga tawo ug sa iyang pagkamapuslanon. Usa ka adlaw, nagtukod ang mga taga-baryo og dakong payag tupad sa punoan sa Sambag. Wala siya kabalo sa iyang mabatyagan sa iyang bag-ong silingan. Karon, kung moagi ang mga tawo moingon sila, "Wow, kanindot ani pahuwayan nga payag! Ka dako ani, naa pa juy lingkuranan sa sulod!" Mura'g wala nay nalingaw sa landong sa punuan sa Sambag. Ang gabisita ra sa iyang mga sanga mao ang mga kiat nga bata nga gakatkat para mangawat sa iyang prutas. Sa pagbag-o sa panahon, nagsugod og pangahulog ang mga dahon sa punoan sa Sambag. Gihuyop sa hangin ang mga dahon paingon sa payag. "Hoy Sambag, hunonga ang paghulog nimo og mga dahon kanano! Naghugaw-hugaw ka!" singgit sa payag. "Dili na nako sala Payag! Kung gusto kang moreklamo, reklamuhi ang hangin!" tubag sa punoan sa Sambag. "Ayawg basula ang hangin. Kung wala ka gahulog ug mga layang dahon, dili na tayhupan ni Hangin paingon diri nako. Ka samok jud nimo!" siyagit sa payag. GIbalewala sa punoan sa Sambag ang mga pulong ni Payag. Pagkasunod gabie, naay dakong bagyo. Naputol ang usa sa mga sanga sa punoan sa Sambag ug ninglupad paingon sa atop ni payag. Nihilak ang punoan sa Sambag tungod sa sakit sa pagkabali sa iyang sanga, apan wala nagpakabana ang payag kay ang iyang giatiman mao ra ang iyang guba nga atop. "Kinahanglan nimong atimanon ang imong mga parte," sukmat niya. Ang punoan sa Sambag naguol ug nasakitan. Gipangandoy niya nga unta makabalo siya og unsay angay niyang himuon sa iyang maldita nga silingan. Samtang naghunahuna sa panghitabo ang punoan sa Sambag, ang usa sa iyang mga gamot nagsugod og tubo palibot sa usa sa mga haligi sa payag. Wala na ganahi ang matag usa kanila sa usa'g usa. Wla na sila nagtagdanay. . . . usa na sad ka bagyo ang miabot ug mas lala kini kaysa sa mga niagi. Paminaw ni Payag nga mura siyag dal-on sa hangin, ning syagit siya ug tabang sa punoan sa Sambag. Wala nagduha-duha ang punoan sa Sambag ug gigunitan niya ang payag sa kutob sa iyang mahimo. Pagkahuman sa bagyo, ningpahiyom si Payag sa punoan sa Sambag. "Salamat kaayo sa imong tabang. Dili ko maluwas kung wala ka. Pasayloa ko kung lain kaayo ko'g batasan nimo sauna." Gidawat sa punoan sa Sambag ang pagpangayo'g pasaylo sa payag nga mapahiyumon. Sa katapusan, nahimo silang malipayon nga managsiilingan.
cebuano|3|Ang balay ni Nonoy. Haligi ani lig-on nga kahoy. Hinimo kini ni Lolo Andoy. Adunay silong ang balay ni Nonoy. Usa ka adlaw niana, nakabalita siya. Adunay bagyo nga moabot. Dali-dali siyang nangandam sa mga butang. Gitabangan niya iyang mama sa pag-andam. Sama sa pagkaon, tubig ug sanina. Lunes sa buntag, mihuros ang hangin. Aduna pa gayod kusog nga ulan. Nahadlok ug nakuyawan si Nonoy. Misulod sila sa balay ug nag-ampo. Uban sa iya nga pamilya. Nag-ampo sila kang Sto. Niño. Nilabay ang tulo ka oras. Milurang ang kusog nga hangin. Ug mihunong na ang uwan. Tungod hugot ang iyang pagtuo. Wala maguba ang balay sa bagyo. Nagpasalamat si Nonoy sa Sto. Niño.
cebuano|3|Ang bandila mao ang nasudnong simbolo sa Pilipinas nga kinahanglan natong tahuron ug higugmaon. Rektanggulo ang porma sa atong bandila nga adunay kolor: asul, pula ug puti. Kini adunay duha ka pareho nga gidak-on sa kada kilid nga asul ug pula. Adunay usa ka puti nga managsama ang gidak-on sa trayanggulo sa wala nga bahin. Sa sentro sa trayanggulo mao ang usa ka bulawanong adlaw nga may walo ka mga silaw. Ang matag kolor sa atong bandila, ang tulo ka mga bituon, ug ang adlaw nagpakita sa atong kasaysayan. Ang puti nga trayanggulo nagsimbolo sa panagsama. Ang asul alang sa kagawasan, kamatuoran, ug hustisya. Ug ang pula nagsimbolo sa pagkabayani ug pagkaisog. Ang tulo ka mga bituon nagrepresentar sa tulo ka mga dagko nga isla sa Pilipinas: ang Luzon, Visayas, ug Mindanao. Samtang ang puti nga trayanggulo nagsimbolo sa Katilingban. Ang walo ka silaw sa adlaw nagsimbolo sa walo ka mga probinsiya nga una nakig-away sa mga Katsila. Kini mao ang Maynila, Cavite, Bulacan, Pampanga, Nueva Ecija, Tarlac, Laguna ug Batangas. Sa matag higayon nga ang atong bandila ibayaw, ang asul kanunay anaa sa ibabaw diin nagpasabot sa kalinaw. Apan kon ang pula nga bahin anaa sa taas ang buot pasabot niini kay gubat. Usa ka paagi sa pagpakita ug gugma ug respeto sa atong bandila, kinahanglan nga nag-atubang ka samtang kini gibayaw. Kinahanglan kining ampingan. Ayaw kini tuguti nga masadsad sa yuta sa bisan unsang panahon.
cebuano|3|Kaniadto sa usa ka panahon, sa usa ka layo nga nasud, Adunay usa ka lungsod, ug sa lungsod adunay usa ka manok, ug siya usa gyud ka binuang nga manok. Naglakaw-lakaw siya nga nag-ingon "Tuck-tuck-tuck,Tuck-tuck tuck, tuck-tuck-tuck. " Ug wala'y tawo ang nakabalo sa kung unsa ang iyang gipasabut. Pero bitaw, wala man gyud siyay gipasabut niana, pero wala'y nakahibalo niana. Gihunahuna nila nga "Tuck-tuck-tuck, tuck-tuck-tuck, tuck-tuck-tuck "kinahanglan adunay gipasabut. Karon, usa ka maalamon nga tawo nga miabut sa lungsod, ug iyahang gitan-aw kung mahibal-an ba niya kung unsa ang gipasabut sa manok sa "Tuck-tuck-tuck, tuck- tuck-tuck, tuck-tuck-tuck. " Unya gisulayan niya, ug gisulayan, ug gisulayan. Apan ang tanan nga iyang nahibal-an isulti mao ang "Tuck-tuck-tuck, tuck-tuck-tuck, tuck-tuck-tuck. " Intawon, bisan iyang tingog parehas sa manok, wala siya ideya kung unsa iyang ginasulti. Unya nadesisyonan niya nga tudloan ang manok na mosulti parehos sa sinultian sa tawo. Gisulayan niya, ug gisulayan, ug gisulayan. Medyo nadugayan siya, apan sa katapusan, nakasulti ang manok hingpit nga maayo, sama sa mga tawo. Pagkahuman makabalo sa sinultian sa mga tawo, ang manok miadto sa kadalanan sa lungsod ug misinggit, "Kitang tanan tunlon sa yuta! " Sa una ang mga tawo wala makadungog unsa ang gisulti niya kay wala nila damha na kabalo na ang manok mosulti sama sa sinultian sa tawo. Nanawag usab ang manok, "Kitang tanan tunlon sa yuta! " Sa kini nga higayon, ang mga tawo naminaw kaniya, ug sila misugod sa pagsinggit. "Maayong Langit! " "Maayo nga Mapuangoron!" "Minahal ko!" "Tunlon kita sa yuta! " "Oo, tinuod! Ingon ang manok! " Grabe silang na-alarma, ang tanan tawo nag-impake sa ilang labing mahal nga mga butang ug nagsugod sa pagdagan aron makalayo sa yuta. Nanagan sila gikan sa usa ka lungsod … patubang sa lain. Nagdagan sila latas sa mga uma ug ngadto sa kakahoyan. ug tabok sa mga parang. Nidagan sila sa babaw sa bukid … ug paubos sa bukid. Nidagan sila sa kalibutan ug sa babaw sa kalibutan … Ug sa tibuuk kalibutan. Nagdagan sila sa matag posible nga direksyon. Apan dili pa sila makalayo sa yuta. Sa katapusan ningbalik sila sa ilang lungsod. Ug ang manok, naa ra gihapon sa iyahang pwesto kung sa diin nila gibiyaan atung pagsuggod nila ug dagan. "Paano nimo nabal-an nga tunlon kita sa yuta? " gipangutana nila ang manok. "Wala ko kabalo," ingon sa manok. Sa una ang mga tawo nahibulong, ug sila miingon pag-usab, "Wala ka kabalo? Wala ka kabalo? Wala ka kahibalo? " Ug nasuko sila pagmaayo, ug gitan-aw nila pag-ayo ang manok ug nagsulti sa nasuko nga mga tingog. "Nganong nasulti man to nimo kanamo? "" Wala kay kahadlok!" "Gipadagan mo kami gikan sa usa ka lungsod ngadto sa lain!" "Gipadalagan mo kami latas sa mga uma ug ngadto sa kakahoyan ug tabok sa mga parang! " "Gipadagan mo kami sa babaw bukid ug paubos sa bukid! " "Gipadagan mo kami sa kalibutan ug sa babaw sa kalibutan ug sa tibuuk kalibutan!" "Gipadagan mo kami sa matag posible nga direksyon!"" Ug sa tanan nga panahon kami naghunahuna nga nahibal-an nimo nga tunlon kita sa yuta! " "Gipadagan mo kami sa matag posible nga direksyon!"" Ug sa tanan nga panahon kami naghunahuna nga nahibal-an nimo nga tunlon kita sa yuta! " Sa una ang mga tawo nagtan-aw lang sa manok,ug nangatawa sila. Nangatawa sila, ug nangatawa, ug nangatawa tungod kay sila nakaamgo kung unsa sila ka buang, ug nakakatawa na lang sila sa ilang gibuhat. Pagkahuman niadto, bisan kanus-a nila gusto nga nga mokatawa moadto ra sila sa manok ug moingon, "Sulti ug usa ka butang nga makapakatawa kanamo. " Ug ang manok moingon, "Mga tasa ug platito gama sa mga kutsilyo ug tinidor! " Ang mga tawo mokatawa ug moingon, "Kinsa ka? Kinsa ka? " Ug ang manok motubag, "Ako usa ka itlog. " Ang mga tawo mangatawa usab niini, tungod kay nahibal-an nila nga dili siya usa ka itlog, ug unya sila moingon, "Kung ikaw usa ka itlog, nganong dili ka dalag? "Dili ako dalag," mingtubag ang manok, "tungod kay gipintahan nako ang akong kaugalingon ug asul. " Ang mga tawo nangatawa usab niini, tungod kay kit-an gyud nila nga dili gyud siya asul, ug unya sila mingon, "Unsa man ang gipinta nimo sa imong kaugalingon?"Ug ang manok motubag," Pula nga tinta. " Ug niini nangatawa sila ug maayo." Ug karon ang mga tawo bisan diin nangatawa sa mga manok ug dili na lang gyud nila hatagan ug dakong pagtagad kung unsa ang ginasulti– bisan kung sila makigsulti – tungod kay, nahibal-an sa mga tawo nga ang mga manok buangon. Ug kana nga manok nagpadayon gihapon sa pag-adto sa lungsod, sa halayo nga nasud, ug magsulti sa mga tawo sa mga butang na makapakatawa sa ilaha. www.hoopoebooks.com Text sa The Estate of Idries Shah Illustrations ni Jeff Jackson Una nga gipatik kaniadtong . Gipatik sa kini nga edisyon sa TANAN NGA KATUNGOD NGA NAGPANG-AYOD May sa tibuuk kalibutan Alang sa kompleto nga mga buhat sa Idries Shah pagbisita: www. idriesshahfoundation.org
cebuano|3|Ako si Junjie. Nakapuyo ko sa Barangay Apopong, General Santos City. Usa ka adlaw, niadto mi sa akong tibuok pamilya sa Oval Plaza aron mag suroy-suroy. Gipalitan ni Papa akong manghod nga si Jan-jan og nindot kaayo nga antipara. Gipalitan sab ko ni Mama og asul nga kalo. Akong manghod nga si Jufel gipalitan sab og kendi. Tong pauli nako sa balay, nihuyop ang hastang kusoga nga hangin. Ug napalid ang akong bag-ong kalo nga gipalit ni Mama. Gilupad sa kusog nga hangin ang akong bag-ong kalo ug nasangit kini sa punoan sa hastang dakoang kahoy. Grabe gayud ang akong hilak. Wala na gud nako gikaon ang akong panihapon. Pagkagabii ato, nisubang ang hastang hayaga nga Bulan. Gitan-aw sa Bulan ang akong kalo nga nasangit sa punoan sa dakong kahoy. Gi-testingan sa Bulan og sul-ob ang akong bag-ong kalo. Ningisi siya sa akoa. Ningisi sab ko sa iya. Pagka-ugma, human sa akong klase, gitagaan ko sa akong mama og nag sinaw nga bag-ong pula nga kalo. "Gihatag na sa Bulan," sulti ni Mama. Pagkagabii, gisuot namo sa Bulan ang among mga kalo ug nagngisihanay. Lipay kaayo ming duha. Sa imong paminaw, kinahanglan sab kaha sa Adlaw og kalo? Tagnaa kung asa nga kalo akong gisul-ob karong adlawa!
cebuano|3|Si Darshana ug Chenda nagpauraray sa landong sa ilalom sa kahoy kay init kaayo ang adlaw. Pwerting inita kung magduwa. "Gusto ka moadto sa sapa ug magpabugnaw?" ingon ni Darshana. Sige pero kinsay man mo kuha sa buslot na ligid? Bato-batohon ug daghang tunok ang dan padung sa sapa. Permi gyud nga may mabuslot nga ligid kon mopadung didto. Unya, ilaha nalang iduot ang ilag bike padung sa ilang bay, ug maghuwat sa ilang mga ginikanan nga mutangtang sa ligid. Sir Darshana mahiligon mo solbad ug mga poblima, pero di sya maka solbad aning butanga. Apan, pwerti gyud pagkainita karong adlawa, pero nindot sad nga sulayan ni. "Lumba ta padung sa tubig!" nisyagit si Dashana samtang kusog kayo siya padong sa kalsada. Sa dihang niliko siya, nabatyagan niya nga murag nihiyus ang ligid sa iyang atubangan. "Aguy, ayaw sa unta!" nisyagit si Darshana. "Gusto lang unta nako magpabugnaw!" Sa iyang paghunahuna nga sayon ra iduot ang iyang bike padong sa iyang bay bisan dyutay ra ni'g hangin, gibutangan ni Darshana ug babolgam ang buslot sa ligid. "Binuang man ni, pero basi pa diay makatabang," siya nag huna-huna. Ug sa dihang naabot si Darshana sa iyang balay, natinga siya ang naa pay hangin ang iyang ligid. "Nindota uy! Makapahiyum man sad ta ani," ana siya, samtang gipapitlan niya ang kuraspat na nga babolgam. Gibombahan ug hangin ni Darshana ang iyang ligid ug Nakita niya nga ang babolgam ug ang iyang gipapilit nakatabang ra gyud sa pag sap-ong sa hangin. "Kung naa lang unta koy lig-on nga papilit, ako ra unta ani makabulkit sa ligid – bisan unsang oras, bisan asang dapita," niingon siya sa iyang kaugalingon. Si Chenda nga mopauli na gikan sa sapa, nihapit sa bay ni Dashana. "Nindot lagi na tan-awon," niingon siya. "Nakasap-ong ba gyud na sa hangin?" "O uy!" nitubag si Darshana. "Murag bayran gyud ka sa mga tawo ana, sa ako lang nga panan-aw. Niingon si Chenda samtang nisakay siya. "Tinuod ba nga bayran ko sa mga tawo ani?" naghunhuna si Darshana. "Pwede ko ani mag sugod ug nigosyo ug mgadato." Samtang gapanyapon, si angkol Nimo niistorya kabahin sa iyang plano sa pag pa daku sa iyang nigosyo nga "Greeting Card." "Gusto sad nako maka nigosyo!" mainabtikon nga nisulti si Darshana. "Gusto ko mgahimo ug mga papilit para ang mga bata maka-ayo lang sa ilahang bike bisan asa nga sila lang." Samtang si Darshana nihunong sa pagsulti para makaginhawa, ang iyang angkol ni tando sa iyang maayong nahunahunaan. "Kabawo ka pila ang gasto sa paghimo sa pangbulkit ug pila sad kung ibaligya nato ni?" nangutana sya. "O, kabawo ka mo lista sa mga nabaligya, ug sa pagpamaligya?" nilantaw si Darshana sa iyang pinggan. Wa niya nahunahunaan ang maong mga butang. Samtang gapahiyum sya, nilantaw siya sa iyang Angkol Nimo ug niingon, "Wa! Pero pwede ko nimong tabangan? Sadya diba?" "Kinahanglan ka mahimung nigosyante parihas nako." Gisultian ni Angkol Nimo si Darshana ug ni katawa. "Unsa?" nitubag si Darshanan. "Gusto nako makahimo papilit para pangbulkit sa mga nabuslot nga ligid." "Maayo kay naa kay maayog nahibaloan sa pag solbad sa problima sa kadaghanan ug naa sad kay hilig sa paghimu ani sa nigosyo." Nipadayun si Angkol Nimo. "Mao na ang ginapanghimo sa mga nigosyanti." Paghuman sa panyapon, si Angkol Nimo nagpakita ni Dashana ug gagmay nga mga tsart sa iyang nigosyo ug unsa ka importante nga mahibaw-an ang kantidan sa mga pangbulkit ug pila ang katindad kon kini ibaligya. "Akong pangutan-on ang akong mga amiga ug amigo pila kaha ilang gusting ibayad ani," nitubag ni Dashana. "Maayo kayo," nitubag si Angkol Nimo. "Mao nay ginatawag nga pagpanukiduki kabahin sa nigosyo." Sa sunod nga adlaw, si Darshana nagapangutana sa iyang mga amigo ug amiga. Naay uban nga niingon nga di sila mopalit sa iyang papilit pero daghan usab nga nalipay nga mobayad ug duha ka libo ka pesos. "Maayo kaayo," ingon iyang Angkol Nimo samtang gitawag siya ni Darshana para iasoy niya ang iyang nahibaw-an. "Karon naa na kay nahibaw-an pila ang imong ipabayad." "Niadto sad ko sa tindihan sa mga bike ug nangutana pila ang ilang inugbulkit," giingnan niya iyang angkol. "Maayo pa gyud na," nitubaga siya. "Kanang mga kanunayng pangbulkit mao nay puli sa mga produkto – produkto nga paliton sa mga tawo imbis ang imong pangbulkit." Gusto ni Darshana nga hangyoon ang mga bata sa iyang eskwelahan nga mopalit sa iyang pangbulkit. Pero unsaon? Naghunahuna sya usa ka pahinumdum kun usa ka nindot ang pangbulkit niya bisan kini ang mga bata lang mogamit sa panahon nga sila maggamit sa ilang bisikleta Unya nitumpak gyud ang ginapanumdum ni Darshana! Kada bata sa iyang eskwelahan ganan mga palit sa iyang pangbulkit. Bisan ang baligyaan sa bisikleta nitawag niya ug nipalit! Apan, nisugod pagbati si Darshana sa kakapoy sa trabaho. Abi niyag malipay siya sa pagpamaligya. "Kung di nimo himoon ang tanan nga ikaw lang, di gyud ka makapoyan," nitambag ang iyang angkol. Ug nakahuna-huna si Darshana ni Chenda. Maayo kaayo sya sapagpasunod ug maayo sad kaayo sa Math, ug ganahan pa gyud sya sa bisikleta. Mahimu jud sya nga maayong kasosyo sa nigosyo. Unya giganahan sad si Chenda sa maong hunahuna. Unya ang udha ka higa nakatag-iya ug nigosyo nga malamboon. Napalipay ni Darshana ang mga tawo sa iyang pangbulkit ug si Chenda sad ang nag padayun lista sa tanan nga mga orders. Ang tanan nga mga bata sa lungsod nag bisikleta nga may mga gasiga-siga nga mga bulkit sa ilang mga ligid. Sa dihang ni bisita si Angkol Nimo sa pipila ka buwan, Si Darshana ug si Chenda nisugid sa ilang nigosyo. Si Chenda nagpakita sa iyang mga sa lista sa ilang mga halin. Ug si Darshana nagpakita sad sa iyang plano sa nigosyo ug bag-ong desinyo nga panghunahuna. "Maayo kaayo mong duha sa nigosyo." Ingon si Angkol Nimo. "Salamat, Angkol. Wa gyud unta ni nako nahunhunaan ug nahimong nigosyo kon di tungod sa imong tabang. Gusto na ka makabati sa sunod nako nga nahunhunaan."
cebuano|3|Si Ekay usa ka ilado nga bata sa ilang lugar. Siya adunay taas nga mga pilok, brown ang kolor sa panit ug kulot ang buhok. Apan ang ubang mga bata gikataw-an siya tungod sa iyang kulot nga buhok. Nasubo kaayo siya ug sugod kaniadto wala na siya nahimuot sa iyang buhok. "Mugamit ko ug plantsa sa buhok aron kini mutul-id," ang giingon ni Ekay. Hinay-hinay nga nangahunhon ang buhok ni Ekay. Hangtud nahurot ang iyang buhok. Ug sa dihang nakamata na siya. "Ay salamat Ginoo kay damgu ra diay kini," ang nasulti ni Ekay. Sukad kaniadto gihigugma ug giatiman na ni Ekay ang iyang buhok. "Gidayeg ko ikaw kay angay Ka mang kahadlokan; katingalahan ug kahibulongan ang tanan Mong gibuhat..." Mga Salmo :a (RCPV)
cebuano|3|Kaniadto, adunay tulo nga mga higala: Gables ang dollhouse, Millie ang ruler, ug si Nubs ang lapis. Malipayon silang nagpuyo dungan sa kwarto sa gamay nga babaye. Usa ka adlaw, ninglibot si Millie ug giingna si Nubs, "Namatikdan ba nimo nga naa koy lainlaing mga marka sa pikas nga kilid?" "Oh! Makaikag lage!" niingon si Nubs. Unya ang lapis miduko aron tan-awon ang kaugalingon. "Sa akong hunahuna murag mas mubo ako karon kaysa kagahapon. Unsa sa imong hunahuna?" "Gables," gitawag nila ang dollhouse. "Unsay tan-aw nimo?" Nakapanghupaw ra ug nitan-aw si Gables. Mahimo niya ang daghang mga butang nga dili mahimo ni Millie ug Nubs. Apan dili siya makaliko ug makayuko sama sa mahimo nila, mao nga wala niya hibal-an kung unsa iyang hitsura. Gihimo nila Millie ug Nubs ang tanan para palipayon si Gables. Gilimpyohan nila si Gab. Gikuskos pud ni Millie ang iyang gitara samtang gakanta si Nubs. Pero wala kini epekto kay Gables. Istoryahan kini ni Millie ug Nubs. "Naguol kaayo si Gables," niingon si Millie. "Ngano kaha..." "Sa akong hunahuna naguol siya tungod kay wala siya mahibalo kung unsa ang iyang hitsura," maalamon nga giingon ni Nubs. "Aha!" ingon ni Millie. "Ato-a ni masulbad!" Si Millie ug Nubs ning-adto ka Gables ug kung unsa siya hitsura. Gisultihan siya ni Nubs nga ang iyang atop adunay usa ka hugis nga trianggulo, nagpasabut nga kini adunay tulo nga mga kilid. Gihubit ni Millie ang lainlaing gidak-on nga mga rektanggulo nga iyang mga pader. Apan dili gihapon makita ni Gables iyang hitsura maong niguol gihapon siya. Nakahunahuna ug lain ang duwa ka mag-amigo. Nibalik sila kay Gables nga may dalang samin. "Tan-awa Gables" ingon sa duwa. "Makita na ba nimo imong Kaugalingon?" Pero gamay kaayo ang samin ug nagbudlay gihapon maglantaw si Gables. Nakahunahuna ug lain si Millie na pwedeng himoon. "Aha!" iyang sulti. "Pwede nato siya ma-drowing!" "Tsakto!" tubag ni Nubs. "Pero naay ko'y problema magsuwat ug linya." "Tabangan tika. Dali ra na." tubag ni Millie. Nagbutang ug usa ka papel si Millie, ug si Nubs nagdrowing usa ka tul-id nga linya sa iyang kilid. Unya nagtinabangay sila sa pag-drowing duha pa, hangtod nga nakagbuhat sila og usa ka trianggulo. Kini sama jud sa atop ni Gables! "Maayo!" Niingon si Millie. "Karon maghimo 'ta og mga rektanggulo alang sa pader sa atubangan. Unya magdrowing kita ug gamay nga rektanggulo alang sa purtahan og usa ka gamay nga kuwardro alang sa bintana." "Nindut!" ingun ni Nubs. "Murag si Gables!" "Tsakto," tubag ni Millie, "pero naay kulang" "Kabalo ko" ingun ni Nubs ug iyaha nang gidrowingan ug bilog ang taas sa balay. "Mao kana!" ingun ni Millie. "Ang adlaw mao ang nawala!" Niadto si Nubs ug Millie kay Gables nga malipayon samtang gigunitan ang ilang gi-drowing. "Tanawa Gables!" ilang ingun. "Tanawa kining balay, may trayanggulo nga atop, rektanggulo nga purtahan ug gagmay na bintana. Ikaw ni!" Ningisi si Gables sa kalipayan. "Ako na?" iyang pangutana. "Mao na akong kaugalingon?" "Oo. Ikaw ni!" ingun si Millie. "Gidungagan pud namo ug adlaw!" dungag ni Nub. Si Gables nga dollhouse nagpasalamat kaayo sa litrato, ug silang tanan nagpuyo nga malipayon. Unsa nga mga butang sa palibut nimo ang mahimo nimo nga madrowing gamit ang mga porma sama sa mga triangles, mga rektanggulo, ug mga lingin?
cebuano|3|Usa ka adlaw, si Botom ug ang iyahang inahan kay nagtanom sa ilahang bukid.Ug kalit nga may nakit-an sila nga bata nga elepante na nagdagan padulonng sa ilaha! Nidagan ang elepante padulong sa ilahang balay ug nagsugod ug koan. Gibira ni Botom ang ikog sa elepante ug gibira ug kusog. Nisinggit siya "Gawas dira! Balik didto sa imong balay! Pero gidagan si Botom sa iyang mga ginikanan sa ilahang balay ug gipahunong siya. "Ang luoy nga elepante!" ingon sa mama ni Bosom. Gigutom siya ug natalang." Ug ni uyon pud ang iyahang amahan ug niingon "Dapat natong makighigala ani nga elepante ug tawagon nato siyang Sakor Nasuya si Botom sa atensyon ug mga managmi nga pagkaon nga ginahatag sa iyang ginikanan kay Sakor. Bisan ug asa muadto si Botom ginasundan siya ni Sakor, usa sya ka peste! Nakahuna-huna si Botom ug makauli pa ba ang elepante sa lasang. Nahuna-hunaan ni Botom ug siyay magstrinikto kang Sakor basi daay mo lakaw sa ilang balay. Nagbutang siya ug paminta sa iyang lawas aron mo atchi ug gi sunlog ug lamigas aron mahadlok. Usa ka adlaw, naganahan si Botom na magbalon ug bayabas sa eskwelahan, pero lisod para niya nga maabot! Ang bata nga elepante ang nagkuha para sa iya ug gigamit niya iyang simod sa pagkuha. Nakalitan si Botom ug naka sultig Salamat kaayo , kaso maulahit nakos skuylahan". Na ni siyagit ang iyahang mama ug " Abig mo sakay nalang ka ni Sakor pa adto sa skuylahan? Tungod sa tabang ni Sakor, nakaabot si Botom sa insaktong oras sa eskwelahan. Sukad ato, kada adlaw nang muadto sa eskwelahan si Sakor. Ug malipay usab si Botom ang iyahang mga higal na makigdula sa iyaha. Birahanay ug pisi... Luksong lubid Pagpapadulas... Piko... Ni apil sad si Sakor sa klase! Usa ka adlaw , nangutana ang maestra ni Botom , " Unsa ang gusto ninyu pagdako ninyu? " Ni tubag si Botom Gusto nako mahimong taga alaga sa gubat aron matabangan nako ang mga elepante parehas ni Sakor ug mabantayan ang atoang mga yuta." Niya ning kalit ug kusog ang saba sa gawas." Whoom! Whoom! " Nigawas ang tanan aron makabalo sa nahitabo. Nakit an na sa iyang mama si Sakor! Oras na para mubalik si Sakor sa kalasangan. Gaguol na nananghid si Botom sa iya pero kabalo siya nga mahimong malipayon ang iyahang higala sa pagbalik niya sa iyahang balay ug sa iyang pamilya. Gaguol sad si Sakor sa iyahang paglakaw, ilabi na nga si Botom kay buotan na sad sa iyaha. Pero gitambagan siya sa iyahang inahan na pwede na siyang mubalik ug mubisita tungod nakabalo na si Botom na makipaghigala sa mga elepante.
