language|level|title|char_start|char_end|words|position|category|removed_text
cebuano|1|Akong Higala|0|97|15|leading|credit|Akong Higala Gisulat ni: Joan P. Sanchez Gidibuho ni: Justin M. Pono Cebuano Personal Development
cebuano|1|Akong Higala|571|580|1|trailing|end_marker|KATAPUSAN
cebuano|1|Alibangbang ug Kalaw|0|22|3|leading|names_or_title|Butterfly and Hornbill
cebuano|1|Amigo Kong Piso|0|90|15|leading|credit|Amigo Kong Piso Sinulat ni: Charie R. Barangan Gidibuho ni: Jasper Momo Cebuano Story Book
cebuano|1|Amigo Kong Piso|305|314|1|trailing|end_marker|KATAPUSAN
cebuano|1|An Akon Pamilya|0|79|11|leading|credit|An Akon Pamilya Ginsurat ug Gindrowing san: Calbayog City Division Participants
cebuano|1|An Akon Pamilya|414|423|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang  Paypay ni Pipay|0|71|13|leading|credit|Ang Paypay ni Pipay Gisulat ni: Joan P. Sanchez Primer Cebuano Si Pipay
cebuano|1|Ang  Paypay ni Pipay|160|169|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Adlaw|0|47|8|leading|credit|Ang Adlaw Gisuwat ni: Rosalie D. Racaza Cebuano
cebuano|1|Ang Adlaw|530|539|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Akong Alkansiya|0|60|10|leading|credit|Ang Akong Alkansiya Gisulat ni: Joan P. Sanchez Math Cebuano
cebuano|1|Ang Akong Alkansiya|161|170|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Akong Dulaan|0|68|11|leading|credit|Ang Akong Dulaan Sinulat ni: Elizabeth E. Ugdamin Cebuano Story Book
cebuano|1|Ang Akong Dulaan|315|324|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Akong Higala|0|100|15|leading|credit|Ang Akong Higala Gisulat ni Jasmin D Rosadiño, SIR Elementary School, Davao Cebuano Community Living
cebuano|1|Ang Akong Suod Nga Amigo|0|81|14|leading|credit|Ang Akong Suod Nga Amigo Sinulat ni: Brezzy Mae A. Navarro Animal Stories Cebuano
cebuano|1|Ang Akong Suod Nga Amigo|453|462|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Among Pamilya|0|68|10|leading|credit|Ang Among Pamilya Sinulat ni: Milagros Meca Community Living Cebuano
cebuano|1|Ang Among Pamilya|719|728|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Anak ug Amahan|0|109|18|leading|credit|Ang Anak ug Amahan Sinulat ni: Brezzy Mae A. Navarro Gidibuho ni: Justin M. Pono Cebuano Personal Development
cebuano|1|Ang Anak ug Amahan|485|494|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Baka|0|77|14|leading|credit|Ang Baka Gisulat ni: Ma. Pamela N. Cenita Gidibuho ni: Czar Petrus J. Cempron
cebuano|1|Ang Baki|0|162|27|leading|credit|Ang Baki Sinulat nila ni: Dina G. Laurente Vivian C. Porio Glory Muriel R. Gurrea Gidibuho ni: Estela J. Sartiga SPED Teacher Lipata Central School Minglanilla II
cebuano|1|Ang Baki|621|630|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Bangaw|0|87|14|leading|credit|Ang Bangaw Sinulat ni: Juliet P. Bendanillo Gidibuho ni: Jasper Momo Cebuano Story Book
cebuano|1|Ang Bangaw|300|309|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Bao|0|71|12|leading|credit|Ang Bao Sinulat ni: Elizabeth E. Ugdamin Cebuano Animal Stories Ang Bao
cebuano|1|Ang Bao|180|189|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Bato|0|67|11|leading|credit|Ang Bato Gisuwat ni: Rosalie D. Racaza Cebuano Environment Ang Bato
cebuano|1|Ang Bato|187|196|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Birthday ni Jennilyn|0|50|7|leading|genre_tag|Ang Birthday ni Jennilyn Cebuano Traditional Story
cebuano|1|Ang Birthday ni Jennilyn|351|360|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Bitoon|0|70|12|leading|credit|Ang Bitoon Sinulat ni: Willie M. Adonay, Jr. Gidibuho ni: Eric Nacario
cebuano|1|Ang Bitoon|368|377|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Bola ni Mila|0|42|7|leading|genre_tag|Ang Bola ni Mila Cebuano Traditional Story
cebuano|1|Ang Bola ni Mila|253|262|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Buhok|0|56|9|leading|credit|Ang Buhok Cebuano Gisulat ni: Juna J. Presbitero Science
cebuano|1|Ang Buhok|172|181|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Bulak nga Santan|0|95|17|leading|credit|Ang Bulak nga Santan Gisulat ni: Joan P. Sanchez Gidibuho ni: Justin M. Pono Cebuano Story Book
cebuano|1|Ang Bulak nga Santan|211|220|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Celfon ni Niña|0|65|12|leading|credit|Ang Celfon ni Niña Gisuwat ni: Richel T. Razon Cebuano Story Book
cebuano|1|Ang Celfon ni Niña|315|324|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Dagat|0|58|9|leading|credit|Ang Dagat Gisulat ni: Elvira Buot Cebuano Community Living
cebuano|1|Ang Dagat|183|192|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Dala ni Almaug Mama|0|72|13|leading|credit|Ang Dala ni Alma ug Mama Gisuwat ni: Jovenia Cabiana Cebuano Non Fiction
cebuano|1|Ang Dala ni Almaug Mama|161|170|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Dalunggan|0|72|10|leading|credit|Ang Dalunggan Gisulat ni: Cecilia Y. Wahing Cebuano Personal Development
cebuano|1|Ang Dalunggan|527|536|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang French Fries|0|90|15|leading|credit|Ang French Fries Gisuwat ni: Richel T. Razon Gidibuho ni: Kent Aryll Cañete Health Cebuano
cebuano|1|Ang French Fries|350|359|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Gasa ni Mama|0|90|16|leading|credit|Ang Gasa ni Mama Gisulat ni: Richel T. Razon Gidibuho ni: Kent Aryll Cañete Cebuano Health
cebuano|1|Ang Gasa ni Mama|224|233|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Gasa|0|64|10|leading|credit|Ang Gasa Gisulat ni: Juna J. Presbitero Cebuano Community Living
cebuano|1|Ang Gasa|155|164|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Gatas sa Lata|0|62|11|leading|credit|Ang Gatas sa Lata Sinuwat ni: Milagros Meca Story Book Cebuano
cebuano|1|Ang Gatas sa Lata|157|166|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Hardin Ni Balaraw|0|10|2|leading|REVIEW_narrative|Si Balaraw
cebuano|1|Ang Hardin Ni Balaraw|1362|1371|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Hardin Ni Hannah|0|151|28|leading|credit|ANG HARDIN NI HANNAH GISULAT NILA: IRIS A. SULAT RUELA R. LIMOS MA. LEOMAR B. CHAVEZ GIHULAGWAY NILA: IRIS A. SULAT RUELA R. LIMOS MA. LEOMAR B. CHAVEZ
cebuano|1|Ang Hardin Ni Hannah|668|677|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Hardin Ni Susan|9|16|1|interior|credit|Sinulat
cebuano|1|Ang Hardin Ni Susan|20|202|26|interior|credit|Gidibuho ni: Edeliza B. Alindao Tigmantala: Cordova District Catarman Elementary School Pinulongan: Cebuano Si Susan Sinulat ug Gidibuho ni: Edeliza B. Alindao Petsa sa pagsulat: May
cebuano|1|Ang Hardin Ni Susan|624|633|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Hiniktan ni Islaw|0|47|7|leading|genre_tag|Ang Hiniktan ni Islaw Cebuano Traditional Story
cebuano|1|Ang Hiniktan ni Islaw|403|412|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Iring ni Ling|0|73|13|leading|credit|Ang Iring ni Ling Sinulat ni: Herbert V. Dela Cruz Animal Stories Cebuano
cebuano|1|Ang Iring ni Ling|198|207|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Iring ni Luming|0|67|11|leading|credit|Ang Iring ni Luming Gisuwat ni: Nenita Lopez Cebuano Animal Stories
cebuano|1|Ang Iring ni Luming|365|374|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Iro ni Pedro|0|73|13|leading|credit|Ang Iro ni Pedro Sinulat ni: Brezzy Mae A. Navarro Animal Stories Cebuano
cebuano|1|Ang Iro ni Pedro|495|504|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Itoy ni Ikoy|0|42|7|leading|genre_tag|Ang Itoy ni Ikoy Cebuano Traditional Story
cebuano|1|Ang Itoy ni Ikoy|298|307|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kabaw nga si Kulas|0|78|14|leading|credit|Ang Kabaw nga si Kulas Sinulat ni: Herbert V. Dela Cruz Cebuano Animal Stories
cebuano|1|Ang Kabaw nga si Kulas|208|217|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kabaw ni lolo|0|71|12|leading|credit|Ang Kabaw ni lolo Gisulat ni: Juna J. Presbitero Cebuano Animal Stories
cebuano|1|Ang Kabaw ni lolo|176|185|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kaka ni Katkat|0|86|15|leading|credit|Ang Kaka ni Katkat Sinulat ni: Herbert V. Dela Cruz Cebuano Animal Stories Kaka Katkat
cebuano|1|Ang Kaka ni Katkat|124|133|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kaka ni Tata|0|90|17|leading|credit|Ang Kaka ni Tata Sinulat ni: Ivy Shanti I. Tangal Animal Stories Cebuano Si Tata. Ang Kaka
cebuano|1|Ang Kaka ni Tata|128|137|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kaka|0|100|17|leading|credit|Ang Kaka Sinulat ni: Cecile S. Boyonas Gidibuho ni: Elizar C. Gacang Cebuano Animal Stories Ang Kaka
cebuano|1|Ang Kaka|188|197|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kalikupan|0|63|9|leading|credit|Ang Kalikupan Gisuwat ni: Rosalie D. Racaza Cebuano Environment
cebuano|1|Ang Kalikupan|326|335|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kalo ni Karlo|0|103|18|leading|credit|Ang Kalo ni Karlo Gisuwat ni: Juliet P. Bendanillo Gidibuho ni: Jasper Momo Cebuano Story Book Si Karlo
cebuano|1|Ang Kalo ni Karlo|233|242|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kama ni Mama ug Makmak|0|74|14|leading|credit|Ang Kama ni Mama ug Makmak Sinulat ni: Ivy Shanti R. Tangal Cebuano Primer
cebuano|1|Ang Kama ni Mama ug Makmak|132|141|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang kama|0|58|10|leading|credit|Ang kama Sinulat ni: Ma. Imee B. Tampus Cebuano Dictionary
cebuano|1|Ang kama|147|156|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kamot ni Momay|0|72|13|leading|credit|Ang Kamot ni Momay Sinulat ni: Brezzy Mae A. Navarro Non Fiction Cebuano
cebuano|1|Ang Kamot ni Momay|184|193|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kanding ni Karding|0|73|12|leading|credit|Ang Kanding ni Karding Gisulat ni: Joan P. Sanchez Cebuano Animal Stories
cebuano|1|Ang Kanding ni Karding|228|237|1|trailing|end_marker|KATAPUSAN
cebuano|1|Ang Kanding Ni Pedro|0|161|26|leading|credit|Ang Kanding ni Pedro GISULAT NILA: MARIA TERESA C. LIM KLAIRE M. MENGUEZ MARY JEAN R. CONIENDO GIHULAGWAY NI: JEROME FABURADA GIHUBAD NI: ANJEANETTE A. CALUMPITA
cebuano|1|Ang Kanding Ni Pedro|822|831|1|trailing|end_marker|KATAPUSAN
