language|level|flag|title|text
cebuano|1|residual_prefix|Alibangbang ug Kalaw|Mas gamay ang alibangbang kesa sa bakukang. Ang bakukang mas gamay kaysa lagsing. Ang lagsing mas gamay kaysa periko. Ang periko mas gamay kaysa bukaw. Ang kalaw ang pinakadako sa tanan. Pinakagamay ang alibangbang. Makalupad silang tanan.
cebuano|1|residual_prefix|An Akon Pamilya|Ini an akon Tatay. Siya nagtatanom san humay. Ini akon Nanay. Siya naglalaba san amon mga dugnit. In an akon Mano. Siya naghihimo "plot" para tanuman san mga utanon. Ini an akon Mana. Siya nabulig kan Nanay sa pagluto. Ako ini si Puto. Diri pa ak maaram magtrabaho. Ini an akon pamilya. Malipayon kami ngatanan kay kami nagkakaurusa.
cebuano|1|residual_prefix|Ang Akong Higala|Ang akong higala nga buotan ug masinabtanon. Pagkanta ang iyang gikahiligan. Hilig pud siya ug iring. Maminaw ug mutuo siya sa mga mando sa iyang nanay. Malipayon siya kauban ang uban niyang higala. Katapusan
cebuano|1|residual_prefix|Ang Bao|Nitago luyo sa bato. Bisan asa siya moadto. Balay niya gilukdo. Siya nagpuyo sa sapa. Ampay niya ang baha.
cebuano|1|residual_prefix|Ang Bato|Kini dako kaayo. Kini gahi kaayo. Makita kini bisan asa. Magamit bisan unsa. Kini ampingan ta. Tagaan ug importansya.
cebuano|1|residual_prefix|Ang Bitoon|Usa ka bitoon, nakakita ako ug usa ka bitoon. Dako ang bitoon nga nakita ko. Lahi ang nakita ko nga bitoon. Puti ang bitoon nga akong nakita. Dili mokidlap ang bitoon nga akong nakita. Nakita nako ang bitoon panahon sa kaudtohon. Diay ang mao nga bitoon, usa ka lungag sa among atop nga busloton!
cebuano|1|title_repeat|Ang Dala ni Almaug Mama|Si Alma. Si Mama. Sila Alma ug Mama. Nagdala ug apa. Para sa Papa nila. Malipayon sila.
cebuano|1|residual_prefix|Ang Hardin Ni Balaraw|Angay nga Mahibaloan Makahibalo nga ang mga lumulupyo sa usa ka dapit adunay mga katungdanan. Maikinabuhi ang pagkabililhon sa pagmahal sa kaugalingong nasod o dapit. Maila ug mahatagan ug bili ang nahimo sa mga lider sa matag dapit. Sa mga tribu sa munisipyo sa Hinatuan, Bislig, Tagbina, Barobo ug Lingig sa Probinsya sa Surigao del Sur hangtod sa Probinsya sa Agusan del Sur, may giila nga usa ka lider. Siya si Fernando Nazareno nga mas nailhan sa tawag nga Balaraw. Kugihan ug determinadong magtrabaho si Balaraw. Sa iyang pakigbisog, iyang nahiusa ang mga magkaaway nga mga tribu ug mao nga namugna ang mga barangay ug mga munisipyo sa maong dapit. Gibantug siya nga adunay kahibulungang gahum sa mahika. Ang mga hayop nga galibot sa iyang balay malipayon ug maabtikong magtapok kung makabati na sa tingog sa iyang tambol. Si Balaraw hanas usab sa eskrima. Usa kini ka pamaagi sa pagdepensa sa iyang kaugalingon batok sa mga bandido ginamit ang mga kamot ug duha ka kahoy. Si Balaraw nahimong kabahin sa pagmugna sa lungsod sa Hinatuan ug sa pagpalambo niini. Iyang gitukod ang munisipyo ug ang simbahan nga nagbarog pa hangtod karon ug puno kini sa katahum ug kalig-on. Nagtukod usab siya ug mga tindahan sa mga Lungsod sa Barobo, Malixi, Marikangkang, Rosario ug Bahi. Sa iyang mga binuhatan, angayan gayod handumon ug pasalamatan si Balaraw.
cebuano|1|title_repeat|Ang Hardin Ni Susan|Si Susan ug Siya si Susan, usa ka gamay nga batang babaye. Maanyag ug kulot ang iyang buhok. Gusto kaayo siya nga mokaon og mga utanon ug prutas. Mao nga siya usa ka himsog ug abtik siya nga pagkabata. Si Susan gusto usab nga makighigala sa uban nga mga bata. Mao nga daghan siya ug mga higala. Kada adlaw kuyog niya ang iyang mga higala sa pagdula. Mao nga malipayon siya nga pagkabata. Pinangga usab siya sa iyang mga ginikanan.
cebuano|1|residual_prefix|Ang Kaka ni Katkat|Ang kaka. Ni Katkat. Kaka ni Katkat.
cebuano|1|residual_prefix|Ang Kaka ni Tata|Ang Kaka ni Tata. Ang mata sa kaka.
cebuano|1|residual_prefix|Ang Kaka|Ang kaka ni Tata. Naa sa saya. Sa sako na saya. Sa saya ni Maya. Mao ni si Koko Kaka.
cebuano|1|residual_prefix|Ang Kalo ni Karlo|Adunay kalo si Karlo. Pula ang kalo ni karlo. Hinatag kini ni Lolo Pilo. Gamit kanunay ni Karlo sa plasa. Sa merkado. Sa dalan.
cebuano|1|residual_prefix|Ang Lima ka Managsuon|Nawong, nagpuyo ang lima ka managsuon. Sila si Mata, Ilong, Baba, Agtang ug si Dalunggan. Malipayon ang lima ka managsuon. Nagtinabangay sila sa ilang mga buluhaton. "Dili na tin-aw ang akong panan-aw," matud ni Mata, usa niana ka adlaw. "Unsa man ang atong buhaton?" nangutana si Agtang. "Kinahanglan ko nga mogamit ug antipara," ang tubag ni Mata. Gibutangan ug antipara si Mata. Ang antipara gitungtong kang Ilong ug gisab-it kang Dalunggan. Nibalik ang katin-aw sa panan-aw ni Mata. Nasuko si Baba ug si Agtang. Gumikan sa antipara, nawala ang ilang postura. Gitangtang nila ang antipara ni Mata. Nihanap ug balik ang panan-aw ni Mata. Sa ilang paglakaw, nabangga sila sa punoan sa manga. Nibukol si Agtang ug nabungi si Baba. Nagmahay sila sa ilang pagtangtang sa antipara ni Mata.
cebuano|1|residual_prefix|Ang Mama ni Tata|Mama ni Tata. Ang mama. Ang Tata sa Mama. Mama, Mama.
