language|level|text
karay-a|3|Isa ka aga sa indi pa madugay, pakadto si Raju sa eskwelahan. Palangga nya iya eskwelahan kag naga lakat sya nga malipayon kag naga isahanon, nagapanumdom sang maayo nga adlaw.Natabo na nga may nakita sya sang indi nya ma isplikar: sa unahan sa iya may mga nakita sya nga lain nga mga hurma, pakadto sila sa eskwelahan, may ara man sila nga nag sa ila nga abaga. Sa ana pagparapit sa mga korti, Si Raju nagtingala if dya bala mga laswa, nga makita na sa mercado. Ginkusu na ana mga mata kag di makapati. Preska kag manami turukun ang mga laswa. Sanda dya nagamartsa paadtu sa eskwelahan patas ka ginagmay nga suldado nga sinundanay. Dayon si Raju nagpanaw kang madasig dasig. Napuno siya kang kagustuhan nga makilala ang ana nga bag-o nga mga kapareho nga estudyante, kag luyag na nga makita tanda sa marapitan Kag sa kabuhayon, naabutan ni Raju ang mga nasari-sari nga korti nga nagamartsa sa unahan na. Ginturuk na dya kamayad ang anda nga mga hitsura nga naganganga sa kakibot. Patas kang paghula na kang mga korti kang mga laswa pareho kang patatas, kamote, balinghoy kag iba pa nga mga nagapanulud nga laswa nga makita sa tindahan. "Ano? Ikaw gid man bala ra? Ang mga pamangkutanun nga nagaguwa sa ana nga mga bibig antes na tanda matalupangdan . Ang mga laswa wara kasabat. Nagturukay lang tanda kag nagyuhum, nga nagatingala sa ana pagduhung. "Sa diin kamu maagto?" ang pamangkot ni Raju nga nagatingala. "Sa diin pa bay?"sabat kang mga laswa, nga nagadururungan. "Paadto kami sa imu nga eskwelahan!" Nagailung-ilung si Raju. Wara na naman-an kung anu ang ana isabat. Padayon tana sa anang pagpanaw paeskwelahan. Burubuhay, nagbalikid si Raju agud makita na kung ang mga laswa nagasunod pa kanana.Sa ikarwa ka beses, nakibot naman tana kang aga nga ria Nag-intra ang mga berde nga dahon sa parada kang mga laswa nga nagapanulud. Nagamartsa man tanda paadto sa eskwelahan nga may bag sa anda nga mga abaga. Sa kadya nga naging parti run tana kang parada, ang kalipay ni Raju wara ti katapusan. Halin kang una, wara na naman-an nga mangin parti tana sa parada kang mga laswa paagto sa eskwelahan. Kar-un burubuhay, ang parada nakalab-ot sa eskwelahan. Ang tanan nga mga bata nag adto sa gawang para maglantaw kang tumalagsahon nga pagsurundanay. Ang anda nga baba nagnanga sa anda nga nakita. Nagbudlo ang anda nga mga mata nga nagatingala. Nagparapit ng maestra ni Raju kag sanda gin-abiabi. "Mayad nga bata" hambal na habang ginatapik ang likod ni Raju. Nasadyahan gid si Raju. "Salamat ma'am," malipayun na nga hambal Ang iba nga kabataan nagpamalakpak kag naghinugyaw. Naghalin ang maestra pero may isara nga nagpadayon nga nagtapik kanana nga medyo mabaskog. Ginmukrat ni Raju ang ana nga mga mata. Ginpukaw tana kang ana nga nanay samtang gina-uyug kag nagahambal, "Bugtaw run, Raju! Maurihi kaw kar-un sa pag- agto sa eskwelahan." Nagbugtaw run gid man si Raju . "Nagadamgu ako" hambal na sa ana nga kaugalingon. "Katiringala man tana nga damgu akun to man!" Nagbangon si Raju sa baratangan kag nagyuhum sa ana nga kaugalingun. Kinahanglan na magdasig kung gustu na makalab-ot sa sakto nga oras paeskwelahan. .
karay-a|3|Kang una, tama gid ka tamad ang adlaw. Naga butlak lang tana kun gusto na. Naga tukturuok run ang sulog, pero wara gihapon nagabutlak ang adlaw. Indi tana magbutlak ang adlaw. Kundi nga ang bituon kag ang bulan naga bira-bira gid ka obra nga wara ti pahuway. Ginagtunan nanda ang adlaw para hurayun ang oras pero wara tana gasapak ang adlaw. Nangayo kang bulig ang bulan kag ang bituon sa langit. Ginhuray kang langit ang adlaw kag ang gabii kananda. Kun indi magpati ang adlaw, indi run tana pagsugtan maagto sa langit. Ang sulog naga panukturuok kun magbutlak ang adlaw sa kasanagun kag magsalup sa sirum. Ang bulan kag ang mga bituon naga siga kun gabii. Halin kato, matutum run gid ang adlaw nga nagaobra kag naga siga kun adlawun. Ang adlaw, ang bulan, kag ang mga bituon masinadyahun nga nagabutlak sa insakto nga oras.
karay-a|3|Isara ka adlaw, naguwa si Kuneho para magpanaw-panaw. Sa aragyan nakakita tana kang isara ka amu. "Ano ikaw?" pamangkut kang amu. "Ako isara ka kuneho," ana nga sabat. Nagkadlaw ang amu sa sabat kang kuneho. "Daw bukun man ikaw kuneho lantawon. Pamatyag ko ikaw sangka amu man pareho kanakon tungud pareho kita nga kolor kaki." Naglibug ang ulo ni Kuneho. Dayun nakakita tana kang bising. "Masaka kita sa puno kag magsipal," hambal kang bising. "Ang mga kuneho wara nagasaka sa mga puno," sabat ni Kuneho. "Pero kaki ikaw pareho kang bising," kadlaw kang bising. Nagpadayun sa pagpanaw si Kuneho. Dayun nasug-alaw ni Kuneho ang balabaw. Pareho kang iba, wara man nagpati ang balabaw nga si Kuneho isara gid man ka kuneho. "Pero ang akon mga talinga kag kahig ana kang kuneho," hambal ni Kuneho. "Kaki ang imo kolor," hambal kang balabaw. "Isara ikaw ka balabaw. Hindi ikaw magbutig kanakon". Gintago ni Kuneho ang ana uyahon para hindi makita kang balabaw ng anang mga luha. Ayhan husto ang balabaw. Ayhan hindi run gid man tana isara ka kuneho. Marapit sa punta kang aragyan, nakita ni Kuneho ang mal-am nga karatongan. Ang karatongan tama run ka mal-am nga kinahanglan na maggamit kang tungkod para makapanaw. Ginparapitan ni Kuneho ang karatongan. "Tiyo ko nga Karatongan, tama run kanimo ka kuri pareho ka bao." "Huod, Kuneho,"hambal kang karatongan, "Mal-am run ako kag makuri." "Gintawag mo ako nga Kuneho! Paano mo naman-an nga ako isara ka kuneho?" pamangkot ni Kuneho. "Bisan pa nga makuri ako, ako isara man gihapon ka karatongan," hambal kang karatongan. "Kag bisan ikaw kolor kaki, ikaw isara man gihapon ka kuneho." Nanguyakoy si Kuneho sa nabatyagan nga kalipay. Ginpusdak-pusdak na ang anang kahig sa lupa. Isara tana ka kuneho. Man-an na gid ria halin kauna.
karay-a|3|Kang naglinung ang kalibutan, nagduro ang akun mga amigo kag amiga. May usa nga maluming, tam-an ka bahul ang ana nga sungay, daw puno kang bugnay. May singgarong nga hulagan, ginasuhot ang kakahuyan. Ginakaun na ang kape nga tanum ni Ingkong. May mahagup nga rumbarumba. Sa ana nga likod, ako naghapa. Ginasuhot namun balud nga nagabaruron. Namasyar kami dayon sa naglugdang nga galyon. May ayam nga nagalagaw sa dalan. Kambang ang bulbol kag nagasipal sa idalum kang uran. May taka sa puno kang mangga. Nagakamang sa mga bunga. Nagadukut sa mga sanga. Nagapanago nga daw ninja. May iput-iput nga nagaigpat-igpat. Daw poste kang sulo sa panganod, nagakurapkurap, nagasuyup kang tun-og imaw ka mga sapatsapat. Pero may sangka amigo ako nga masinulub-un kag nagaisarahanun. Tana si Kabug. "Wanhaw nagahibi ikaw, Kabug?" pamangkot ko. "Ginalikawan kag ginakangil-adan nanda ako." Paano ko bala pasadyahun si Kabug? Ah, man-an ko run! Sa tanan ko nga mga amigo kag amiga, si Kabug ang buut-buut. Wara tana nagapanakit. Sa hawla indi lang tana pag-ipirit. Lain man sa atun panurukan, bugay gihapon sanda kang Diyos sa katawhan. Gusto lang nanda mangin amigo kag amiga kang tanan. Kag kun ako may pangayuon man, amo nga sangka lugar sanda itaw-an sa kalibutan nga atun ginaulian.
karay-a|3|Si iki nga kanding handa run para mag-iskwela. Matahum kag ga siling-siling ang anang samra. Ginlanahan kag ginhusay ang anang buhok. Pag-abot na sa iskwelahan, ginkaptan na ka hugut ang alima ni Papa Goat. "Tama ka bahul ang iskwelahan! Basi madura ako," hani-hani na kay Papa Goat. "Hindi magkabalaka," hambal ni Papa Goat. "Duro ang parihas mo mga kanding ridiya. Mawili gid ikaw! Pero gakabalaka sa gihapon si iki nga kanding sa mga daragkul nga kanding nga may sungay nga gatiririko. Daw ginatamad tana samtang gapasulod sa klasi. Ginhambalan sanda kang andang maistra nga magtindug kag magkanta ka Kanta kang Kanding. "Maa Maa Maangga. Kaa Kaa Kawayaann. Kaa Kaaa Kaapaayaas. ( Nee Nee Neeembbooo") Nagustuhan gid ni iki nga kanding ang kanta. Pero hindi na matandaan ang mga harambalun, amo ra nga nagbuhat-buhat nalang tana ka ana. "Maa Maa Mammaaa. Kaa Kaa Kakkaa. Paa Paa Pappaaa. Nee Nee Neat and Cleaann" Tunog kag klaro ang pagkanta ni iki nga kanding. Padayun tana ka kanta biskan nag-untat run ang iba. "Hindi hindi! Hindi kaw dapat magbuhat-buhat ka imong harambalun! Untat run sa pagkanta! Ginkaraan tana ka andang maistra. Ginpaadto tana sa gilid. "Ha! Ha! Ha!" Ginkadlawan tana ka iba nga kanding. Pagburubuhay, tyimpo run para sa sipal. "Lumpat!" hambal kananda ni Ma'am Hoppy, ang maistra nanda sa andang P.T. Nakatalupangud tana si iki nga kanding ka gasundanay nga mga tigasaw. "Hindi magkamang!" pamusa nga hambal ni Ma'am Hoppy. "Ha! Ha! Ha!" Ginkadlawan pagid tana kang iba nga kanding. Nakabatyag ka kasubu ang iki nga kanding. Kang tag-irigma, wara gid it may nagtambi ukon nag-isturya kana. Huhh Huhh! Nagturo ang anang mga luha sa anang igma nga priska kag bag-ong gunting nga hilamon, kag naglasa nga pait. Kang gabii, gin-isturya na kay Mama Goat tanan parti sa Kanta kang Kang kag ang tyempo para sa sipal. Ginpahagan-hagad tana ni Mama Goat. "Matahum ang ginbuhat mo nga kanta! Nagkamang ikaw ka malinung! Ginkupkupan na kag gintugru-an ang iki nga kanding ka dugang nga haruk, bag-o maturog. Pagsunod nga aga, si iki nga kanding may pag-uligmat run sa pagkanta ka insakto. Kang tyempo kang sipal, nadumduman na nga dapat malumpat kag hindi magkamang. Tapos, sa anda tiun nga sining."Sundaha ang tadlung nga linya kag ga balud-balud nga linya!" hambal ni Ma'am Dotty sa andang klase. Si iki nga kanding namulaudan ang alibangbang nga may itum kag pula nga linya kag pintok-pintok sa anang pakpak. Kang adlaw ngato kang tag-irigma, si iki nga kanding nagpungko nga nagasarahanun liwat kag ginkaun ang anang pipino. Sa hinali, may gamay nga tingug nga naghambal. "Pwedi mo ako matudluan pano mag ralagway ka baruto?" Si maribunul nga idik gali halin sa klasi ka baboy. Mas iki tana kaysa kay iki nga kanding. "Hindi ako kamaan maglaragway ka baruto," hambal ni iki nga kanding. "Halaa, pero hambal ka iba naglaragway ikaw ka baruto sa klase nyo kaina?" dalum mga paginhawa ni maribunul. "Alibangbang tana to," hambal kana ni iki nga kanding. Nagbarahul ang mata ni maribunul kang nakita na si iki nga kanding nga gaumpisa ka laragway sa yab-ok. Kag sa padahumdahum nakalaragway dun ka alibangbang, ka baruto kag ka kahoy si iki nga kanding. Nanipon si maribunul ka mga dahon nga naghurulog kag mga bulak kag gindugang sa laragway. "Kuno abe sa hardin kita!" suhistyon ni maribunul. "May naman-an ako nga bag-o nga kanta!" Nagtingkahaw si iki nga kanding. Nagalumpat-lumpat palibot kag nagkanta ka ana ka kanding kag baboy nga kanta. Pagbuhi ka anda klasi, gin salayasay ni iki nga kanding ang parti sa anang bag-o nga abyan. "Pwedi mo ako madugangan ka garagumu nga pinanitan nga mansanas para sarum-an kay maribunul?" pakitluoy ni iki nga kanding. "Syempri!" pangaku ni Mama Goat. Kang gabii ngato, dasig ng naturugan si iki nga kanding. Sa anang damgo, namulaudan na si Maribunol kag ang tanan nga daragkul nga may gatiririko nga sungay gasaot sanda sa hardin. "Lumpat, tumbo, liktin, sipa! Tanan kita, tunuga ang 'Maaaa!" Lumpat, tumbo, liktin, sipa! Tanan kita tunuga ang 'Baaa!" Lumpat, tumbo, tikang . . .", Si iki nga kanding ang lider kang bag-ong saot. Naginhawa ka madalum kag makurunyag nga nagdamgo pa dayun.
karay-a|3|Sin Thuokna Nagaestar sa masaku nga karsada si Samlagi. Ginadayaw tana ka mga nagaararagi nga mga tawo tungud sa haron nga ana ginatugro kag tam-isan nga mga bunga. Ginapabugal gid ni Samlagi nga tana palangga kag mapuslan ka tanan. Sangka adlaw, ang mga pumuluyo nagtukod kang kamalig sa kilid ni Samlagi. Indi na pa makilala ang ana bag-o nga iningud. Ang mga tawo nagahambal, "Wow! Manami pahuwayan ang kamalig nga dya! Bahul, ligwa, kag may purungkuan pa sa sulud." Daw wara run ti nagapaharon sa idalum ni Samlagi. Ang mga nagabisita run lang kana amo ang sarawayun nga mga bata hay ginasaka kag ginapanakaw ang ana nga mga bunga. Kun sayud ang panahon, nagakarahulog ang dahon ni Samlagi. Ginapalid dya kang hangin paagto kay Kamalig. "Samlagi, indi ako paghulugi ka imo nga mga dahon! Nagarapta timo kang ramo!" pangara ni Kamalig. "Bukut akun ria sala, Kamalig. Kun gusto mo, rugto ikaw reklamo sa hangin!" sabat ni Samlagi. "Indi pagbasula ang hangin. Kun wara mo raad ginapanghulog ang mga laya mo nga dahon, wara man raad ria ginhuyup kang hangin paagto kanakun. Kaurugtas!" syagit ni Kamalig. Wara ginsapak ni Samlagi ang reklamo ni Kamalig. Pagkasunod nga gabii, nag-abot ang mabaskug nga bagyo. Nautod ang sangka sanga ni Samlagi kag nagtibsok sa atup ni Kamalig. Naghibi sa kasakit si Samlagi tungud nabari ang ana nga sanga. Pero si Kamalig tana, atup na lang ang ana ginapanumdum. "Hawidi abi ang mga parti kang puno mo," hambal ni Kamalig. Nasubuan kag nasakitan si Samlagi. Ano ayhan ang mayad nga himuon sa ana reklamador nga iningud? Samtang nagabinagbinag si Samlagi ka ana sitwasyon, isara sa ana nga mga gamot ang nagsambud sa sangka harigi ni Kamalig. Indi gid magsantuanay si Samlagi kag Kamalig. Wara run gani sanda nagabugnuhanay hasta nga... ...sangka mabaskug liwat nga bagyo ang nag-abot. Wara pa gid sanda nakaagi ka amo dya ka baskug nga bagyo. Nabatyagan ni Kamalig nga ginahakwat tana kang hangin. Nangayo tana ka tabang kay Samlagi. Wara nagduwaduwa si Samlagi. Hugut na nga ginhawidan si Kamalig. Pag-untat kang bagyo, ginyuhuman ni Kamalig si Samlagi. "Salamat gid sa imo bulig. Wara gid ako ka luwas kun wara mo ako ginbuligan. Pasensiyaha lang ako sa indi manami nga ugali nga ginpakita ko." Ginpatawad ni Samlagi si Kamalig. Nangin malipayun sanda nga mag-iningud. Maalwan nga ginsakdag kang SMART.
karay-a|3|Nagapungko si Pipi sa sofa kag nagakaun kang pamahaw samtang nagahulat sa ana nga nanay para magabot halin sa tindahan. Nakita na ang ana mga abyan nga nagasipal sa sagwa ugaring mas gusto na magtinir sa sulod kang balay. Kang nagabot ang nanay ni Pipi, ginpakita na ang bag-o nga pantalon nga ana nga ginbakal para kay Pipi. "Yehey! Akun dya suksukon sa bag-ong tuig!" masinadyahon nga hambal ni Pipi. "Gusto mo bala magintra sa karera sa bag-ong tuig?" pamangkot ka ana nga nanay. Ginpislit na ang ana nga bag-o nga pantalon. "Hindi ko, Nanay. Hindi ako interesado." Nagdalagan sa sagwa si Pipi para ipakita sa ana nga tatay ang bag-o na nga pantalon. Paadto run tana sa ana nga tatay kag - rrrriiipp! "Hala!" nagsinggit si Pipi. "Nagisi ang bag-o ko nga pantalon!" Nagdalagan pauli si Pipi sa anda nga balay. Nagsungon tana kay naguba lagi ang ana nga bag-o nga pantalon. Namangkot si Pipi kung puwedi pa matakpan ka ana nga nanay ang buslot. "Hindi," sabat kang ana nga nanay. "Saku pa ako sa preparasyon para sa selebrasyon kang bag-ong tuig." Namangkot si Pipi kung puwedi matakpan ka ana nga tatay ang buslot. "Huod," sabat kang ana nga tatay. "Ugaring kinahanglan mo anay mangita ka dagum kag hilo." Nangita si Pipi ka dagum kag hilo. Nangita tana sa sulod kang aparador, sa babaw kang aparador, kag sa sewing basket. Kapoy nga nagbalik si Pipi sa ana nga tatay. "Nakakita bala ikaw ka dagum kag hilo?" pamangkot ka ana nga tatay. "Wara, Tatay. Nakapoy run ako kag nagasakit run ang akun tuhod." Ginpaathag kang ana nga tatay nga amo dya ang ana nabatyagan tungod wara tana masyado nagahulag kag naga-exercise. Napinsaran ni Pipi si Ayam kag si Amo. Pirme sanda naga-exercise sa anda nga baryo kada aga. Pero hindi gusto ni Pipi mag-exercise per basi makabulig dya ka na. Sa sunod nga aga, nagdesisyon si Pipi nga imawan ang ana mga abyan. Hindi tana dasig magdalagan kag nabudlayan tana maglagas kay Ayam kag Amo. Tungod nga kapoy run tana, hinali lang nga tana natumba. "Aguy!" Ginbuligan tana ni Ayam kag Amo nga makatindug. Sa sunod nga adlaw, hindi run gusto ni Pipi magdalagan liwat kay sakit run ang ana nga tuhod kag bilog nga kalawasan. Pero ginpadumdom kana ka ana nga tatay nga kinahanglan na magsipal sa sagwa kag mag-exercise para hindi rn magsakit kag mangin mayad run ang ana nga lawas. Nagumpisa sipal si Pipi kaimaw ang ana mga abyan sa adlaw-adlaw. Nagadalagan sanda kag nagasipal ka football ukon bandminton. Wara nagbuhay kag ang ana nga tuhod wara run nagasakit kag makasipal run tana nga wara nagakakapoy. Nagabot ang selebrasyon kang bag-ong tuig. Mabaskug kag mayad run ang lawas ni Pipi kag tana nagdesisyon nga magintra sa karera. Nagahulat ang nanay kag tatay ni Pipi imaw nag ana nga bag-o nga pantalon. Ang dya nga pantalon maka-igo gid kay Pipi. Generously supported by SMART
karay-a|3|Halin sa eskuwelahan, haros guyudon ni Manang Amanda si Epi sa tiyendahan ni Pe Hua. "Epi, gusto-gusto ko gid ba daad ang bata-bata nga ria," tudo ni Amanda sa manyika nga nagahining-hining ang bayo, labug ang buhok kag manami ang mga mata. "Kun-on ko bala si Nanay nga baklan na ako ka ria." "Dasig, Manang Amanda. Basi magdamul run ang uran!" hambal ni Epi sa ana magurang. "Wara bay kita ti payong!" Ginbutung ni Epi si Manang Amanda kag nagdalidali sanda pauli. Pag-abot nanda sa balay, amo man ang pagbundak kang uran. Nagderetso lagi ang nagahapo-hapo nga si Manang Amanda sa ana nga nanay. "Nanay, kuon mo bay baklan mo ako ka bag-o nga bata- bata? May nakita ako nga nami-nami gid sa tiyendahan ni Pe Hua. Kag Nanay halin kato wara gid takun katiraw nga ginbaklan mo ako kang bata-bata." "Nanay, bakli man abi ako ka bag-o nga payong kag botas! Pirmi run nagauran kag pirmi man ako basa pag-uli. Mayad lang wara kami maabutan kaina kang uran. Kun natabo, siburo gid kami," pangayo man ni Epi. "Plano ko gid man kamo baklan, mga Pangga." Ginbukad kang nanay ang ana nga kahita kag gintugruan ang mga bata kang kuwarta. "Kamo lang bakal kay Pe Hua. Indi lang paghandum gid kamahal nga klase. Amligan lang ninyo para indi lagi maguba." Pagkatapos kang klase, nag-agto liwat sa tiyendahan ni Pe Hua si Manang Amanda kag Epi. Si Manang Amanda nagderetso sa burutangan ka mga guwapa nga bata-bata. Si Epi nagderetso sa mga payong kag botas. "Dya akun, Tatay Pe Hua," hambal ni Manang Amanda, dungan butang kang bata-bata kag kuwarta sa counter. "Dya akun,Tatay Pe Hua," hambal ni Epi, dungan butang kang payong, botas, kag kuwarta sa counter. Ginsuma ni Pe Hua ang baraydan kang darwa ka bata. "Kulang ang imo bayad sa bata-bata, Inday." Naghuyhuy ang paku kag naglumaw-lumaw ang mga mata ni Manang Amanda. Nagyambi ang ana nga baba. "Manang Amanda, imo lamang dya ang akun kuwarta," tanyag ni Epi. Halin pa kato puro lang papel ang bata-bata ka ana nga magurang. "Dalagan lang eh kita liwat pauli!" hambal ni Epi dara pasiplat sa nagagunum liwat nga langit. "Tuod ikaw, Epi? Salamat gid, Pangga!" ugyak ni Manang Amanda. Mabakal na run ang handum na nga bata-bata. "Hulata lang ako rugto sa gawang." "Ay,Manang Amanda, abi ko bata-bata ang imo nga baklun? Payong tana ria dara mo haw?" pamangkot ni Epi. "Mas importante nga may payong kita para indi mabasa sa uran," paathag ni Manang Amanda sa ana nga libayun, dayon humlad ka bahul nga payong. "Basi magmasakit kita kasagad suray sa uran. Bay-i tana ang bata-bata nga ria hay wara tana ria ginahilanat kag ginaubo. Husto lang magpirung-bukas kang mata na!" Nagkaradlaw ang darwa. Nag-uli ang darwa nga nagaagbayanay. Nagbundak ang uran pero wara sanda mabasa hay bahul ang anda nga payong. Nalingaw sanda ka taratamsak sa tubig kag sa ilig kang uran sa bisbis kang payong. "Ano ayhan ang pamahaw natun sa balay?" pamangkot ni Epi. "Daw latu ko bay kun ano." Dayon nagdalidali sanda pauli. "Nanay, dya run kami!" Ginkipot ni Manang Amanda ang payong kag ginsab-it sa kilid kang gawang. Nalipay gid tana sa payong. "Tuod gid, latu ko nga saging pamahaw natun!" Nadapgan lagi ni Epi ang naga aso-aso nga linaga ngasab-a sa lamesa. "Nanay, wara lamang si Manang Amanda nagbakal kang bata-bata hay kulang ang amun kuwarta!" "Tuod ikaw, Epi? Mayad kun amo! Salamat sa Diyos, wara kamo nabasa kang uran." Ginkuhap-kuhap kang nanay ang mga ulo ka ana nga mga pinalangga. Napasaran nanda ang pagtiraw nga ana gintugro. Gwapa nga bata-bata ang handum ni Manang Amanda. Bisan si Epi nga libayun na gusto man dya para kana. Si Epi may gusto man baklun, ugaring kulang ang anda nga kuwarta. Ano ang himuon kang magbugto?
karay-a|3|Una dya nga pagbisita ni Sarah sa ana pakaisa nga si Reta. Halin pa sa Ottawa, Canada si Sarah. "Wow, halin pa dya sa Rideau Canal! Puwede bay makapamaruto, makapangisda, kag makas-ki ang mga turista rugya," hambal ni Reta. Paano na dya naman-an? Hmmm! Daw kanamit gid ka mga pagkaun. Daw kanamit ang itsura kang fruit salad. Hambal ni Reta, "Rujak ang tawag dya ka ria." Tama ka kahang ang rujak. Tubig! Kinahanglan ni Sarah ang tubig. "Hambal ka akun maestra, nami kuno ang asin, alabaab nga tubig, kag gatas nga makapaumpaw ka kakahang," paathag ni Reta. Ensakto si Reta. "Wara run gid man ako kabatyag ka kahang. Sagad ba si Ma'am mo," hambal ni Sarah kay Reta. Nagtawas si Sarah kay Reta nga manindahan. Bitbit ka ana reusable bag. "Kuon ka akun maestra, sangka pamaagi dya para magbuhin ang paggamit kang plastik," sugid ni Reta kay Sarah. Gusto makilala ni Sarah ang maestra ni Reta. Pira ayhan ang bili kang pagkaun? Gin-isip dya ni Reta sa ana mga tudlo. Wow! Parehas gid ang suma ni Reta kag ang suma sa calculator. "Gintudluan ako ka akun maestra kun paano magdugang kang madasig," sugid ni Reta kay Sarah. Paano ayhan makilala ni Sarah ang maestra ni Reta? "Be patient," hambal ni Reta sa English. Gintudlo man ria siguro kang maestra na! Yehey! Matawas si Sarah kay Reta sa balay ka ana maestra para magtuon. Wara tana ti baraydan. Pero para sa ano ang silhig? Samtang nagapanaw, nakita nanday Sarah kag Reta ang iban pa nga mga bata. Matuon man sanda. May mga dara man sanda nga gamit panglimpiyo. Hambal ni Reta, indi masarangan ka ana maestra ang magpanglimpiyo ka ana balay. Nakunyag si Sarah nga makilala ang dya nga maestra. "Kun madalagan kita, madasig kita nga makadabot," hambal ni Sarah. Ay! Araguy! "Indi magpakulba, may bulong rugto si Ma'am," hambal ni Reta. Nakaabot gid man sanda! Sa katapusan, nakilala gid man ni Sarah ang maestra ni Reta. Wow! May mga bata nga nagatuon sa Math, ang iban nagatuon sa English, kag may nagatuon man sa Science. Para kay Sarah, manami dya nga paagi sa pagtuon. Ang maestra amo si Een Sukaesih ukon kilala nga Bu Een. Nakatapos si Bu Een sa Indonesian University of Education sa Bandung. Indi tana makahulag tungud sa Rheumathoid Arthritis nga ana ginabatyag sa 27run ka tuig. Sa paghimakas ni Bu Een, padayon tana sa pagtudlo halin alas-8 sa aga hasta sa gabii bisan nagabatang. Nagatudlo tana kang English, History, Computer, kag Math. Ginaabi-abi na gid ang tanan nga gusto magtuon. Palangga tana ka ana mga estudyante. Nagaburuligay sanda sa mga orubrahun sa balay ni Bu Een pagkatapos ka anda pagtuon.
karay-a|3|Ang Espesyal nga Drum Nabarian kang batiis si Ares tungud sa pagpangguba kang linog sa anda. Tungud rugya, indi tana makapanaw kag makalagaw. Mayad lang hay may papel tana kag panuag. Ugaring kang mag-umpisa si Ares dekorar... Bam! Bam! Bonk! Bonk! "Ay abaw! Si Intan gid ria mong. Ano ruman ayhan ang ginapatokar na kadya man?" Indi gid masaway si Intan sa ana nga ginahimo. "Intaaaan!" tawag ni Ares sa ana nga bugto nga babayi. Kuno abi wara tana mabatian ni Intan. Padayon lang bungbung na kang buli kang balde. "Intaaaaannnn!" Gintunugan pa ni Ares ang singgit sa ana nga bugto. Paano na ayhan mapauntat ang ana nga bugto sa ginahimo na ka dya?Ginlibag ni Ares si Intan kang kinumus nga papel. Wara man gihapon nag-untat si Intan. "Siguro sapakun na run ako ka dya." Ginbalang ni Ares ang ana nga lapis sa kama ni Intan. "Aaargh!!!" ugtas ni Ares. Nagtunog pa gani tapat! Kling! Kling! Klak! Klak! Nagasiyagit run si Intan. "Yay! Yay!" Nag-umpisa man siriringgit ang iban pa nga kabataan. "Yay! Yay!" Bam! Bang! Klik! Klak! Ginhagad ni Intan si Ares nga mag-entra kananda. Tap. Tap. Ginpakpak ni Ares ang kilid ka ana nga baratangan. YEHEYYYYYYYYYYY! Nagpalakpak ang tanan kag nalingaw kay Ares. Nagsenyas si Intan gamit ang ana nga mga alima. Amo kag dururungan ang tanan nga nagtukapan. Bing! Bang! Plik! Plak! Tik! Tak! Klip! Klap! Sa pagpanguna ni Intan, nakahimo sanda ka mas duro pa nga huni nga nahimo man nga musika.
