language|level|text
minasbate|2|Igwa ako'n isad na amiga. naga istar siya sa sulod san akon balay. Pag ako malipay, amo man siya. Pag ako nagatangis, sya nagatangis man. Pero maski nano an himuon ko dili ko nababatian an iya boses. naga istar lang sa sulod san espejo an akon amiga. Kaya sabi ko "labas dida, kag magkanam kita". Pero wara sya naglabas. Dili ako naging malipay. kaya nagturog ako. Sa akon pagturog, sya naglabas san espejo kag kami nagkalipay. Nagkanam kami, nagdalagan, nagsiyak, nagsiwik kami myentras kaupod ko sya. Kaya myentras ginakaistorya ko sya, nagasabat man sya sa akon. San aga na, nagbalik na naman sa espejo an akon amiga. Pero wara ko gin pansin idto tanan, aram ko sa sadiri ko na makanam kami utro.
minasbate|2|May puno san sampalok na nakatanom sa higad san kamino. Ila-ila an mga nagaralabay na mga tawo sa handong kag manamit na bunga na ginahatag nya. Malipay si Sampalok na palangga sya kag nakabulig sya sa iba. Usad na adlaw, naghimo an mga taga-baryo sin dako na payag sa katakin ni Sampalok. Dili nya aram kun nano an isipon san bag-o nya na katakin. Saka kun nagaralabay an mga tawo nagasabi sinda, "Hala kaganda man magpahuway didi sani na payag! Napagkadako, igwa pa gayud sin ingkudan sa sulod." Wara na sin may gusto san handong ni Sampalok. An mga nagabisita na lang sa iya kay an mga pasaway na bata na nagasaka sa iya bunga. Myentras nagabag-o an panahon, an mga dahon ni Sampalok nagatuna na magtarakdag. Ginapalid ini san hangin pakadto kan Payag. "Sampalok, umudong ka daw san katakdag san mga dahon mo sa akon! Nagaati ka lang," siyak ni Payag. "Dili ko man ini sala, Payag. Kun gusto mo magreklamo, kan Hangin ka magkadto," sabat ni Sampalok. "Ayaw pagsala-a an Hangin, kun wara ka magpantakdag san mga uga mo na dahon, dili man ina palidon san hangin pakadi sa akon. Makabaradli ka!" siyak utro ni Payag. Ginpabayaan na lang ni Sampalok an mga makabaradli na sabi saiya ni Payag. San sumunod na gab-i, igwa sin makusog na bagyo. Nabari an usad na mga sanga ni Sampalok. Naglupad ini pakadto sa atop ni Payag. Nagparatangis si Sampalok sa sakit san pagkautod san iya sanga pero si Payag ginaintindi la nya an iya nasira na atop. "Kinahanglan sadirihon mo na lang an imo nababatyagan," isip nya. Mamundo kag nakukulugan si Sampalok. Kun aram nya lang tani kun nano an hihimuon sa iya aringit na katakin. Myentras ginapamatyagan ni Sampalok an inda kamutangan, usad san iya mga ugat an nagatubo patalibod sa harigi ni Payag. Nagsabot sinda Sampalok kag Payag na dili magtin-uhan tutal dili man ninda gusto an kada usad. Dili sinda nagaistoryahan sa kada usad hasta... ...usad na naman na makusog-makusog na bagyo an nag-abot. Mas kusog pa sa mga nakaligad na bagyo na naeksperyensyahan ninda. Nabatyagan ni Payag na bagan ginaalsa na sya pataas san hangin hali sa duta. Nagkurahaw sya kan Sampalok para mangayo san bulig. Wara'n pagduha-duha si Sampalok, ginhawidan nya si Payag sa abot san iya kusog. Pagkahuman san bagyo, napahiyom si Payag kan Sampalok. "Salamat san bulig mo, kun dili dahil sa imo, dili kuntani ako masasalbar. Pasensya ka na kun aringit ako sa imo dati." Nakahiyom na ginbaton ni Sampalok an pag-ayo sin pasensya ni Payag. Sa urhi, naging malipay sinda na magkaamigo. Suportado san mabinuligon na SMA RT.
minasbate|2|San una na panahon, igwa san tulo na magaramigo. An balay-balay na si Gables, an ruler na si Millie kag an lapis na si Nubs. Masadya sinda na nagaurupod sa kwarto san usad na bata na babayi. Usad na adlaw, napaliad si Millie kag nag istorya kan Nubs, "Nakikita mo ba an paibaiba na marka sa mga gilid ko?" "Ow! Kaayo-ayo la!" sabi ni Nubs. Kag an lapis nagduko para nya ini makita. Sa kita ko mas dyutay ako yana kaysa kahapon. Nano sa kita mo?" "Gables," sabi ninda sa balay-balay. "Nano sa pangita mo?" Naghangos kag nagkita paubos si Gables. Damo siya san pwede mahimo na dili kaya himuon ni Millie kag ni Nubs. Pero dili niya kaya magliad kag magduko pareho san ginahimo san duha, kaya dili nya aram kon nano an iya hitsura! Damo na mga paagi an ginhimo ni Millie kag Nubs para mapasadya ninda si Gables. Ginlinis ninda an dingding kag atop. Ginpatugtug nya an iya gitara myentras nagakanta si Nubs san usad na malipay na kanta. Pero wara gihapon sin nangyari. Nag-istoryahan si Millie kag si Nubs. "Mamundo si Gables," an sabi ni Millie. "Kay nano kaya?" "Siguro mamundo siya kay dili niya makita an iya sadiri kun nano an iya itsura," sabi ni Nubs. "Tama!" sabi ni Millie. "May aram ako kun nano an aton hihimuon!" Ginkadto ninda si Gables kag ginsabi kun nano an iya itsura. Ginsabi ni Nubs na igwa siya san atop na hugis trayanggol, ibig sabihon igwa san tulo na kanto. Ginsabi man ni Millie na igwa siya san mga hugis na pahilaba na amo ini an iya mga dingding. Pero dili pa gihapon ni Gables makita an iya itsura, kaya namundo sya. Naka-isip sin bag-o na ideya si Millie kag Nubs. Naghali sinda kag san pagbalik may dara na sinda na dyutay na bilog na espiho. "Kitaa!" an sabi ninda. "Yana nakikita mo na an imo sadiri?" Pero dyutay an espiho, kaya dili pa gihapon nya makita an iya sadiri. May naisip naman na bag-o na ideya si Millie. "Aha! sabi nya. "Idrowing naton an itsura ni Gables!" "Sige!" sabi ni Nubs. "Pero dili ako matibay magdrowing san tadong na linya." "Makabulig ako sina. Bulig kita pagtrabaho!" sabi ni Millie. Naghigda si Millie sa papel, kag nagdrowing na si Nubs san tadong na linya sa gilid nya. Pagkatapos, nagdrowing pa sinda san duha pa na linya, hasta na nakahimo sinda san usad na hugis trayanggol. Kapareho san atop ni Gables! "Katahom!" sabi ni Millie. Yana mahimo naman kita san mga parihaba para sa pader sa atubangan na pader. Pagkatapos, madrowing kita san gamay na parihaba para sa pwertahan, kag dyutay na kwadrado para sa bintana." "Abadiw!" sabi ni Nubs. "Kamayo na siya ni Gables!" "Amo ngani," sabi ni Millie, "pero igwa pa san kulang." "Aram ko na!" sabi ni Nubs, kag nagdrowing siya san bilog sa taas san balay. "Amo ina!" sabi ni Millie. "Kulang sin adlaw!" Malipay na naglumpat sinda Millie kag Nubs palapit kan Gables, dara an drowing. "Kita-a, Gables!" sabi ninda. "Kita-a ini na balay, an trayanggol na atop, an parihaba na pader, an dyutay na parihaba na pwertahan, kag an kwadrado na bintana. Ikaw ini!" Sa kauna-unahan na pangyayari tuna san siya pagmundo, nagtawa si Gables. "Amo ba?" sabi niya. "Irog sana an itsura ko?" "Ikaw ini!"sabi ni Millie. "Kag nag butang pa kami san adlaw!"sabi man ni Nubs. Grabe an pasalamat ni Gables na balay-balay sa litrato. Kag sinda na tulo naging malipayon hasta nalang.
minasbate|2|"Yeheey! Pauli na si Papa sa balay. Nababati ko na an iya bota-thump thump thump!" Gurugusto gayud ni Malik bation ina na tunog san bota ni Papa nia. Thump! Thump! Thump! Bagan nakabati ako sin tunog san bola na naga untol untol pero sierto ako na sa bota ina ni Papa ko." Ginpahuram san Papa ni Malik sa iya an iya bota. Gurugusto ni Malik magpatunog san thump thump thump. Dako-dako an bota san Papa ni Malik. Halos pareho la kadako ni Malik! Sa kataas san bota san Papa ni Malik, nag taas taas sia kitaun. Pareho san ginhimo ni Papa nia, naglinis man si Malik sul ot an bota. Pero, an bota nagbug-at kag nagtunog san Screech...screech...screech. Kag nangarat sia na nano nawara an thump thump thump na tunog. Hmm, basi dapat lang mas itaas pa ni Malik an iya tiil? Oh, aguy! Ka buro-bug at man ninda. Nadalus-ay si Malik, kag kumalat an mga sinilhigan nia na basura. Papan uhon na ni Malik mag otro linis? Nano kaya kun maghuba na la sia san bota? Aguy! Kinagat pa sia sa tiil san hurmigas. Oooh, ini na mga hurmigas nagamarartsa myentras nagabiritbit san inda pagkaon. Baga sinda an tren san pagkaon. Choo choo! An mga kanaman na toro trak ni Malik nakadara man san mga bagay pareho san tren. Choo choo! Hmm, ginbutang ni Malik an mga botelya sa dulaw na toro trak. Tapos, sa pula naman na toro trak nia ginbutang an glue. Ginsunod na ginbutang naman nia an mga dahon sa berde nia na toro trak. Pero, ini na toro trak masyado dyotay. Kaya, binutang na nia an iba pa na dahon sa bota. Sa kadako san bota, nabubutangan man sin iba pa na mga bagay bagay gyapon. Choo choo...thump thump. Yay! Nagkaigwa lugod sin hilaba laba na tren si Malik. Choo choo...thump thump. Sa pinakita ni Malik na kahigusan pareho ni Papa nia, grabe an pagka proud san ama.
minasbate|2|Gurugusto ni Coral na aramon kun nano an ada sa suba. Ginaabutan sya san pira ka oras san kakakanam sa matin-aw kag blue na tubig. "Pira tanan an suba sa kalibutan?" an hunga ni Coral. "Pakain kaya an dalagan san tubig sa suba? Tani, makalangoy ako sa dagat." Usad na adlaw, usad na isda na may sadi-sadi na kolor an nagaiwat maglangoy sa madinghot na suba. "Wara pa ako nakakita san irog sani kaganda na isda," an naisip ni Coral. "Buligan ko ikaw dyutay na isda" Nagkiwig-kiwig an ikog san isda. "Mag upod ka sa akon," sabi nya. "Ginsalbar mo ako, akon man ihatag sa imo an regalo hali sa dagat." "Regalo hali sa dagat?" Nagbuso si Coral sa suba. An matugnaw na tubig naglukop sa iya entiro na lawas. Naglinangoy kag naglinangoy si Coral kag san isda. Sige sinda san langoy sa suba... Nakaabot sinda sa tunga san lawod. Dili makatuod si Coral san iya nakikita. Ginkiwig-kiwig san isda na bagan balangaw an kolor an iya ikog kag nagsayaw ini sa tubig. An tubig sa dagat matugnaw kag presko. Naglukop ini sa entiro na lawas ni Coral na bagan matam-is na kupo. Pagkatapos, nag-abre an pwertahan san mundo sa idarom san tubig. Naisip ni Coral, "Wara pa ako nakakita san damo na ilaw." "Masadya na pag-abot sa amon mundo," sabi san isda. "Paagi sani na korona, magigin kapareho ka na namon." Gindara san isda si Coral sa pinakamayumok na dinghot sa dagat. "Didi ka na lang sa amon," sabi san isda. May maarat na nagtagdo sa pirok ni Coral. Nagkisap siya. Nawara an mundo sa idarom san dagat. Nagahigda si Coral sa higad san iya pinalangga na suba. Napaisip siya, "damgo lang ba an tanan?" Aram nya na an kada usad igwa san ginahandom. Handom man ni Coral na magin usad na matibay na eksplorer. . "Isda na an kolor bagan sa balangaw, mabalik ako sa imo," an hutik ni Coral. "Maabot an adlaw, mabalik ako sa imo."
minasbate|2|Sin Thuokna Usad na aga, myentras nagatanom sa inda bukid si Ningning kag an iya iloy, may nakita sinda na bata pa na elepante na nagadalagan pakadto sa inda! Nagdalagan an elepante pakadto sa sulod san inda balay kag nagkaon. Ginbugnot ni Ningning an ikog sani kag ginbutong san makusog. "Maglabas ka dida! Magbalik ka sa balay mo!" an siyak niya. Pero nagdalagan an ginikanan ni Ningning pasulod kag ginpaudong siya. "Kaluoy sani na elepante!" an sabi san iya iloy. "Gutom na gutom kag natatalang." Amo man an nasa isip san iya ama. "Kinahanglan na makipag-amigo kita sani na elepante. Pangaranan naton siya san Sakor." Nag-imon si Ningning sa atensyon kag sa manamit na pagkaon na ginahatag san ginikanan niya kan Sakor. Maski diin magkadto si Ningning sunod san sunod si Sakor, masamok siya! Naisip ni Ningning kun makakauli pa kaya ini sa kadlagan. Naisip ni Ningning na kun magigin salbahe siya kan Sakor basi maghali ini sa inda balay. Nagbutang siya san paminta sa lawas sani agod maghinatsing kag langasan san mga hurmigas agod mahadlok ini. Pagkaaga, nailaan ni Ningning na magbalon san bayabas paeskwelahan. Pero dili niya kaya abuton! An bata na elepante an nagkuha san usad na bayabas gamit an iya ngudoy. Nginarat si Ningning. "Damo na salamat!" sabi niya. "Pero mauurhi na ako sa eskwelahan." Nagsiyak an iya iloy, "Nano kay dili ka magsakay kan Sakor pakadto sa eskwelahan?" Dahil sa bulig ni Sakor, nakaabot sa tama na oras si Ningning sa eskwelahan. Tuna sadto, uruadlaw na nagakadto sa eskwelahan si Sakor. Surusadya si Ningning kag an iya mga amiga sa pakikipagkanam sa iya. Magbutong san pisi. Magkanam sin luksong lubid. Magpadarus-os. Piko. Nag-intra man si Sakor sa klase! Usad na adlaw, naghunga an maestra ni Ningning. "Nano an gusto niyo pagdako niyo?" Nagsabat si Ningning. "Gusto ko na magin paraataman san kadlagan agod mabuligan ko an mga elepante pareho ni Sakor kag mabantayan an inda kadutaan." San may bigla na makusog na ribok sa labas. "Whoom! Whoom!" Naglabas an tanan para maaraman an nangyayari. Nakita na gali san iya iloy si Sakor. Oras na para magbalik si Sakor sa kadlagan. Nakakusmod si Ningning na nagpaaram pero aram nya na magiging masadya na an iya amigo sa pagbalik sani sa iya istaran kag pamilya. Namundo man si Sakor sa iya paghali, lalo pa yana na mabuot na si Ningning sa iya. Pero nagpaunabi an iya iloy sa iya na pwede sya bumalik kag bumisita kay maaram na si Ningning makipag-amigo sa mga elepante. Karagdagan na kaaraman sa Kapaligiran Ang Conservation International (CI) an nagalingkod sa Cambodia tuna pa san 20 01 para maalagaan an yaman san biyodibersidad san Cambodia. Tuna sa bulubundukin san Cardamom sa gawing Timog-Kanluran, istaran na san nabibilin na elepante asya an bansa, sa lawa san Tonle Sap, an pinakadako na isdaan sa Timog-Silangang Asya, sa Veun Sai Siem Park National Park, istaran san mga yelow-cheeked gibbon. Pagahatag suporta san SMART
minasbate|2|Dili matahom maglantaw sa atop ninda Tita. May usad na dako na pabrika na nagbubuga san aso sa likod san inda balay. Nagdesisyon si Tita na magbutang san mga burak san sunflowers sa inda atop para mapatahom. Pero nagruluyos dayon an mga burak san sunflower. Handom ni Tita na pirme igwa san mga burak sa inda atop. Pero pan-o nya man ini mahihimo Usad na Sabado, ginkaistorya ni Tita an iya ama. "Papay, gusto ko tani na pirme igwa kita didi san burak. Pero pan-o po na dili dayon magluyos? "Maghimo kita san garden! Adi igwa ako san dako na container na pwede butangan san duta kag patubuan san mga pisog. Magburulig kita para ini na garden magtalubo kag magdugay." Nagburulig an pamilya ni Tita para mapreparar an inda tatanuman. Myentras nagabayubo san duta si Tita nakasiyak sya sa kangarat. "Yay! Wati!" "Tita, importante an mga wati sa usad na garden. Nakabulig ini para magtubo san maayo an mga tanom," an sabi san iya ama. Dili sigurado si Tita kun maiilaan nya na ada an mga wati, pero kun makabulig ini sa inda garden pabayaan na la nya ini. San oras na san pagsaribo, binasyahan ini ni Tita san usad kabalde na tubig. "Inom kamo mga pisog para magdaragko dayon kamo," sabi nya. "Ayaw Tita! Ayaw pagsaribuhi san damo-damo," an sabi ni mama nya. Ginpakita san iya iloy kun pan-o an tama na pagsaribo san mga tanom. "Pero gusto ko magdaragko dayon sinda," reklamo ni Tita. "An tanom kinahanglan man san panahon para magdako," padumdom san iya iloy. "Aram ko man na madugay, pero kinahanglan mo maghulat." Pagligad san usad kasemana, nagturubo na an mga pisog! Pwede na ini ibalhin sa inda mga masitera. Eksayted na ginbugnot ni Tita an mga tanom. "Hinay-hinay la Tita, kun mautod mo an inda mga ugat dili na ina matubo," an sabi san iya iloy. Burulig ninda na ginbalhin an mga bag-o'n tubo na tanom sa mga masitera. Naghimo an ama ni Tita san mga kahon na kahoy para damo sinda san matanuman. Naghimo man si Tita san plakard para sa inda garden. Naaraman ni Tita kun pan-o atamanon an iya garden. Wara magdugay, nagtuna na man magbuskad an mga burak. Usad na gab-i, nagpudo san sunflower si Tita para ibutang sa inda kaunan. Myentras pakadto sya sa inda kaunan, nakita nya an iya iloy na nagaluto san gulay. "Mamay, pwede po kaya kita magtanom san gulay sa aton garden?" "Matahom ina na ideya Tita! Sige himuon ta ina." Dili nagdugay, napuno na san pananom an garden ni Tita sa inda atop. Nakapatubo na sya san mga burak, carrots, sibulyas, tarong kag iba pa na mga maayo na pananom. Naila an inda mga katarakin na nakakita san inda matahom na garden. Dili na puro aso san pabrika an makikita sa inda atop. Nagpatukdo an inda katarakin kun pan-o magkaigwa san garden sa atop. Siguro, sa masunod na tuig damo na san may garden sa inda mga atop. Suportado ng SMART
minasbate|2|Huynh Vu Tuong and Phạm Quang Phúc Si Bo kag an iya ido na si Brownie naglabas para maglakat-lakat. Ginhulat sinda ni Teo kag ni Tun sa kanaman. Ginpasikat ni Teo an iya bag-o na kanaman na baroto. "Ginbakal ini ni Dad sa siyudad. Amo ini an pinakamatahom na burubaroto sa entiro mundo!" Nag-uyon man si Tun. "Kamahal man sana na imo burubaroto!" Naglingo-lingo si Bo. "Damo akon mas maayo na mga bagay! Igwa akon usad kabuok na yaman!" Dili sigurado sinda Teo kag Ted sana. "Ipakita sa amon!" pagpirit ninda. Nagdalagan pauli si Bo kag ginhanap an iya kahon san mga kanaman. Wara san maski nano na espesyal. Tanan sinda dili maganda. Kinahanglan niya makahanap san kayamanan bisan diin. Nagdalagan palabas si Bo. Nakita niya an masitas san iya lolo na nakatanum sa masitera. "Gusto-gusto ini ni lolo. Segurado mahal ini". Gindara ni Bo sa iya kuwarto an tanum. Nagdalagan naman siya pakadto sa kusina. Naghalungkat siya sa platera san iya Lola. "Gurugusto ini ni Lola na mga bagay. usad ini na kayamanan." Kag dinara inin tanan ni Bo sa iya kwarto. Nagkadto man siya sa sala. "Ila-ila sani na kanam si Papa. Usad ini na kayamanan." Kaya, kinuha ni Bo an kanaman kag dinara sa iya kwarto. Nagkadto man siya sa kuwarto san iya Ate. "Gurugusto ni Ate ini na mga libro. Usad ini na kayamanan." Kinuha ni Bo an tanan na libro kag dinara pakadto sa iya kwarto. Kag nagkadto man siya sa kwarto san iya Mama. "Ginahimatan ni Mama ini tanan na pampaganda. Usad ini na kayamanan." Kinuha ni Bo an butangan san make-up kag dinara niya sa iya kwarto. Gintawag ni Bo sinda Tun kag Teo para makita an iya mga nakuha. Sa labas, naurit tanan na kaurupod niya sa balay. Harain na an inda mga importante na gamit? Kabulig an mga amigo, binalik ninda an tanan na gamit kun diin ini kinuha. Pero dili makita ni Mama an iya pahumot! Ginburaratan ni Ma an mga bata na lalaki. Kun dili ninda mahanap an pahumot, tanan sinda dili makaluwas. Nagsiriyakan an mga bata sa kada usad. "Ada sa imo!" Dili, ada sa imo!" Dili, ikaw ada!" Sa urhi, ginbaton ni Bo an tanan na basol. Tanan ini iya sala. Nakonsensya man an duwa. Ginbuligan ninda si Bo na hanapon an pahumot. Pagkataod-taod, nakabati sinda tanan san usig san ido. Nahanap ni Brownie kag san iya matibay na irong an pahumot sa idarom san ingkudan. Sabi ni Tun, "Salamat sa imo ido, dili na kita maparusahan. Nagsang-ayon man si Teo. "Si Brownie an tunay na yaman!" Pero dili gihapon mapugulan ni Tun an iya sadiri, " Astig si Brownie, pero mas astig an akon ido. Usad sya kabuo na tambak san yaman. Sa matuod la!"
minasbate|2|"Tinay, pagkarigo na!" "Tinay, pagkaon na!" "Tinay, pag-eskwela na!" "Tinay, pagsakay na sa bus!" "Tinay, pag-anser na san asaynment!" "Hain si Tinay?" Nasibot si Tinay. May barasahon pa sya na libro. Mabinasa pirme si Tinay san libro sa balay, sa eskwelahan, sa kanamanan kag sa higdaan. Ginabasa nya an tanan na parte san libro kag wara sya san ginabilin bisan usad. Ubos nya gayud ina tanan. "Nano kay pirme ka nagaparabasa Tinay?" hunga ni Boboy. "Hamos, makita nala kita san cartoons!" sabi ni Dodoy. "Makaiila gayud an libro!" sabi ni Tinay. "Kitaa baya! Nakikita mo ba ini na bilog kag tadong na linya? Iduso ini pa sulod, butungon mo paluwas kay may maralabas na letra. Urupudon mo ini na letra kag makahimo ka na san usad na istorya. Ini na mga letra pwede ka makahimo san hidalom na klase san istorya. Pwede ini na makatarawa, makamumundo o masadya lang. Basahan mo ini kag tsaran... makaabot ka na sa iba na mundo. Sa yana, si Tinay namomroblema. Naubusan na sya san libro na pwede basahon. Nabasa na nya pan-o tanan na pwede nya mabasa sa library tuna sa tuna patapos. "Nano an hihimuon ko? Wara na ako san libro na pwede mabasa!" kurahaw ni Tinay. "Anay pa, nano kaya idto?" Paghangad ni Tinay kay may nakit-an sya na dili lang usad, duha, kundi tulo pa na butangan na puno-puno san libro. "Kadamo san libro!" malipay na hutik ni Tinay sa iya sadiri. May usad pa ugaling na problema si Tinay. Hamobo sya kaayo tapos an butangan san libro taas-taas. Pan-o kaya si Tinay makasaka didto? Basi pwede nya gamiton an pisi san palaypayan? O masarig na kurtina para makasakbat? Nano kaya kun pwede man an mga ingkudan kag lamesa sa library? Sa pangita ni Tinay dako-dako an maibubulig sa iya san giraffe o kundi man an amo kag pwede man pareho kun igwa lang unta. Nakaisip san plano si Tinay. Gintawag nya sinda Boboy kag Dodoy para mag-ayo san bulig. Puyo-puyo sinda na nagsaka sa lawas san kada usad. "Boboy kabug-at mo!" reklamo ni Dodoy. "Sabi ko baga sa imo na dili mo na dapat ginkaon idto na nabilin na puto?" "Dili man ako idto!" sabat ni Boboy. "Si Tinay idto!" "Shhhh! Halapit na," sabat man ni Tinay san bigla sinda nagkahurulog na tulo. AHHHHHHH! "Nano an nangyayari didi?" Umabot an taas-taas na librarian kag ginlusad nya si Tinay. Dumalagan man paharayo sinda Boboy kag Dodoy. Mamundo na ginsud-ong nala ni Tinay an mga libro sa igbaw na dyutay nalang unta hawid nya na. "May pwede ba ako ibulig?" hunga san taas-taas na librarian. "Ginsakbat ko po an butangan san libro. Wara na pan-o ako san pwede mabasa kay nabasa ko na tanan," mamundo na sabat ni Tinay. "Nano man kay wara ka nagsabi? Sabat san hataas na librarian. "Basta adi lang ako, dili mo na kinahanglan pa na magsakbat. Pwede ko ba ikaw alsahon?" Nagtando si Tinay. "Kuhaon ko ini.. kag ini... kag ini pa gayud!" malipay na sabi ni Tinay. "Salamat po." "Adi pa!" sabi san hataas na librarian. "San dyutay pa ako, guro-gusto ko man
minasbate|2|Usad na adlaw, nakita san usad na gutom na lion an usad na tutoy na natatalang. Kakaunon na untani san lion an tutoy kaya lang nagbag-o an isip nya. Naatian pan-o sya magkita sa tutoy kag nabahuan pa. "Linisan ko anay ini bag-o ko kaunon." sabi san lion sa iya sadiri. Gindara san lion an tutoy pakadto sa suba kag ginkarigo. Pagkatapos nya ini karigoon, nakita san lion na maniwang-niwang an tutoy. "Dili man lang ini pwede himuon na meryenda. Darahon ko nalang anay ini sa balay kag patabaon bag-o ko ini kaunon." Ginpakaon sin maayo san gutom na lion an tutoy sin manamit na mga pagkaon. Dili nagdugay, tumaba kag bumaskog na ini. Kada gab-i, ginadurog san lion an tutoy sa iya butkon para dili ini makaon san iba. Dili nagdugay, nagtaba na an tutoy! Tama-tama na gayud ini para kaunon. Nagkita an lion san recipe sa libro para maghanap san pinakamanamit na paagi san pagluto san tutoy. Ugaring dili maaram magbasa an lion kaya naisipan nya na paeskwelahon an tutoy. "Kaunon ko na la sya kun maaram na sya magbasa agud makaaram man ako!" Ginpalista san lion an tutoy sa eskwelahan kag binakalan nya ini san mga bag-o na bado. Usad na adlaw, san nag-abot an tutoy hali sa eskwelahan, grabe an iya kalipay kag dili sya nakaukoy mag-istorya manunungod sa kun pan-o sya naging matibay sa eskwelahan./> Ginpakita sa iya san lion an libro san mga recipe, ugaling dili pa maaram magbasa an tutoy. Naisip san lion na kinahanglan pa san tutoy na magpadayon pag-eskwela. Dili nagdugay, ila-ila na nag-uli an tutoy sa inda balay. "Pa, nakabasa na po ako!" Nalipay an lion sa nabaton na bareta. "Sa wakas! Oras na," ngurob na sabi san lion. Pagkasunod na adlaw, myentras nagahulat an lion sa pag-uli san tutoy, ginpreparar na nya an tanan para insigida makaon nya ini pagkauli sani sa balay. Pag-abot san tutoy, nagatangis sya na nagdalagan pakadto sa lion. Nahulog pan-o sya kag nasakitan. Kaipuhan san lion damayan an tutoy hasta sa nalimot nalang sya san iya dapat himuon. Pagkasunod na adlaw, ginporbaran gihapon san lion an iya plano. Nagpreparar utro sya san dako na mangko kag gulay para makaon kaupod an tutoy. Eksayted na gayud sya na mag-abot an tutoy kay guru-gusto na gayud nya ini kaunon. Pag-uli san tutoy, nangarat an lion san may gintunol an tutoy sa iya na burak. "Maayo na Kaadlawan san mga Ama, Papa! Palangga ko ikaw," sabi san tutoy sa lion myentras nagakupkop. Parehas naman san dati, nalimutan na naman san lion an iya dapat himuon. Iya man ini ginkupkupan kag nagsabi, "Palangga ko man ikaw." Suportado san SMART.
