language|level|text
cebuano|1|Ako si Zara. Ako adunay higala. Managsam kami og kinaiya. Pangalan dili nako ipa-ila. Kada adlaw kami mag-uban. Bisan asa kami mag-kuyog. Sa eskwelahan kami mag-uban. Sa pag-uli kami gihapon. Kon walay klase. Bisan asa kami manuroy. Mo-adto kami sa simbahan. Mo-adto kami sa piryahan. Mo-adto kami sa plaza. Mo-adto kami sa zoo. Sa balay kami motabang. Sa among mga maguwang. Ang ginikanan malipay. Sa ilang pag-uli sa balay. Nakaila ka ba niya? Ikaw ba ang akong higala?
cebuano|1|Mas gamay ang alibangbang kesa sa bakukang. Ang bakukang mas gamay kaysa lagsing. Ang lagsing mas gamay kaysa periko. Ang periko mas gamay kaysa bukaw. Ang kalaw ang pinakadako sa tanan. Pinakagamay ang alibangbang. Makalupad silang tanan.
cebuano|1|Ako si Moymoy. Usa ka bata. Aduna akoy amigo. Usa ka piso. Kanunay nako lawgan. Paimnon inig human. Kanunay kami mag-uban. Sa among tugkaran. Kini akong amigo. Pinangga kong piso. Kuyog kami og laag. Kami nalipay.
cebuano|1|Ini an akon Tatay. Siya nagtatanom san humay. Ini akon Nanay. Siya naglalaba san amon mga dugnit. In an akon Mano. Siya naghihimo "plot" para tanuman san mga utanon. Ini an akon Mana. Siya nabulig kan Nanay sa pagluto. Ako ini si Puto. Diri pa ak maaram magtrabaho. Ini an akon pamilya. Malipayon kami ngatanan kay kami nagkakaurusa.
cebuano|1|Si Pipay adunay paypay. Pula ang kolor niini. Si Pedro ang naghatag. Nalipay si Pipay.
cebuano|1|Kini ang adlaw. Hinimo sa Ginoo. Naghatag kanato ug init. Naghatag usab ug kahayag. Gikinahanglan sa tanan. Labi na sa mag-uuma. Gikinahanglan usab sa tanom. Aron makabuhat ug pagkaon. Gipangita ni mama. Aron labada mauga. Managat nag-amba. Aron isda makuha. Mga mananap nagtan-aw. Nangutana asa si adlaw. Mga butang nga basa, Gipauga niya. Naghatag ni buwan ug hayag. Kay sila managhigala usab. Siya nagpanindot. Labi na sa palibot. Magpasalamt sa kihatas-an. Ato siyang ampingan.
cebuano|1|Ako si Allan. Anaa ko'y alkansiya. Hinatag kini ni Mama. Sinsilyo ang sulod. Sa pasko kini ablihan.
cebuano|1|Usa siya ka manika. Dili ni nako ibutang sa suok. Aduna ako'y dulaan. Hinatag kini sa akong iyaan. Kusog usab kining motuyok. Taas kini ug bawog og pilok. Mao ni usa sa dakong hinugngdan. Nga ako gyud ning ampingan. Ang iyang kamot pwede ilihok.
cebuano|1|Ang akong higala nga buotan ug masinabtanon. Pagkanta ang iyang gikahiligan. Hilig pud siya ug iring. Maminaw ug mutuo siya sa mga mando sa iyang nanay. Malipayon siya kauban ang uban niyang higala. Katapusan
cebuano|1|Aduna koy usa ka amigo. Ug siya si Bruno akong amigo. Siya usa ka boutan nga iro. Kung asa ko anaa usab siya. Usa ka adlaw samtang kami naglakaw. Naka sugat kami og dakung bitin. Sa akong kalisang wala ako kalihok. Ug si Bruno ni nadagan. Paingon sa bitin para ko panalipdan. Hangtod nalupig niya ang bitin. Tungod ato nagkasoud mig maayo. Si Bruno akong suod nga amigo.
cebuano|1|Nangadto sila papa, mama sa merkado. Nagdala sila ug basket. Namalit sila og kunsumo. Lain-lain ang ilang gipalit didto. Adunay sud-an, bugas ug lamas. May mga utanin usab. Giapilan usab nila og prutas. May saging, pakwan ug magga. Napuno gayid ang ilang basket. Dayon niskay sila og motor. Dali sila naabot sa balay. Nisugat ang ilang mga anak. Miingon dayon ang mga anak. Hala! Kadaghan sa pinalit nila. Gidawat dayon ang basket. Ila kining gitagsa-yagsa og tan-aw. Ang mga sulod sa basket. Gihanip nilakini sa kusina. Miingon dayon ang mga anak. Kumpleto ang ilang pinalit. Nagtinabangay sila pag-andam sa kusina. Aron mangaon ang tibuok pamilya.
cebuano|1|Adunay usa ka bata si Jason. Siyete anyos ang panuigon. Siya ang bugtong anak. Ang iyang amahan usa ka negosyante. Walay oras para kaniya. Siya naglaom nga hatagan og oras. Sa iyang amahan. Usa ka adlaw nakahigayon siyag estorya. Nisulti siya sa kahi-ubos sa amahan. Daling gigakus sa amahan si Jason. Naka-amgo sa iyang pagkulang sa anak. Sa nahitabo malipayon na si Jason.
