language|level|text
tagalog|2|Si Cheekoo ang pinakamalungkot na batang babae sa kanilang magkakaibigan. Siya rin ang pinakamalungkot sa kanilang buong klase. Siya nga siguro ang pinakamalungkot na batang babae sa buong mundo. Mga kaibigan ? Wala ng kaibigan si Cheekoo. Wlang gustong makipaglaro kay Cheekoo. Dahil may ulap na nasa tuktok ng kanyang ulo. Ulap ng basura. Balat ng dalandan at balot ng biskwit. Mga sirang laruan at pinagtasahan ng lapis, mga plastik na bote at makukulay na suot ng plastik, pinaliligiran ng maiingay na langaw. Walang gustong makipaglaro sa isang batang babae na mayroong ulap ng basura sa tuktok ng kanyang ulo. Paano na lang kung may mahulog na balt ng saging sa iyong ulo? Kadiri! Hindi rin makapaglaro si Cheekoo ng taguan, madali siyang makita dahil s ulap ng basura sa kanyang ulo. "Sabay tayonog pumasok sa paaralan," ang sabi niya kay Sona. Tumakbo palayo sa kanya si Sona. "Pwedeng makahiram and iyong pantasa ng lapis?"tanong niya kay Sweety. Sumimangot si Sweety at lumipat ng upuan sa tabi ni Asha. Kailangan din nin Cheekoo kumain magisa ng kaniyang pananghalian. Napagalamn ni Cheekoo na kung nakinig lang sana siya kay Amma. Lagi Siyang pinagsasabihan ni Amma na huwag magkalat. "Huwag miong itapon ang balat ng saging sa daanan!" "Itapon mo ang supot ng tinapay sa basurahan." Pero hindi kailanman nakinig si Cheekoo. Lagi lang siyang tumatawa at patuloy na nagkakalat. Isang araw, tuluyan nang nagalit si Amma. " Darating ang araw na susundan ka ng mga basura na itinapon mo!" Tumawa alng si Cheekoo at binalewala ang sabi ni Amma. Kinaumagahan , nagising na lang si Cheekoo dahil sa mabahong amoy at ingay ng hunin g mga langaw na nasa tuktok ng kaniyang ulo. Nagkatotoo ang sinabi ni Amma, ngaun hindi na makatawa si Cheekoo. Sinubukan ni Cheekoo na tumakbo papalayo pero sinusundan siya ng ulap ng basura kahit saan siya pumunta. Sinubukan niyang walisin paalis ang ulap ng basura pero hindi niya ito mawalis. Ginawa lahat ni Cheekoo. Sumigaw siya at nakiusap sa ulap ng basura na lubayan siya. Sinubukan niyang itapon ang ulap ng basura sa basurahan. Ngunit hindi umaalis ang ulap ng basura. Ito ang dahilan kaya naging sobrang lungkot si Cheeko. MAy biglang nangyari. Nakita ni Cheekoo si Bala na nagtatapon ng balat ng saging sa daan. Ninis si Cheekoo. hindi ba nakikita ni Bala ang ulap ng basura sa kaniyang ulo? " Uyy pasaway na bata !" sigaw niya. " Huwag mong itapon yung balat ng saging sa daaanan, baka may makaapak at may madulas!". Sa takot ni Bala nang makita niya ang ulap ng basura sa ulo ni Cheekoo ay dalidaling itinapon ang balat ng saging sa basurahan. Nung sumunod na araw, ang ulap ng basura ay naging mas maliit. "Paano ito nangyari?" Tanong ni Cheekoo sa sarili. Pagkatapos, nakita niya ang kanyan Tiya na si Reema na nagtatapon ng mga plastik na supot. "Tiya Reema!" sabi niya. "Paki pulot ang mga supot na plastik at maari mong gamitin uli." Pinulot ni Tiya Reema ang mga supot na plastim at umalis. Nang sumunod na araw nagising na lang si Cheekoo na mas lalong lumiit ang ulap ng basura sa kaniyang ulo. Napangiti si Cheeko. Alam na niya ang kanyang dapat gawin. Kapag nakita ni Cheekoo na may nagtapon ng balot ng tinapay at pinagtasahan ng lapis kung saan saan, pinipigil at pinagsasabihan niya ang mga ito. Pinupulot din niya ang mga nakakalat na boteng plastik at inilalagay sa basurahan. Naging mas malinis ang kapaligiran sa kanilang nayon. Lumiit nang lumiit ang ulap ng basura sa may tuktok ng ulo ni Cheekoo. Hanggang isang araw tuluyan na itong nawala. Ngaun si Cheekoo na ang posibleng pinakamasayang batang babae sa buong mundo. Kailanman ay hindi na nagkalat si Cheekoo. Ang hindi alam ng nakararami , gustong gusto ni Cheekoo na manirahan sa malinis na kapaligiran. Natatakot din Siya na baka balang araw bumalik ang ulap ng basura. Walang nakakaalam! Pagusapan natin ang tungkol sa basura. Naisip mo ba kung ano ang nangyayari sa basura kapag itinapon mo? Hindi, hindi siya nagiging ulap sa tuktok ng iyong ulo. Dinadala ang basura s isang malaking basurahan na malapit sa iyong tahanan. Kapag ikaw ay nagkalat , ilan sa mga basura na ito ay maaring bumara sa daluyan ng maruming tubig mula sa inyong mga tahanan. Dahil sa pagbara nito maraming langaw ang dadapo dito at maaring paging sanhi ng mga sakit. Hala ! Walang gustong tumira sa maruming kapaligiran. Kahit itanong mo kay Cheekoo. Ganito ang ating gagawin upang HINDI tayo magkaroon ng ulap ng basura. -Magsimula sa hindi pagkakalat sa ating kapaligiran. -Palaging itapon ang basura sa tamang basurahan. Maghanap ng pinakamalapit na basurahan. Paktapos mong kumain ng saging, ilagay ang balat muna sa iyong bag at saka itapon sa tamang basurahanna iyong makikita. Maramin ang pwede mong isipin na wala ng gamit. Ang papel na supot na pinaglagyan mo ng saging wag itapon kasama ng balat ng saging , iuwu at gamitin uli ang papel na supot. Takpan ang basurahan para hindi ito langawin.
tagalog|2|Noong unang panahon, hindi pa ganoon katagal, ang batang si Phyllis ay ipinanganak para sumayaw ng baley. Dalawang taong nagmamahalan, ang kanyang nanay at tatay, ay di pa nalalaman kung anong klaseng mananayaw ang ipinagkaloob sa kanila. Nang si Phyllis ay naging apat na taong gulang, marami ang kanyang napamangha. Pinabilib din niya ang kanyang mga guro, sa galing ng kanyang mga paa sa pagsayaw. Mula pagpasok sa paaralan, hanggang sa pag-uwi, araw-araw siyang nag-sasayaw. Wala nang ibang mas nakakapagpasaya kay Phyllis kundi ang mag-Ballet. Darating ang panahon, ay maklikita ng mundo, na may isang labinlimang taong gulang na batang babae, ang maglalakbay papuntang London, upang tuparin ang kanyang mga pangarap. Isang bagong simula, na malayo sa kanyang tahanan at mga kaibigan, ang nakahandang pabilibin ang Royal Ballet School! Ang kanyang pagsayaw ng Swan Lake ay naayon lamang para sa isang reyna. matapos ang maraming taon ng pagikot sa isang paa, ito na ang panahon para makita siya! Pumagitna siya sa entablado, tumatalon, umiikot at ang lahat ay napapangiti! Sila ay pumalakpak at sumisigaw! Mula Mexico hanggang Canada, mula US hanggang France, lahat sila ay inaanyayahan na sya ay bumisita at mag-sayaw. Kasama ang Royal Ballet, at kaniyang mga kaibigan, pinalaganap niya ang kanyang walang katapusang pagmamahal sa pagsasayaw. Ngunit, dahil sa tagal ng kanyang pagkalayo, nami-miss na ni Phyllis ay kanilang tahanan. Gustong-gusto na niyang maka-uwi upang makapag-simulang muli. Kaya't sya ay naglakbay patungo sa kanyang napakagandang pinag-mulan, upang makabalik sa kanilang tahanan sa South Africa. Ang pagsasayaw ay hindi lang upang magsaya, alam ni Phyllis iyon; araw at gabi siyang nagsasanay, at ang hirap ng pagsasanay na iyon ang tumulong sa kanyang pag-unlad. Palagiang pag-ngiti, na para bang hindi siya napapagod, kahit minsan man ay nahihirapan, palagi niyang iniisip na maging pinakamagaling. Ang salitang "magaling lang" ay hindi kailanman naging sapat sa kanya. Romeo at Juliet, Swan lake at Giselle. Nahuli niya ang lahat ng manonood sa kanyang salamangka. Katabi si Gary Burke at Eduard Greyling din, ang kanyang pagsasayaw ay itinuturing na salamangka sa lahat ng pahayag. Ang gantimpala ay kusang dumarating kapag ikaw ay sumailalim sa pagsubok. Isang araw, ituturing siyang pinakamagaling sa Timog Afrika: "Prima Ballerina Assoluta" , pinakamagaling na mananayaw sa lahat, yan ang gusto niyang maging titulo habang panahon. Wala nang iba pang gusto si Phyllis. Dumating ang araw at nakita niya ang pagmamahal sa katauhan ni Philip Boyd an isa ring mananayaw. Lubha silang naging masaya. Dahil nagmamahalan, sila ay nagpakasal sa madaling panahon at magkasamang sumasayaw. Walang pagtatambal ang mas mainam kapag nabigyan ng pagkakataon! Wala silang mga anak, pero hindi naging dahilan upang sila ay malungkot, sapagkat nakaisip sila ng paraan upang makatulong sa ibang mga ina at ama. Itinatag nila ang kanilang sariling paaralan, ito ay tinawag na "Dance For All" , kung saan ay mabibigyan ng pagkakataon ang mga bata, mula sa iba't ibang estado sa buhay, upang matuto at mahalin ang pagsasayaw. Ang regalo niya sa mundo at lahat ng kanyang tagumpay ay nagturo sa marami na kaya nilang maging pinakamagaling . Nagsasayaw sila para sa atin, gamit ang inspirasyon nila na nagsisilbi ding inspirasyon sa atin na mangarap sa ating mga kinauupuan.
tagalog|2|Malapit na ang Bagong taon. Maraming kailangan gawing paghahanda ang gagambang si Gethum. 'Paano ako makakagawa ng damit para kay Kooru?' Wika ni Gethum. Ang unang damit na ginawa ni Gethum ay masyadong manipis. Ang pangalawang damit ay masyadong masikip. Si Kooru ay halos hindi makalakad dito. Napapaisip si Kooru na marahil ay dapat na lamang akong manatili sa bahay sa bagong taon. Gagawa ako kahit papaano ng damit para kay Kooru, naisip ni Gethum. Ngunit hindi rin nababagay sa kanya ang susunod na damit. Tinakpan lang nito ang harapan niya! " Walang damit na nagkasya sa kin dahil sa aking mga tinik, " sabi ni Kooru kay Gethum. Ngayon ay bisperas na ng Bagong Taon. Buong gabing nagtrabaho si Gethum. Hindi na siya nakatulog. Siya ay nakagawa ng napakagandang palamuti upang ipalibot sa matatalim na tinik ni Kooru. Lahat ay nakasuot ng magandang damit sa araw ng Bagong Taon! Maraming mga pa-timpalak, maraming mga regalo at parangal. At sa huli, si Kooru ang nanalo bilang may pinaka magandang damit sa Bagong Taon. Ngunit, ang pinakatanyag na premyo ay para sa pinakamahusay na manggagawa sa taong ito. At alam mo kung sino ang nanalo ng premyo!
tagalog|2|Ang Daga ay naghahanap ng bagong bahay. Mukha itong magandang bahay. "Maaari kang sumama sa akin at matulog," sabi ng tuta. "Salamat," sabi ng daga. Noong gabing iyon, maputik at matalbog ang panaginip ng Daga. "Maaari kang sumama sa akin at matulog," sabi ni Parrot. "Salamat," sabi ni Mouse. Noong gabing iyon, nanaginip ang daga ng maingay at masukal. "Maaari kang sumama at matulog sa akin," sabi ng Isda. "Salamat," sabi ng Daga Nang gabing iyon, malamig at basa ang mga panaginip ng daga. Kailangan ni Daga ng lugar na mainit at tuyo. Nang gabing iyon, Ang mga panaginip Ng Daga ay mainit at komportable. Magandang gabi Daga. Nahanap ni Daga ang malapit na istante ng libro.
tagalog|2|Ano ang pagkakaiba ng mga ibon? Ang agila na ito ay may mga pakpak na mahaba at malapad. Ang mga ibon ba ang tanging mga hayop na may pakpak? Hindi. Ang ibang insekto ay may pakpak. Itong tutubi ay may pakpak. Itong Isdanlawin ay may palikpek na mukhang pakpak. Itong loro at kalaw ay may tinatawag na bill. Ang bill ay maari ring tawaging tuka. Ang mga ibon lang ba ang may mga tuka. Hindi. Ang platipus ay may tuka din. Ang mga ibon ba ang tanging mga hayop na nangingitlog? Hindi. Isda, palaka, ahas at mga pagong ay nangingitlog rin. Ang lalaking bird of paradise ay may maliwanag na kulay. Ang ibon lang ba ang may maliwanag na kulay? Hindi. Ang mga salagubang, ladybug, butterflies at isda ay may matitingkad na kulay. Ang aguila at seagull ay may matalas na mata. Ang ibon lang ba ang may matalas na mata? Hindi. Maraming hayop, tulad ng mga pusa at buwaya, ang may matalas na mata. Ang cassowary at owl na ito ay may matatalas na kuko. Ang mga ibon ba ang tanging mga hayop na may matalas na kuko? Hindi. Cuscus, kangaro at maraming pang ibang hayop ang may matatalas na kuko. Ano ang pagkakaiba ng mga ibon sa ibang mga hayop? Ang mga ibon lamang ang mga hayop na may balahibo. Ang mga balahibo ay lubhang kapaki-pakinabang. • Pinapanatili nilang mainit ang ibon. • Tinutulungan nila ang ibon na lumipad. • Ang mga balahibo ng buntot ay tumutulong sa ibon na makaiwas. • Ang kulay ng kanilang mga balahibo ay tumutulong sa mga ibon na magtago. • Ang kulay ng kanilang mga balahibo ay tumutulong din sa mga ibon na makahanap ng mapapangasawa. Katanungan sa Kaalaman 1. Ang mga ibon lang ba ang may mga pakpak? 2. Ano pang mga hayop ang may mga pakpak? 3. Ang mga ibon lang ba ang mga nangingitlog? 4. Ano pang mga hayop ang nangingitlog? 5. Aling PNG ng ibon at insekto ang may matitingkad na kulay? 6. Bakit kailangan ng mga hayop ang matatalas na mata? 7. Bakit kailangan ng mga ibon at ibang hayop ang matatalas na kuko? 8. Ano ang kaibhan ng mga ibon sa mga ibang hayop? 9. Sa papanong paraan kapaki-pakinabang ang mga plumahe? 10. Gusto mo rin bang maging ibon? At bakit? Aktibidad Iguhit ang paborito mong ibon.
tagalog|2|Ako ay may alagang aso. Isang lalaki na nagngangalang Digong. Gustong-gusto niya sa labas maglaro ng bola. Nakikipaglaro din siya sa ibang aso. Sa umaga, binabantayan niya ang bahay namin habang kami ay nasa trabaho. Dahil doon, naging matalik ko siyang kaibigan. WAKAS
tagalog|2|Kami ng aking asawa ay may apat na anak. Mayroon kaming tatlong anak na babae at isang lalaki. Si Joanessa ang nakakatanda. Si Arnel naman ang pangalawa. Silang dalawa ay inhinyero. Ang pangatlo ay si Loise, siya ay nakapagtapos ng kursong parmasya. Ang bunso ay si Aljea, mahilig siya sa aso. Natapos niya ang kursong Business Administration. May trabaho na silang apat. Masaya kami ng aking asawa kasama ng aming mga anak. WAKAS
tagalog|2|Naglalakad kami araw-araw ng aking kaibigan papuntang paaralan. Halos lahat ng mga estudyante ay gustong-gusto mag-aral dito. Magaling at mahusay magturo ang mga guro dito. Kung kaya't maraming natutunan ang mga mag-aaral. Lubos-Lubos ang tuwa ng mga magulang dahil hindi nagkulang ang mga guro sa paalaala para sa ikabubuti ng mga anak nila. Masayang-masaya ang mga bata sa paaralan na kanilang pinapasukan. WAKAS
tagalog|2|Ito ang aming pusa. Siya ay malinis at mataba. Mayroong tatlong anak ang aming pusa. Ang mga pangalan ng kanyang mga anak ay sina Snow White, si Snoopy at si Cha. Masyado niyang mahal ang kanyang mga anak. Pinadedede niya ito habang maliit pa. Mahal din namin ang aming pusa dahil siya ay mabait at mapagmahal sa kanyang mga anak. Masaya ang aming mga pusa habang nasa aming bahay. WAKAS
tagalog|2|Si itay ay gumawa ng isang bahay kubo. Malinis ang bahay kubo ni itay. Maliit at hayahay sa bahay kubo ni itay. Maraming maliit at malaking punong-kahoy sa paligid ng bahay kubo ni itay. WAKAS
