doc_id,language,label
734,hiligaynon,1
735,hiligaynon,1
736,hiligaynon,1
737,hiligaynon,1
738,hiligaynon,1
739,hiligaynon,1
740,hiligaynon,1
741,hiligaynon,1
742,hiligaynon,1
743,hiligaynon,1
744,hiligaynon,1
745,hiligaynon,1
746,hiligaynon,1
747,hiligaynon,1
748,hiligaynon,1
749,hiligaynon,1
750,hiligaynon,1
751,hiligaynon,1
752,hiligaynon,1
753,hiligaynon,1
754,hiligaynon,1
755,hiligaynon,1
756,hiligaynon,1
757,hiligaynon,1
758,hiligaynon,1
759,hiligaynon,1
760,hiligaynon,1
761,hiligaynon,1
762,hiligaynon,1
763,hiligaynon,1
764,hiligaynon,1
765,hiligaynon,1
766,hiligaynon,1
767,hiligaynon,1
768,hiligaynon,1
769,hiligaynon,1
770,hiligaynon,1
771,hiligaynon,1
772,hiligaynon,1
773,hiligaynon,1
774,hiligaynon,1
775,hiligaynon,1
776,hiligaynon,1
777,hiligaynon,1
778,hiligaynon,1
779,hiligaynon,1
780,hiligaynon,1
781,hiligaynon,1
782,hiligaynon,1
783,hiligaynon,1
784,hiligaynon,1
785,hiligaynon,1
786,hiligaynon,1
787,hiligaynon,1
788,hiligaynon,1
789,hiligaynon,1
790,hiligaynon,1
791,hiligaynon,1
792,hiligaynon,1
793,hiligaynon,1
794,hiligaynon,2
795,hiligaynon,2
796,hiligaynon,2
797,hiligaynon,2
798,hiligaynon,2
799,hiligaynon,2
800,hiligaynon,2
801,hiligaynon,2
802,hiligaynon,2
803,hiligaynon,2
804,hiligaynon,2
805,hiligaynon,2
806,hiligaynon,2
807,hiligaynon,2
808,hiligaynon,2
809,hiligaynon,2
810,hiligaynon,2
811,hiligaynon,2
812,hiligaynon,2
813,hiligaynon,2
814,hiligaynon,2
815,hiligaynon,3
816,hiligaynon,3
817,hiligaynon,3
818,hiligaynon,3
819,hiligaynon,3
820,hiligaynon,3
821,hiligaynon,3
822,hiligaynon,3
823,hiligaynon,3
824,hiligaynon,3
825,hiligaynon,3
826,hiligaynon,3
827,hiligaynon,3
828,hiligaynon,3
829,hiligaynon,3
830,hiligaynon,3
831,hiligaynon,3
832,hiligaynon,3
833,hiligaynon,3
834,hiligaynon,3
835,hiligaynon,3
836,hiligaynon,3
837,hiligaynon,3
838,hiligaynon,3
839,hiligaynon,3
840,hiligaynon,3
841,hiligaynon,3
842,hiligaynon,3
843,hiligaynon,3
844,hiligaynon,3
845,hiligaynon,3
846,hiligaynon,3
847,hiligaynon,3
848,hiligaynon,3
849,hiligaynon,3
850,hiligaynon,3
851,hiligaynon,3
852,hiligaynon,3
853,hiligaynon,3
854,hiligaynon,3
855,hiligaynon,3
856,hiligaynon,3
857,hiligaynon,3
858,hiligaynon,3
859,hiligaynon,3
860,minasbate,1
861,minasbate,1
862,minasbate,1
863,minasbate,1
864,minasbate,1
865,minasbate,1
866,minasbate,1
867,minasbate,1
868,minasbate,1
869,minasbate,1
870,minasbate,1
871,minasbate,1
872,minasbate,1
873,minasbate,1
874,minasbate,1
875,minasbate,1
876,minasbate,1
877,minasbate,1
878,minasbate,1
879,minasbate,1
880,minasbate,1
881,minasbate,1
882,minasbate,1
883,minasbate,1
884,minasbate,1
885,minasbate,1
886,minasbate,1
887,minasbate,1
888,minasbate,1
889,minasbate,1
890,minasbate,1
891,minasbate,1
892,minasbate,1
893,minasbate,1
894,minasbate,1
895,minasbate,1
896,minasbate,1
897,minasbate,1
898,minasbate,1
899,minasbate,1
900,minasbate,1
901,minasbate,1
902,minasbate,1
903,minasbate,1
904,minasbate,1
905,minasbate,1
906,minasbate,1
907,minasbate,1
908,minasbate,1
909,minasbate,1
910,minasbate,1
911,minasbate,1
912,minasbate,1
913,minasbate,1
914,minasbate,1
915,minasbate,1
916,minasbate,1
917,minasbate,1
918,minasbate,1
919,minasbate,1
920,minasbate,1
921,minasbate,1
922,minasbate,1
923,minasbate,1
924,minasbate,1
925,minasbate,1
926,minasbate,1
927,minasbate,1
928,minasbate,1
929,minasbate,1
930,minasbate,1
931,minasbate,1
932,minasbate,1
933,minasbate,1
934,minasbate,1
935,minasbate,1
936,minasbate,1
937,minasbate,1
938,minasbate,1
939,minasbate,1
940,minasbate,1
941,minasbate,1
942,minasbate,1
943,minasbate,1
944,minasbate,1
945,minasbate,1
946,minasbate,1
947,minasbate,1
948,minasbate,1
949,minasbate,1
950,minasbate,1
951,minasbate,1
952,minasbate,1
953,minasbate,1
954,minasbate,1
955,minasbate,1
956,minasbate,1
957,minasbate,1
958,minasbate,1
959,minasbate,1
960,minasbate,1
961,minasbate,1
962,minasbate,1
963,minasbate,1
964,minasbate,1
965,minasbate,1
966,minasbate,1
967,minasbate,1
968,minasbate,1
969,minasbate,1
970,minasbate,1
971,minasbate,1
972,minasbate,1
973,minasbate,1
974,minasbate,1
975,minasbate,1
976,minasbate,1
977,minasbate,1
978,minasbate,1
979,minasbate,2
980,minasbate,2
981,minasbate,2
982,minasbate,2
983,minasbate,2
984,minasbate,2
985,minasbate,2
986,minasbate,2
987,minasbate,2
988,minasbate,2
989,minasbate,2
990,minasbate,2
991,minasbate,2
992,minasbate,2
993,minasbate,2
994,minasbate,2
995,minasbate,2
996,minasbate,2
997,minasbate,2
998,minasbate,2
999,minasbate,2
1000,minasbate,2
1001,minasbate,2
1002,minasbate,2
1003,minasbate,2
1004,minasbate,2
1005,minasbate,2
1006,minasbate,2
1007,minasbate,2
1008,minasbate,2
1009,minasbate,2
1010,minasbate,2
1011,minasbate,2
1012,minasbate,2
1013,minasbate,2
1014,minasbate,2
1015,minasbate,2
1016,minasbate,2
1017,minasbate,2
1018,minasbate,2
1019,minasbate,2
1020,minasbate,2
1021,minasbate,2
1022,minasbate,2
1023,minasbate,2
1024,minasbate,2
1025,minasbate,2
1026,minasbate,2
1027,minasbate,2
1028,minasbate,2
1029,minasbate,2
1030,minasbate,2
1031,minasbate,2
1032,minasbate,2
1033,minasbate,2
1034,minasbate,2
1035,minasbate,2
1036,minasbate,2
1037,minasbate,2
1038,minasbate,2
1039,minasbate,2
1040,minasbate,2
1041,minasbate,2
1042,minasbate,2
1043,minasbate,2
1044,minasbate,2
1045,minasbate,2
1046,minasbate,2
1047,minasbate,2
1048,minasbate,2
1049,minasbate,2
1050,minasbate,2
1051,minasbate,3
1052,minasbate,3
1053,minasbate,3
1054,minasbate,3
1055,minasbate,3
1056,minasbate,3
1057,minasbate,3
1058,minasbate,3
1059,minasbate,3
1060,minasbate,3
1061,minasbate,3
1062,minasbate,3
1063,minasbate,3
1064,minasbate,3
1065,minasbate,3
1066,minasbate,3
1067,minasbate,3
1068,minasbate,3
1069,minasbate,3
1070,minasbate,3
1071,minasbate,3
1072,minasbate,3
1073,minasbate,3
1074,minasbate,3
1075,minasbate,3
1076,minasbate,3
1077,minasbate,3
1078,minasbate,3
1079,minasbate,3
1080,minasbate,3
1081,minasbate,3
1082,minasbate,3
1083,minasbate,3
1084,minasbate,3
1085,minasbate,3
1086,minasbate,3
1087,minasbate,3
1088,minasbate,3
1089,minasbate,3
1090,minasbate,3
1091,minasbate,3
1092,minasbate,3
1093,minasbate,3
1094,minasbate,3
1095,minasbate,3
1096,minasbate,3
1097,minasbate,3
1098,minasbate,3
1099,minasbate,3
1100,minasbate,3
1101,minasbate,3
1102,minasbate,3
1103,minasbate,3
1104,minasbate,3
1105,minasbate,3
1106,minasbate,3
1107,minasbate,3
1108,minasbate,3
1109,minasbate,3
1110,minasbate,3
1111,minasbate,3
1112,minasbate,3
1113,minasbate,3
1114,minasbate,3
1115,minasbate,3
1116,minasbate,3
1117,minasbate,3
1118,minasbate,3
1119,karay-a,1
1120,karay-a,1
1121,karay-a,1
1122,karay-a,1
1123,karay-a,1
1124,karay-a,1
1125,karay-a,1
1126,karay-a,1
1127,karay-a,1
1128,karay-a,1
1129,karay-a,1
1130,karay-a,1
1131,karay-a,1
1132,karay-a,1
1133,karay-a,1
1134,karay-a,1
1135,karay-a,1
1136,karay-a,1
1137,karay-a,1
1138,karay-a,1
1139,karay-a,1
1140,karay-a,1
1141,karay-a,1
1142,karay-a,1
1143,karay-a,1
1144,karay-a,1
1145,karay-a,1
1146,karay-a,1
1147,karay-a,1
1148,karay-a,1
1149,karay-a,1
1150,karay-a,1
1151,karay-a,1
1152,karay-a,1
1153,karay-a,1
1154,karay-a,1
1155,karay-a,1
1156,karay-a,1
1157,karay-a,1
1158,karay-a,1
1159,karay-a,1
1160,karay-a,1
1161,karay-a,1
1162,karay-a,1
1163,karay-a,1
1164,karay-a,1
1165,karay-a,1
1166,karay-a,1
1167,karay-a,1
1168,karay-a,1
1169,karay-a,1
1170,karay-a,1
1171,karay-a,1
1172,karay-a,1
1173,karay-a,1
1174,karay-a,1
1175,karay-a,1
1176,karay-a,1
1177,karay-a,1
1178,karay-a,1
1179,karay-a,2
1180,karay-a,2
1181,karay-a,2
1182,karay-a,2
1183,karay-a,2
1184,karay-a,2
1185,karay-a,2
1186,karay-a,2
1187,karay-a,2
1188,karay-a,2
1189,karay-a,2
1190,karay-a,2
1191,karay-a,2
1192,karay-a,2
1193,karay-a,2
1194,karay-a,2
1195,karay-a,2
1196,karay-a,2
1197,karay-a,2
1198,karay-a,2
1199,karay-a,2
1200,karay-a,2
1201,karay-a,2
1202,karay-a,2
1203,karay-a,2
1204,karay-a,2
1205,karay-a,2
1206,karay-a,2
1207,karay-a,2
1208,karay-a,2
1209,karay-a,2
1210,karay-a,2
1211,karay-a,3
1212,karay-a,3
1213,karay-a,3
1214,karay-a,3
1215,karay-a,3
1216,karay-a,3
1217,karay-a,3
1218,karay-a,3
1219,karay-a,3
1220,karay-a,3
1221,karay-a,3
1222,karay-a,3
1223,karay-a,3
1224,karay-a,3
1225,karay-a,3
1226,karay-a,3
1227,karay-a,3
1228,karay-a,3
1229,karay-a,3
1230,karay-a,3
1231,karay-a,3
1232,karay-a,3
1233,karay-a,3
1234,karay-a,3
1235,karay-a,3
1236,karay-a,3
1237,karay-a,3
1238,karay-a,3
1239,karay-a,3
1240,karay-a,3
1241,karay-a,3
1242,karay-a,3
1243,karay-a,3
1244,karay-a,3
1245,karay-a,3
1246,karay-a,3
1247,karay-a,3
1248,karay-a,3
1249,karay-a,3
1250,karay-a,3
1251,karay-a,3
1252,karay-a,3
1253,karay-a,3
1254,karay-a,3
1255,karay-a,3
1256,karay-a,3
1257,karay-a,3
1258,karay-a,3
1259,karay-a,3
1260,karay-a,3
1261,karay-a,3
1262,karay-a,3
1263,karay-a,3
1264,karay-a,3
1265,karay-a,3
1266,karay-a,3
1267,karay-a,3
1268,karay-a,3
1269,karay-a,3
1270,karay-a,3
1271,karay-a,3
1272,karay-a,3
1273,karay-a,3
1274,karay-a,3
1275,karay-a,3
1276,karay-a,3
1277,karay-a,3
1278,karay-a,3
1279,karay-a,3
1280,karay-a,3
1281,karay-a,3
1282,karay-a,3
1283,karay-a,3
1284,karay-a,3
1285,karay-a,3
1286,karay-a,3
1287,karay-a,3
1288,karay-a,3
1289,karay-a,3
1290,rinconada,1
1291,rinconada,1
1292,rinconada,1
1293,rinconada,1
1294,rinconada,1
1295,rinconada,1
1296,rinconada,1
1297,rinconada,1
1298,rinconada,1
1299,rinconada,1
1300,rinconada,1
1301,rinconada,1
1302,rinconada,1
1303,rinconada,1
1304,rinconada,1
1305,rinconada,1
1306,rinconada,1
1307,rinconada,1
1308,rinconada,1
1309,rinconada,1
1310,rinconada,1
1311,rinconada,1
1312,rinconada,1
1313,rinconada,1
1314,rinconada,1
1315,rinconada,1
1316,rinconada,1
1317,rinconada,1
1318,rinconada,1
1319,rinconada,1
1320,rinconada,1
1321,rinconada,1
1322,rinconada,1
1323,rinconada,1
1324,rinconada,1
1325,rinconada,1
1326,rinconada,1
1327,rinconada,1
1328,rinconada,1
1329,rinconada,1
1330,rinconada,1
1331,rinconada,1
1332,rinconada,1
1333,rinconada,1
1334,rinconada,1
1335,rinconada,1
1336,rinconada,1
1337,rinconada,1
1338,rinconada,1
1339,rinconada,1
1340,rinconada,1
1341,rinconada,1
1342,rinconada,1
1343,rinconada,1
1344,rinconada,1
1345,rinconada,1
1346,rinconada,1
1347,rinconada,1
1348,rinconada,1
1349,rinconada,1
1350,rinconada,1
1351,rinconada,1
1352,rinconada,1
1353,rinconada,1
1354,rinconada,1
1355,rinconada,1
1356,rinconada,1
1357,rinconada,1
1358,rinconada,1
1359,rinconada,1
1360,rinconada,1
1361,rinconada,1
1362,rinconada,1
1363,rinconada,1
1364,rinconada,1
1365,rinconada,1
1366,rinconada,1
1367,rinconada,1
1368,rinconada,1
1369,rinconada,1
1370,rinconada,1
1371,rinconada,1
1372,rinconada,1
1373,rinconada,1
1374,rinconada,1
1375,rinconada,1
1376,rinconada,1
1377,rinconada,1
1378,rinconada,1
1379,rinconada,1
1380,rinconada,1
1381,rinconada,1
1382,rinconada,1
1383,rinconada,1
1384,rinconada,1
1385,rinconada,1
1386,rinconada,1
1387,rinconada,1
1388,rinconada,1
1389,rinconada,1
1390,rinconada,1
1391,rinconada,1
1392,rinconada,1
1393,rinconada,1
1394,rinconada,1
1395,rinconada,1
1396,rinconada,1
1397,rinconada,1
1398,rinconada,1
1399,rinconada,1
1400,rinconada,1
1401,rinconada,1
1402,rinconada,1
1403,rinconada,1
1404,rinconada,2
1405,rinconada,2
1406,rinconada,2
1407,rinconada,2
1408,rinconada,2
1409,rinconada,2
1410,rinconada,2
1411,rinconada,2
1412,rinconada,2
1413,rinconada,2
1414,rinconada,2
1415,rinconada,2
1416,rinconada,2
1417,rinconada,2
1418,rinconada,2
1419,rinconada,2
1420,rinconada,2
1421,rinconada,2
1422,rinconada,2
1423,rinconada,2
1424,rinconada,2
1425,rinconada,2
1426,rinconada,2
1427,rinconada,2
1428,rinconada,2
1429,rinconada,2
1430,rinconada,2
1431,rinconada,2
1432,rinconada,2
1433,rinconada,2
1434,rinconada,2
1435,rinconada,2
1436,rinconada,2
1437,rinconada,2
1438,rinconada,2
1439,rinconada,3
1440,rinconada,3
1441,rinconada,3
1442,rinconada,3
1443,rinconada,3
1444,rinconada,3
1445,rinconada,3
1446,rinconada,3
1447,rinconada,3
1448,rinconada,3
1449,rinconada,3
1450,rinconada,3
1451,rinconada,3
1452,rinconada,3
1453,rinconada,3
1454,rinconada,3
1455,rinconada,3
1456,rinconada,3
1457,rinconada,3
1458,rinconada,3
1459,rinconada,3
1460,rinconada,3
1461,rinconada,3
1462,rinconada,3
1463,rinconada,3
1464,rinconada,3
1465,rinconada,3
1466,rinconada,3
1467,rinconada,3
1468,rinconada,3
1469,rinconada,3
1470,rinconada,3
1471,rinconada,3
1472,rinconada,3
1473,rinconada,3
1474,rinconada,3
1475,rinconada,3
